heldout_run,n_eval,n_train_pool,n_fit,traditional_templates,cnn_device,control_gated_accept_fraction
44,410,638699,9000,524,cpu,0.7804878048780488
45,704,616404,9000,516,cpu,0.7116477272727273
46,251,640050,9000,522,cpu,0.7330677290836654
47,415,635461,9000,498,cpu,0.7590361445783133
48,670,626737,9000,518,cpu,0.6970149253731344
49,662,625922,9000,519,cpu,0.7205438066465257
50,677,605520,9000,518,cpu,0.7134416543574594
51,584,625997,9000,520,cpu,0.7294520547945206
52,491,633585,9000,521,cpu,0.7657841140529531
53,670,608537,9000,519,cpu,0.7194029850746269
54,671,610297,9000,519,cpu,0.7168405365126677
55,623,623350,9000,521,cpu,0.709470304975923
56,689,600589,9000,515,cpu,0.6531204644412192
57,676,626904,9000,520,cpu,0.6997041420118343
58,673,623956,9000,522,cpu,0.8068350668647846
59,758,619360,9000,517,cpu,0.7994722955145118
60,802,623708,9000,515,cpu,0.8117206982543641
61,767,621772,9000,518,cpu,0.8135593220338984
62,762,621648,9000,516,cpu,0.7887139107611548
63,736,621920,9000,519,cpu,0.7866847826086957
65,660,627699,9000,524,cpu,0.7833333333333333
