axis,atom,n,method,charge_res68_abs_frac,full_rms_frac,tail_gt10_frac,tail_gt10_ci95,tail_gt25_frac,tail_gt25_ci95,traditional_tail_gt10_frac,ml_minus_traditional_tail_gt10_delta,ml_minus_traditional_tail_gt10_delta_ci95
run,57,13819,extra_trees_regressor,0.00478141531257886,0.044257422068801296,0.022432882263550183,"[0.019972501628193067, 0.024893262898907302]",0.004703668861712135,"[0.00354584268036761, 0.0060062233157247265]",0.10601345972935813,-0.08358057746580795,"[-0.08842897460018814, -0.07844272378609161]"
run,65,13038,extra_trees_regressor,0.004620301106875918,0.03225616062197027,0.016413560362018714,"[0.014072327044025158, 0.018867924528301886]",0.0021475686454977758,"[0.0013805798435342844, 0.003067955207853965]",0.0800736309249885,-0.06366007056296978,"[-0.06784207700567572, -0.0594013652400675]"
stave,B2,24528,extra_trees_regressor,0.004385078555199491,0.0389080915702104,0.019324853228962817,"[0.01761252446183953, 0.021058586105675146]",0.003506196999347684,"[0.0027723418134377037, 0.0042400521852576645]",0.09385192433137639,-0.07452707110241358,"[-0.07787222765818656, -0.07116254892367906]"
stave,B4,1498,extra_trees_regressor,0.00937529902615421,0.04341674351414264,0.024699599465954607,"[0.016688918558077435, 0.03271028037383177]",0.004672897196261682,"[0.0013351134846461949, 0.00801068090787717]",0.09212283044058744,-0.06742323097463283,"[-0.08179238985313751, -0.05372162883845128]"
stave,B6,596,extra_trees_regressor,0.010191743082148059,0.029036248565775562,0.015100671140939598,"[0.0050335570469798654, 0.026845637583892617]",0.0,"[0.0, 0.0]",0.0738255033557047,-0.058724832214765106,"[-0.07973993288590603, -0.040268456375838924]"
stave,B8,235,extra_trees_regressor,0.00861476343462155,0.027317049128138676,0.01702127659574468,"[0.00425531914893617, 0.03829787234042553]",0.0,"[0.0, 0.0]",0.10638297872340426,-0.08936170212765958,"[-0.12340425531914895, -0.05531914893617021]"
peak_phase,0,337,extra_trees_regressor,0.05718822753155554,0.13265133827482117,0.18991097922848665,"[0.14977744807121662, 0.2314540059347181]",0.0712166172106825,"[0.04451038575667656, 0.10089020771513353]",0.8902077151335311,-0.7002967359050445,"[-0.7493323442136498, -0.6468842729970327]"
peak_phase,1,102,extra_trees_regressor,0.0466545695741821,0.12746177466398467,0.10784313725490197,"[0.049019607843137254, 0.16666666666666666]",0.0392156862745098,"[0.00980392156862745, 0.0784313725490196]",0.9117647058823529,-0.803921568627451,"[-0.8823529411764706, -0.7254901960784313]"
peak_phase,10,266,extra_trees_regressor,0.005137340198608446,0.04378093084685979,0.015037593984962405,"[0.0037593984962406013, 0.03007518796992481]",0.011278195488721804,"[0.0, 0.02631578947368421]",0.015037593984962405,0.0,"[-0.018796992481203006, 0.018796992481203006]"
peak_phase,11,154,extra_trees_regressor,0.008124224722281132,0.02635305086592261,0.012987012987012988,"[0.0, 0.032467532467532464]",0.006493506493506494,"[0.0, 0.01948051948051948]",0.03896103896103896,-0.025974025974025972,"[-0.06493506493506493, 0.012987012987012986]"
peak_phase,12,144,extra_trees_regressor,0.007975353499346033,0.025941807139291236,0.013888888888888888,"[0.0, 0.034722222222222224]",0.0,"[0.0, 0.0]",0.0763888888888889,-0.0625,"[-0.1111111111111111, -0.020833333333333336]"
peak_phase,13,139,extra_trees_regressor,0.009898030667750067,0.07410216481757541,0.014388489208633094,"[0.0, 0.03597122302158273]",0.007194244604316547,"[0.0, 0.02158273381294964]",0.06474820143884892,-0.050359712230215826,"[-0.08633093525179857, -0.021582733812949638]"
peak_phase,14,121,extra_trees_regressor,0.012757409865859114,0.042571497715197096,0.049586776859504134,"[0.01652892561983471, 0.09090909090909091]",0.0,"[0.0, 0.0]",0.049586776859504134,0.0,"[-0.049586776859504134, 0.04132231404958678]"
