method,run,n,bias_median_frac,charge_res68_abs_frac,full_rms_frac,tail_gt10_frac,tail_gt25_frac,within_10pct,bias_ci95,charge_res68_ci95,full_rms_ci95,tail_gt10_ci95,tail_gt25_ci95
peak_log_calibrated,57,13819,-0.1795250537955969,0.2634322438513768,2.9874508945924587,0.8305955568420291,0.3843259280700485,0.1694044431579709,"[-0.18372122517418396, -0.1754611807384048]","[0.2616144657513232, 0.2657116850894471]","[2.70695275952078, 3.2877228688493543]","[0.8250958824806426, 0.836138649685216]","[0.375685650191765, 0.39183732542152105]"
peak_log_calibrated,65,13038,-0.2287632709683468,0.3057392589715517,2.0589058611934816,0.9135603620187145,0.500230096640589,0.08643963798128547,"[-0.2300107569177315, -0.22734045482059742]","[0.30063940562490954, 0.3103023953665584]","[1.9357496929698332, 2.1970045616595093]","[0.9083294983893235, 0.9179935572940635]","[0.49159380273048014, 0.508298818837245]"
integral_log_calibrated,57,13819,-0.061865190413566674,0.16416449671236075,1.8468552063270653,0.49374050220710614,0.18402199869744554,0.5062594977928938,"[-0.06434110421853903, -0.06036229003994755]","[0.16121871328938694, 0.16709792746615937]","[1.326446551710432, 2.2993916988293104]","[0.4853896808741588, 0.502511035530791]","[0.178001302554454, 0.19133077646718286]"
integral_log_calibrated,65,13038,-0.13039365877911246,0.21527149063251763,1.4445444678045563,0.7057830955668047,0.22142966712685994,0.29421690443319526,"[-0.1330226268215115, -0.12751519036688552]","[0.21264966952976438, 0.2179843660527502]","[1.3242646705026748, 1.5836858614687541]","[0.6980825279950912, 0.7133762847062433]","[0.21409725418008896, 0.22914557447461267]"
adaptive_template_scale,57,13819,-0.02506081957828825,0.39997129245197627,1.935252100882698,0.8038208263984369,0.402995875244229,0.19617917360156306,"[-0.03223360363145376, -0.01644297842509844]","[0.3936407371482458, 0.41432394540690093]","[1.7549155372369036, 2.1405983383619636]","[0.7975830378464432, 0.810926984586439]","[0.3953831681018887, 0.41070989217743686]"
adaptive_template_scale,65,13038,0.29246536635772635,0.7162368437954727,2.004520507250045,0.8373983739837398,0.5819144040497009,0.16260162601626016,"[0.27473466388409007, 0.30833771385262265]","[0.7007991828494983, 0.7338507119624403]","[1.8649556632682047, 2.155106200784013]","[0.8303267372296365, 0.843258168430741]","[0.5724037429053536, 0.5897683693818071]"
strong_traditional_huber,57,13819,6.270526523933004e-05,0.013267341681253845,0.40646605916853884,0.10601345972935813,0.06628554888197409,0.8939865402706418,"[-0.00012008256319503066, 0.00029078065836990913]","[0.012815257534464225, 0.013722233489495165]","[0.3114278648580566, 0.496334228093702]","[0.10086113322237499, 0.11116578623634127]","[0.06258050510167161, 0.06997611983500977]"
strong_traditional_huber,65,13038,-0.0003140448372689985,0.012829393168164319,0.2450786096972689,0.0800736309249885,0.04878048780487805,0.9199263690750115,"[-0.0005359223972807446, -3.453739994846983e-05]","[0.012468940138459348, 0.013257222106085586]","[0.18693810453427986, 0.3051385957292626]","[0.07599325049854272, 0.08420003067955208]","[0.045789231477220436, 0.05174106458045712]"
ridge_residual_basis,57,13819,0.00426347916388674,0.037132186250002655,0.2451078173820603,0.1493595773934438,0.06715391851798248,0.8506404226065561,"[0.0036196563910156077, 0.004790085349167785]","[0.036061069199442866, 0.03838283628311611]","[0.2138831792517238, 0.28125734658815876]","[0.1433678269049859, 0.15428033866415805]","[0.06317389101961068, 0.07101816339821984]"
ridge_residual_basis,65,13038,0.004681132596901418,0.03597780435867644,0.15597118725248382,0.12494247583985274,0.05023776652860868,0.8750575241601473,"[0.004157797344736534, 0.005256338624279612]","[0.03503973006021961, 0.036834978730403686]","[0.1453088773025258, 0.1664403049958853]","[0.11920539960116582, 0.13055683387022549]","[0.04660223960730173, 0.05362785703328731]"
