model,target,train_positive_rate,heldout_positive_rate,heldout_auc,risk_threshold_train_negative_q95,accepted_support_fraction,accepted_tail_gt10_rate,rejected_tail_gt10_rate
extra_trees_tail_risk,abs_fractional_charge_error_gt_10pct_from_winner,0.011647058823529411,0.01951074207841531,0.9839291858849503,0.018728135770013768,0.907137803924489,0.0003694126339120798,0.20649558941459503
hgb_tail_risk,abs_fractional_charge_error_gt_10pct_from_winner,0.011647058823529411,0.01951074207841531,0.9784153587218082,0.018436122344725248,0.9085154708269725,0.0011065573770491803,0.2022792022792023
permuted_target_extra_trees_tail_risk,permuted_abs_fractional_charge_error_gt_10pct,0.011647058823529411,0.01951074207841531,0.5020372878427585,,,,
