run,method,method_label,n,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt3ns,tail_frac_abs_gt5ns,tail_frac_abs_gt8ns
58,atom_gated_cnn,Atom-gated residual CNN,219,1.1749484747029761,1.8232872161239584,1.4963285160182123,2.5420172451705128,0.0593607305936073,0.0182648401826484,0.0091324200913242
58,cnn1d,1D-CNN residual,219,1.157861530079351,1.6804039153427155,1.422433846008596,2.578599197328784,0.0502283105022831,0.0182648401826484,0.0091324200913242
58,gradient_boosted_trees,HistGradientBoosting residual,219,1.270119576735338,1.8469904080210924,1.4440322316282932,2.631455715224234,0.0730593607305936,0.0182648401826484,0.0182648401826484
58,mlp,MLP residual,219,1.4019276307660036,1.7777796511454724,1.5738863376632926,2.2713818345590107,0.0547945205479452,0.0182648401826484,0.0091324200913242
58,ridge,Ridge residual,219,1.1112230311035451,1.5178492936462362,1.343271226894677,2.092345501269115,0.0593607305936073,0.0182648401826484,0.0136986301369863
58,traditional,S02/S03 analytic template-phase,219,1.0041478569170597,1.6275117135455233,1.1874833645739167,2.6779301324199096,0.0821917808219178,0.0182648401826484,0.0091324200913242
59,atom_gated_cnn,Atom-gated residual CNN,2289,1.1036524792241122,1.5108078389134363,1.3921451473043636,2.382345007346393,0.037570991699432066,0.010048055919615552,0.009174311926605505
59,cnn1d,1D-CNN residual,2289,1.0574763053277727,1.4508537063146605,1.4902488742825282,2.436311066291034,0.05286151157710791,0.011358671909130624,0.009611183923110528
59,gradient_boosted_trees,HistGradientBoosting residual,2289,1.1342394426150182,1.4178610740793758,1.4493968493804001,2.1851557600582163,0.051550895587592835,0.010048055919615552,0.007863695937090432
59,mlp,MLP residual,2289,1.1254067298901127,1.3589650730668197,1.5459483876019038,2.451473148752951,0.05417212756662298,0.010048055919615552,0.00873743993010048
59,ridge,Ridge residual,2289,1.0192863631356215,1.2006636867071094,1.5061710271181439,2.441322511995008,0.05854084753167322,0.011358671909130624,0.010048055919615552
59,traditional,S02/S03 analytic template-phase,2289,0.9350370580981526,1.1022320910400367,1.4587081303487437,2.540185062194438,0.07208387942332896,0.014416775884665793,0.010048055919615552
60,atom_gated_cnn,Atom-gated residual CNN,2424,1.1273064038834593,1.4684138497650707,1.3924852213797074,2.1446147272867084,0.04496699669966997,0.014438943894389438,0.006188118811881188
60,cnn1d,1D-CNN residual,2424,1.0597738409591624,1.331840085923968,1.4357859815478358,2.2228107939920507,0.04950495049504951,0.014438943894389438,0.007838283828382838
60,gradient_boosted_trees,HistGradientBoosting residual,2424,1.0922950286076973,1.2713848489704809,1.412230742931581,2.1505779214930874,0.05858085808580858,0.019389438943894388,0.009075907590759076
60,mlp,MLP residual,2424,1.1478969298522894,1.3000263200979454,1.536120093816232,2.2185753541928777,0.06023102310231023,0.017326732673267328,0.006600660066006601
