scope,method,method_label,sigma68_ci_low_ns,sigma68_ci_high_ns,n,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt3ns,tail_frac_abs_gt5ns,tail_frac_abs_gt8ns
B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.7630995348960666,0.8819838751090938,3820,2.231772210649377,2.1951976561892437,0.8285278676512505,1.9935798095082722,0.02329842931937173,0.011518324607329843,0.006806282722513089
B4-B6,cnn1d,1D-CNN residual,0.8587746166681758,1.037057549665698,3820,2.266510113934778,2.236499993815027,0.9536087123917784,2.0396692157650205,0.02643979057591623,0.012565445026178011,0.006806282722513089
B4-B6,gradient_boosted_trees,HistGradientBoosting residual,0.9392303511127649,1.165391555194922,3820,2.176859689237417,2.1636432897620246,1.0632228630016043,1.9981875598506875,0.0387434554973822,0.015183246073298429,0.009424083769633508
B4-B6,mlp,MLP residual,0.9677699881806733,1.1555814937552562,3820,2.258667554352814,2.26690410417023,1.0652950233908562,2.118870871518913,0.033507853403141365,0.014659685863874346,0.006806282722513089
B4-B6,ridge,Ridge residual,0.9205991054282108,1.3298942321865383,3820,2.1823013306614802,2.0435788235745562,1.144338227331391,2.2222233800550284,0.043455497382198956,0.012565445026178011,0.008638743455497382
B4-B6,traditional,S02/S03 analytic template-phase,0.9952553734646119,1.318784585286911,3820,2.1749716559471324,2.056204825957728,1.1969860563877206,2.391080192777473,0.06570680628272252,0.014921465968586388,0.00968586387434555
B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.7315267013156009,0.8700826829880184,3820,1.8667158695129813,1.8855358800349258,0.8206042451579914,2.435641959556684,0.023036649214659685,0.014397905759162303,0.00968586387434555
B4-B8,cnn1d,1D-CNN residual,0.8237388857531354,0.9687923520065218,3820,1.8769820267955661,1.9032282606165793,0.9256412132375966,2.4375342773281163,0.02617801047120419,0.015183246073298429,0.010209424083769634
B4-B8,gradient_boosted_trees,HistGradientBoosting residual,0.9631722197073197,1.1472626218464406,3820,1.893280291824182,1.9603924320072004,1.0616426314944503,2.300228639373475,0.03848167539267016,0.01780104712041885,0.01099476439790576
B4-B8,mlp,MLP residual,1.0634417628652226,1.1789554143671543,3820,1.9867981801820662,2.0088186404762176,1.136849594385997,2.4759612050707274,0.03821989528795811,0.017277486910994764,0.009947643979057591
B4-B8,ridge,Ridge residual,1.0635036930076633,1.305210526806308,3820,1.8703928402653207,1.8658436608920255,1.1835191875056918,2.636930936725344,0.05235602094240838,0.019109947643979056,0.012565445026178011
B4-B8,traditional,S02/S03 analytic template-phase,0.9922829246748983,1.3488554851778103,3820,1.8662540111588222,1.8541062402796307,1.2029419536997943,2.8021698008940703,0.06832460732984293,0.01963350785340314,0.013612565445026177
B6-B8,atom_gated_cnn,Atom-gated residual CNN,0.7058530876093748,0.8000353522108143,3820,-0.3650563411363956,-0.30860923437153076,0.7543409494869628,1.7938763272105558,0.014136125654450262,0.006806282722513089,0.004188481675392671
B6-B8,cnn1d,1D-CNN residual,0.7432614932293766,0.8584468172823805,3820,-0.38952808713921205,-0.32967197100391843,0.8086521376233397,1.8146422238397006,0.015445026178010472,0.0075916230366492145,0.003926701570680628
B6-B8,gradient_boosted_trees,HistGradientBoosting residual,0.89051083314339,1.0074390306293655,3820,-0.283579397413235,-0.20312743179780313,0.9483776865385627,1.8473715390585248,0.021727748691099478,0.008376963350785341,0.004712041884816754
B6-B8,mlp,MLP residual,0.9273184522986482,1.0651199188792622,3820,-0.27186937417074775,-0.23451426531178043,0.997439885138641,1.8339377789128481,0.021727748691099478,0.009162303664921465,0.004188481675392671
B6-B8,traditional,S02/S03 analytic template-phase,0.9408492435004575,1.084136362649176,3820,-0.3087176447883102,-0.2053220011757091,1.0235967279550082,2.0258900688071613,0.04476439790575916,0.009162303664921465,0.005235602094240838
B6-B8,ridge,Ridge residual,0.9805708335477347,1.0953066895922716,3820,-0.31190849039615975,-0.22523542972351152,1.037166953988573,1.9672532132459342,0.030890052356020943,0.008900523560209424,0.005759162303664921
pooled_pairs,atom_gated_cnn,Atom-gated residual CNN,1.3868278081778334,1.6066103699889693,11460,1.2444772463419875,1.6187504163735653,1.4741451764524802,2.385877554087251,0.05305410122164049,0.012216404886561954,0.006806282722513089
pooled_pairs,cnn1d,1D-CNN residual,1.4449771983981285,1.6816361760173386,11460,1.2513213511970438,1.5907346805870617,1.534302135367287,2.415864003325978,0.06431064572425829,0.01212914485165794,0.007417102966841187
pooled_pairs,traditional,S02/S03 analytic template-phase,1.3634364346534158,1.9298620330267215,11460,1.244169340772548,1.4947512901246185,1.5510917109777858,2.6669889969286347,0.09886561954624781,0.019109947643979056,0.009773123909249564
pooled_pairs,gradient_boosted_trees,HistGradientBoosting residual,1.4219070295196843,1.7682478360155591,11460,1.2621868612161213,1.5201725153300991,1.5518726814287944,2.3324440363313887,0.07155322862129145,0.015183246073298429,0.00794066317626527
pooled_pairs,ridge,Ridge residual,1.4185512627081354,1.8731546936913661,11460,1.2469285601768803,1.3830302480210968,1.573186092651948,2.546590504936508,0.08324607329842931,0.01614310645724258,0.008900523560209424
pooled_pairs,mlp,MLP residual,1.5315822670381019,1.777252794802803,11460,1.3245321201213778,1.527243912674237,1.6532775716180192,2.438785798362482,0.07146596858638743,0.013787085514834206,0.007329842931937173
