granularity,dimension,stratum,pair,method,method_label,sigma68_ci_low_ns,sigma68_ci_high_ns,bias_ci_low_ns,bias_ci_high_ns,n,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt3ns,tail_frac_abs_gt5ns,tail_frac_abs_gt8ns
pairwise,all,all,B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.7616069459915217,0.88654319751263,2.0563606496451072,2.4583209661690413,3820,2.231772210649377,2.1951976561892437,0.8285278676512505,1.9935798095082722,0.02329842931937173,0.011518324607329843,0.006806282722513089
pairwise,all,all,B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.73483726473504,0.8828863224325396,1.644949908355582,2.0822663450614063,3820,1.8667158695129813,1.8855358800349258,0.8206042451579914,2.435641959556684,0.023036649214659685,0.014397905759162303,0.00968586387434555
pairwise,all,all,B6-B8,atom_gated_cnn,Atom-gated residual CNN,0.701402127607255,0.7901191984689243,-0.44229046661800575,-0.28373718688783806,3820,-0.3650563411363956,-0.30860923437153076,0.7543409494869628,1.7938763272105558,0.014136125654450262,0.006806282722513089,0.004188481675392671
pairwise,all,all,B4-B6,cnn1d,1D-CNN residual,0.8621207742270152,1.0237380269786782,2.035680824266401,2.5141463327918654,3820,2.266510113934778,2.236499993815027,0.9536087123917784,2.0396692157650205,0.02643979057591623,0.012565445026178011,0.006806282722513089
pairwise,all,all,B4-B8,cnn1d,1D-CNN residual,0.8262124309623751,0.9739626531629116,1.596222950352814,2.1903366763511882,3820,1.8769820267955661,1.9032282606165793,0.9256412132375966,2.4375342773281163,0.02617801047120419,0.015183246073298429,0.010209424083769634
pairwise,all,all,B6-B8,cnn1d,1D-CNN residual,0.7551880285143888,0.8518757785400631,-0.4924077573907389,-0.2974735289954039,3820,-0.38952808713921205,-0.32967197100391843,0.8086521376233397,1.8146422238397006,0.015445026178010472,0.0075916230366492145,0.003926701570680628
pairwise,all,all,B4-B6,gradient_boosted_trees,HistGradientBoosting residual,0.9412680016223433,1.1568803925500437,1.8872236792841175,2.5463614216308867,3820,2.176859689237417,2.1636432897620246,1.0632228630016043,1.9981875598506875,0.0387434554973822,0.015183246073298429,0.009424083769633508
pairwise,all,all,B4-B8,gradient_boosted_trees,HistGradientBoosting residual,0.9568916810989873,1.1418322756632822,1.6410655771987643,2.202416960104634,3820,1.893280291824182,1.9603924320072004,1.0616426314944503,2.300228639373475,0.03848167539267016,0.01780104712041885,0.01099476439790576
pairwise,all,all,B6-B8,gradient_boosted_trees,HistGradientBoosting residual,0.896165390511791,1.014551819378062,-0.38676354552559045,-0.18414695240050843,3820,-0.283579397413235,-0.20312743179780313,0.9483776865385627,1.8473715390585248,0.021727748691099478,0.008376963350785341,0.004712041884816754
pairwise,all,all,B4-B6,mlp,MLP residual,0.9805807640879385,1.1481590424121533,2.0018307257755246,2.5425471632483716,3820,2.258667554352814,2.26690410417023,1.0652950233908562,2.118870871518913,0.033507853403141365,0.014659685863874346,0.006806282722513089
pairwise,all,all,B4-B8,mlp,MLP residual,1.0650661088960367,1.1871564760056563,1.7261383471175142,2.280466928383968,3820,1.9867981801820662,2.0088186404762176,1.136849594385997,2.4759612050707274,0.03821989528795811,0.017277486910994764,0.009947643979057591
pairwise,all,all,B6-B8,mlp,MLP residual,0.9220605717123537,1.069255730341071,-0.3548239993579687,-0.18411488163521136,3820,-0.27186937417074775,-0.23451426531178043,0.997439885138641,1.8339377789128481,0.021727748691099478,0.009162303664921465,0.004188481675392671
pairwise,all,all,B4-B6,ridge,Ridge residual,0.9379068376480015,1.3282199193697382,1.8388406224652494,2.6339996660379437,3820,2.1823013306614802,2.0435788235745562,1.144338227331391,2.2222233800550284,0.043455497382198956,0.012565445026178011,0.008638743455497382
pairwise,all,all,B4-B8,ridge,Ridge residual,1.0591664020521425,1.285393719755062,1.5221147804892572,2.2921935939538662,3820,1.8703928402653207,1.8658436608920255,1.1835191875056918,2.636930936725344,0.05235602094240838,0.019109947643979056,0.012565445026178011
pairwise,all,all,B6-B8,ridge,Ridge residual,0.9671001930417246,1.0909512575263054,-0.4068825597937298,-0.21148361859889464,3820,-0.31190849039615975,-0.22523542972351152,1.037166953988573,1.9672532132459342,0.030890052356020943,0.008900523560209424,0.005759162303664921
pairwise,all,all,B4-B6,traditional,S02/S03 analytic template-phase,0.9799819581074464,1.3145162133806414,1.7899399026766463,2.664680873176816,3820,2.1749716559471324,2.056204825957728,1.1969860563877206,2.391080192777473,0.06570680628272252,0.014921465968586388,0.00968586387434555
pairwise,all,all,B4-B8,traditional,S02/S03 analytic template-phase,0.9818052091253163,1.3433727480663769,1.4359780882569702,2.3767460406647434,3820,1.8662540111588222,1.8541062402796307,1.2029419536997943,2.8021698008940703,0.06832460732984293,0.01963350785340314,0.013612565445026177
pairwise,all,all,B6-B8,traditional,S02/S03 analytic template-phase,0.9264968174127806,1.076631867253591,-0.41936156177243666,-0.19283613943657057,3820,-0.3087176447883102,-0.2053220011757091,1.0235967279550082,2.0258900688071613,0.04476439790575916,0.009162303664921465,0.005235602094240838
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.34870949940059986,0.7615016853998018,1.842331588631526,2.2726017097875615,197,2.0886415584977134,2.080863243637957,0.4798058584980578,0.8566707559564662,0.02030456852791878,0.0,0.0
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.26763636367106897,1.4379155105406052,-1.445357561922787,1.998536667903155,42,0.9454948624421826,1.7517487648947032,0.5894223467295652,4.706122479744874,0.047619047619047616,0.047619047619047616,0.023809523809523808
pairwise,amplitude_bin,"amp_adc[1000,1500)",B6-B8,atom_gated_cnn,Atom-gated residual CNN,0.14490392663164534,14.855549725725826,-6.6963346404847,-0.2991228016741104,17,-2.3032169710607144,-0.3925773984496175,0.6773521002264347,6.967810348384637,0.058823529411764705,0.058823529411764705,0.058823529411764705
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B6,cnn1d,1D-CNN residual,0.39642769109324216,0.7789833621030234,1.9542538148841704,2.3928500761043776,197,2.218916394377141,2.179273043113824,0.5489045139180189,0.9500354351344825,0.02030456852791878,0.005076142131979695,0.0
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B8,cnn1d,1D-CNN residual,0.37375514803273663,1.6546907044223413,-1.456870627961521,2.038439703609483,42,1.0009314736177197,1.6855892601873634,0.6602226286437283,4.561505167250687,0.047619047619047616,0.023809523809523808,0.023809523809523808
pairwise,amplitude_bin,"amp_adc[1000,1500)",B6-B8,cnn1d,1D-CNN residual,0.22947639226912742,15.566216497940113,-7.238859372943029,0.061878175459571964,17,-2.117156784366064,-0.415649602289605,0.44297558786517965,7.301827828810815,0.058823529411764705,0.058823529411764705,0.058823529411764705
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B6,gradient_boosted_trees,HistGradientBoosting residual,0.5621925790687388,1.0014458703065598,1.9948040138010565,2.3990391526780863,197,2.212263139039731,2.099302223024033,0.7178388235786999,1.04251613389114,0.025380710659898477,0.0,0.0
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B8,gradient_boosted_trees,HistGradientBoosting residual,0.5095832502828763,2.1793461957642744,-1.4171925547434614,2.2106601574222053,42,1.087433423517926,1.7255144359921637,0.9279465002324624,4.653816043104177,0.07142857142857142,0.023809523809523808,0.023809523809523808
