granularity,dimension,stratum,pair,method,method_label,method_sigma68_ns,method_bias_ns,traditional_sigma68_ns,traditional_bias_ns,delta_sigma68_ns,delta_bias_ns
pairwise,saturation_flag,True,B4-B8,mlp,MLP residual,1.8710164970910572,10.069562398038446,5.149879931688982,8.227777576612526,-3.278863434597925,1.8417848214259198
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,5.33001547363547,3.1621719935038546,8.239394983243926,5.659486279963241,-2.9093795096084563,-2.4973142864593867
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B6,mlp,MLP residual,5.35295276586973,2.837761466343563,8.239394983243926,5.659486279963241,-2.8864422173741966,-2.8217248136196784
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B6,cnn1d,1D-CNN residual,5.796966887854845,2.813432237722782,8.239394983243926,5.659486279963241,-2.442428095389081,-2.846054042240459
pairwise,saturation_flag,True,B6-B8,mlp,MLP residual,1.185077690689587,4.872256625848637,3.5551850395827476,2.807557171651465,-2.3701073488931605,2.064699454197172
pairwise,saturation_flag,True,B4-B8,gradient_boosted_trees,HistGradientBoosting residual,2.9111518133544854,5.75500647451173,5.149879931688982,8.227777576612526,-2.238728118334497,-2.472771102100796
pairwise,saturation_flag,True,B6-B8,gradient_boosted_trees,HistGradientBoosting residual,1.382247977142103,0.45860491137873943,3.5551850395827476,2.807557171651465,-2.1729370624406448,-2.3489522602727257
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B6,ridge,Ridge residual,6.128845567197686,5.210407463246679,8.239394983243926,5.659486279963241,-2.11054941604624,-0.449078816716562
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B6,gradient_boosted_trees,HistGradientBoosting residual,6.262823265596078,0.9405273281173101,8.239394983243926,5.659486279963241,-1.9765717176478486,-4.718958951845931
pairwise,p09_anomaly_class,dropout,B4-B8,gradient_boosted_trees,HistGradientBoosting residual,1.7438266365307338,-1.4014819436999357,3.5170894077650736,-2.122639024390647,-1.7732627712343398,0.721157080690711
pairwise,p09_anomaly_class,novel_broad_template_mismatch,B4-B8,gradient_boosted_trees,HistGradientBoosting residual,8.680343365241308,-2.7432293301141755,10.337448678804812,-1.3065235292129695,-1.6571053135635037,-1.436705800901206
pairwise,charge_bin,"charge[40000,80000)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,5.7921002305450715,3.1086608186627918,7.435918921925885,5.544330878870638,-1.6438186913808135,-2.4356700602078463
pairwise,saturation_flag,True,B6-B8,cnn1d,1D-CNN residual,1.9920551293869702,0.7614552611543134,3.5551850395827476,2.807557171651465,-1.5631299101957774,-2.0461019104971516
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,1.1988438391785383,2.3152245230623305,2.3959588863520813,4.049153353698621,-1.197115047173543,-1.7339288306362906
