stave,n_train,template_cfd20_sample,template_peak_sample,template_area
B2,1260,3.9744863510131836,6,8.092693328857422
B4,1116,4.190148830413818,7,8.195144653320312
B6,1018,4.53666353225708,7,7.859392166137695
B8,770,4.755450248718262,7,8.098337173461914
