alpha,amplitude_sign,fold,sigma68_ns,n_pair_residuals,n_features,heldout_run,variant,mode,direction,n_bins,max_iter,learning_rate,max_leaf_nodes,l2_regularization,max_bins,random_state,monotone_log_amp
0.0,-1.0,0,2.083000896934191,2997,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.0,-1.0,1,1.2355062824543985,3534,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.0,-1.0,2,1.3885657166065606,4710,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.0,-1.0,-1,1.56902429866505,0,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.0,1.0,0,2.0855119418146835,2997,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.0,1.0,1,1.2457957353085547,3534,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.0,1.0,2,1.3767522284396598,4710,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.0,1.0,-1,1.5693533018542993,0,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.01,-1.0,0,2.0830007522542857,2997,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.01,-1.0,1,1.235506155608185,3534,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.01,-1.0,2,1.3885657387041412,4710,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.01,-1.0,-1,1.569024215522204,0,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.01,1.0,0,2.0855114350677555,2997,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.01,1.0,1,1.245795722824783,3534,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.01,1.0,2,1.3767337517749705,4710,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.01,1.0,-1,1.5693469698891696,0,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.1,-1.0,0,2.082999450135592,2997,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.1,-1.0,1,1.235505013992757,3534,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.1,-1.0,2,1.3885659375823032,4710,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.1,-1.0,-1,1.5690234672368841,0,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.1,1.0,0,2.085506879047422,2997,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.1,1.0,1,1.2457956101440568,3534,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.1,1.0,2,1.3766870977294925,4710,5.0,58,signed_shared_shrinkage,,,,,,,,,,
0.1,1.0,-1,1.5693298623069907,0,5.0,58,signed_shared_shrinkage,,,,,,,,,,
1.0,-1.0,0,2.0829864289955857,2997,5.0,58,signed_shared_shrinkage,,,,,,,,,,
1.0,-1.0,1,1.2354935978824386,3534,5.0,58,signed_shared_shrinkage,,,,,,,,,,
1.0,-1.0,2,1.3885679263550001,4710,5.0,58,signed_shared_shrinkage,,,,,,,,,,
1.0,-1.0,-1,1.569015984411008,0,5.0,58,signed_shared_shrinkage,,,,,,,,,,
1.0,1.0,0,2.085461777717267,2997,5.0,58,signed_shared_shrinkage,,,,,,,,,,
1.0,1.0,1,1.2457944514888522,3534,5.0,58,signed_shared_shrinkage,,,,,,,,,,
1.0,1.0,2,1.376189686013799,4710,5.0,58,signed_shared_shrinkage,,,,,,,,,,
1.0,1.0,-1,1.5691486384066395,0,5.0,58,signed_shared_shrinkage,,,,,,,,,,
