method,reference_sigma68_ns,reproduced_sigma68_ns,delta_ns,tolerance_ns,pass
s03a_amp_only,1.5510917109777858,1.5510917109777858,0.0,0.005,True
hgb_full_unconstrained,1.3939661218709831,1.3939661218709831,0.0,0.005,True
