heldout_run,check,value,unit
58,full_unconstrained_shuffled_target_sigma68,2.733037438955362,ns
58,full_monotone_log_amp_shuffled_target_sigma68,2.7500974517830405,ns
58,amplitude_only_shuffled_target_sigma68,2.674555519576661,ns
58,shape_only_shuffled_target_sigma68,2.6962032971437924,ns
58,stave_only_shuffled_target_sigma68,2.6538819224119017,ns
58,train_heldout_event_id_overlap,0.0,events
58,features_exclude_run_event_order_cross_stave_time,1.0,bool
58,final_models_use_heldout_rows,0.0,bool
58,monotone_log_amp_best_direction,-1.0,sign
59,full_unconstrained_shuffled_target_sigma68,3.016762699041394,ns
59,full_monotone_log_amp_shuffled_target_sigma68,3.0104007116527254,ns
59,amplitude_only_shuffled_target_sigma68,3.00499801014945,ns
59,shape_only_shuffled_target_sigma68,2.9989636576309695,ns
59,stave_only_shuffled_target_sigma68,2.998625129369728,ns
59,train_heldout_event_id_overlap,0.0,events
59,features_exclude_run_event_order_cross_stave_time,1.0,bool
59,final_models_use_heldout_rows,0.0,bool
59,monotone_log_amp_best_direction,-1.0,sign
60,full_unconstrained_shuffled_target_sigma68,2.687562941925292,ns
60,full_monotone_log_amp_shuffled_target_sigma68,2.6817299677146593,ns
60,amplitude_only_shuffled_target_sigma68,2.747504371023998,ns
60,shape_only_shuffled_target_sigma68,2.703727819552037,ns
60,stave_only_shuffled_target_sigma68,2.673640822428105,ns
60,train_heldout_event_id_overlap,0.0,events
60,features_exclude_run_event_order_cross_stave_time,1.0,bool
60,final_models_use_heldout_rows,0.0,bool
60,monotone_log_amp_best_direction,-1.0,sign
61,full_unconstrained_shuffled_target_sigma68,2.718597701737769,ns
61,full_monotone_log_amp_shuffled_target_sigma68,2.720062339970362,ns
61,amplitude_only_shuffled_target_sigma68,2.7073903723279225,ns
61,shape_only_shuffled_target_sigma68,2.7220612738470904,ns
61,stave_only_shuffled_target_sigma68,2.748326433617983,ns
61,train_heldout_event_id_overlap,0.0,events
61,features_exclude_run_event_order_cross_stave_time,1.0,bool
61,final_models_use_heldout_rows,0.0,bool
61,monotone_log_amp_best_direction,1.0,sign
62,full_unconstrained_shuffled_target_sigma68,2.8955609663933894,ns
62,full_monotone_log_amp_shuffled_target_sigma68,2.8986185547355214,ns
62,amplitude_only_shuffled_target_sigma68,2.9063032776785547,ns
62,shape_only_shuffled_target_sigma68,2.9011713010933935,ns
62,stave_only_shuffled_target_sigma68,2.889505095122537,ns
62,train_heldout_event_id_overlap,0.0,events
62,features_exclude_run_event_order_cross_stave_time,1.0,bool
62,final_models_use_heldout_rows,0.0,bool
62,monotone_log_amp_best_direction,-1.0,sign
63,full_unconstrained_shuffled_target_sigma68,2.8993080507805775,ns
63,full_monotone_log_amp_shuffled_target_sigma68,2.8975222004352372,ns
63,amplitude_only_shuffled_target_sigma68,2.941997972637635,ns
63,shape_only_shuffled_target_sigma68,2.9142841956656294,ns
63,stave_only_shuffled_target_sigma68,2.873985437257531,ns
63,train_heldout_event_id_overlap,0.0,events
63,features_exclude_run_event_order_cross_stave_time,1.0,bool
63,final_models_use_heldout_rows,0.0,bool
63,monotone_log_amp_best_direction,-1.0,sign
65,full_unconstrained_shuffled_target_sigma68,2.833708921058585,ns
65,full_monotone_log_amp_shuffled_target_sigma68,2.848702901479703,ns
65,amplitude_only_shuffled_target_sigma68,2.889152765080617,ns
65,shape_only_shuffled_target_sigma68,2.8537046927569487,ns
65,stave_only_shuffled_target_sigma68,2.831380631937078,ns
65,train_heldout_event_id_overlap,0.0,events
65,features_exclude_run_event_order_cross_stave_time,1.0,bool
65,final_models_use_heldout_rows,0.0,bool
65,monotone_log_amp_best_direction,1.0,sign
