sample,pair,stage,amp_bin,run,n,sigma68_ns
sample_I,B2-B4,timewalk_corrected,1,57,32,23.20395525688952
sample_I,B2-B4,timewalk_corrected,2,45,69,45.017389303667144
sample_I,B2-B4,timewalk_corrected,2,48,43,22.99706887143936
sample_I,B2-B4,timewalk_corrected,2,49,43,11.289918764131947
sample_I,B2-B4,timewalk_corrected,2,50,43,42.56173690523067
sample_I,B2-B4,timewalk_corrected,2,51,21,43.311675924231
sample_I,B2-B4,timewalk_corrected,2,53,24,45.854782126434145
sample_I,B2-B4,timewalk_corrected,2,54,36,38.94640849476813
sample_I,B2-B4,timewalk_corrected,2,55,27,18.733403930429244
sample_I,B2-B4,timewalk_corrected,2,56,46,47.42240256609129
sample_I,B2-B4,timewalk_corrected,2,57,37,8.154489581591355
sample_I,B2-B4,timewalk_corrected,3,45,93,23.01752066827839
sample_I,B2-B4,timewalk_corrected,3,48,56,24.379986971494095
sample_I,B2-B4,timewalk_corrected,3,49,51,18.491799741343684
sample_I,B2-B4,timewalk_corrected,3,50,52,43.5938861294177
sample_I,B2-B4,timewalk_corrected,3,51,34,42.947582775113375
sample_I,B2-B4,timewalk_corrected,3,53,53,51.70348178540672
sample_I,B2-B4,timewalk_corrected,3,54,56,50.12178652831963
sample_I,B2-B4,timewalk_corrected,3,55,32,44.07972797964048
sample_I,B2-B4,timewalk_corrected,3,56,66,34.81380637546843
sample_I,B2-B4,timewalk_corrected,3,57,53,31.957984386263252
sample_I,B2-B4,timewalk_corrected,4,45,127,24.452334310703172
sample_I,B2-B4,timewalk_corrected,4,48,93,13.010909484912709
sample_I,B2-B4,timewalk_corrected,4,49,92,11.060218384837098
sample_I,B2-B4,timewalk_corrected,4,50,105,38.992946819875954
sample_I,B2-B4,timewalk_corrected,4,51,41,19.966259901982855
sample_I,B2-B4,timewalk_corrected,4,52,24,36.9643424520505
sample_I,B2-B4,timewalk_corrected,4,53,82,42.72840999632071
sample_I,B2-B4,timewalk_corrected,4,54,75,48.42280734954147
sample_I,B2-B4,timewalk_corrected,4,55,61,40.79952293599827
sample_I,B2-B4,timewalk_corrected,4,56,125,46.0077396860681
sample_I,B2-B4,timewalk_corrected,4,57,103,9.207905420381229
sample_I,B2-B4,timewalk_corrected,5,45,228,18.794551096432734
sample_I,B2-B4,timewalk_corrected,5,48,120,10.945147504353518
sample_I,B2-B4,timewalk_corrected,5,49,159,20.9210488583889
sample_I,B2-B4,timewalk_corrected,5,50,170,39.036237010244974
sample_I,B2-B4,timewalk_corrected,5,51,63,40.55235833767401
sample_I,B2-B4,timewalk_corrected,5,52,30,39.835709887879204
sample_I,B2-B4,timewalk_corrected,5,53,133,44.319345192651724
sample_I,B2-B4,timewalk_corrected,5,54,137,42.086723352888704
sample_I,B2-B4,timewalk_corrected,5,55,87,31.412008064993174
sample_I,B2-B4,timewalk_corrected,5,56,215,35.04776081040433
sample_I,B2-B4,timewalk_corrected,5,57,161,7.3969432938092785
sample_I,B2-B4,timewalk_corrected,6,45,154,8.419059916095433
sample_I,B2-B4,timewalk_corrected,6,48,105,15.07158072263805
sample_I,B2-B4,timewalk_corrected,6,49,107,19.961022298054054
sample_I,B2-B4,timewalk_corrected,6,50,97,44.00157119643945
sample_I,B2-B4,timewalk_corrected,6,51,60,31.761305757745372
sample_I,B2-B4,timewalk_corrected,6,52,24,45.45818901826625
sample_I,B2-B4,timewalk_corrected,6,53,112,42.60989241475629
sample_I,B2-B4,timewalk_corrected,6,54,89,42.76642552428391
sample_I,B2-B4,timewalk_corrected,6,55,63,32.73917224975766
sample_I,B2-B4,timewalk_corrected,6,56,135,34.177054484645325
sample_I,B2-B4,timewalk_corrected,6,57,120,11.224896521835305
sample_I,B2-B4,timewalk_corrected,7,45,65,45.649371052541795
sample_I,B2-B4,timewalk_corrected,7,48,34,19.213766088343565
sample_I,B2-B4,timewalk_corrected,7,49,39,29.580477514000158
sample_I,B2-B4,timewalk_corrected,7,50,49,56.84679427763349
sample_I,B2-B4,timewalk_corrected,7,51,20,55.82782441322733
sample_I,B2-B4,timewalk_corrected,7,53,28,33.74918753958507
sample_I,B2-B4,timewalk_corrected,7,54,31,46.77952371840972
sample_I,B2-B4,timewalk_corrected,7,55,20,29.21478981811557
sample_I,B2-B4,timewalk_corrected,7,56,57,50.63576785683002
sample_I,B2-B4,timewalk_corrected,7,57,35,41.882879588522904
sample_I,B2-B4,timewalk_corrected,8,45,22,14.514532119539123
sample_I,B2-B4,timewalk_corrected,8,50,20,50.95786629100172
sample_I,B2-B4,timewalk_corrected,8,56,23,38.849587855541024
sample_I,B2-B6,raw_cfd20,0,45,22,22.26242165798254
sample_I,B2-B6,raw_cfd20,0,56,22,50.56892229967016
