run,sample,n_events,n_cfd_fallback_selected,n_selected_b2_saturated_ge7000,n_selected_B2,n_selected_B4,n_selected_B6,n_selected_B8
44,sample_I,4294,58,334,1884,93,44,17
45,sample_I,48181,519,5466,22786,969,401,177
46,sample_I,1441,9,144,675,7,3,2
47,sample_I,10970,44,1268,5116,85,50,25
48,sample_I,31713,307,1986,13044,599,245,112
49,sample_I,32354,337,2153,13779,640,281,115
50,sample_I,44804,134,19490,34088,659,330,140
51,sample_I,20569,112,7247,14200,303,177,60
52,sample_I,10005,51,3623,6893,148,76,35
53,sample_I,39612,131,13960,31225,559,296,120
54,sample_I,37413,103,13282,29493,536,298,113
55,sample_I,24416,146,8329,16735,372,199,81
56,sample_I,51823,183,21644,38730,825,421,172
57,sample_I,31284,328,1840,12774,656,273,130
58,sample_II,34141,44,1615,15791,591,285,114
59,sample_II,42303,69,805,13565,4527,2366,919
60,sample_II,36074,95,344,9873,4040,2189,927
61,sample_II,36535,90,412,11015,4401,2490,1059
62,sample_II,37584,70,503,11635,4183,2342,929
63,sample_II,37030,51,1221,14566,2645,1153,453
65,sample_II,38424,40,451,11768,842,323,105
