sample,pair,has_b2,stage,amp_bin,amp_lo,amp_hi,n,amp_median,sigma68_ns,ci_low_ns,ci_high_ns,run_spread_std_ns,n_runs_used,sigma68_per_stave_sqrt2_ns
sample_II,B2-B8,True,raw_cfd20,7,4200.0,5200.0,56,4571.0,19.85387932092154,13.029103488450422,30.62854275183771,,0,14.038812700682987
sample_II,B2-B8,True,raw_cfd20,8,5200.0,6500.0,10,5392.0,,,,,0,
sample_II,B2-B8,True,raw_cfd20,9,6500.0,8000.0,0,,,,,,0,
sample_II,B2-B8,True,raw_cfd20,10,8000.0,,0,,,,,,0,
sample_II,B2-B8,True,timewalk_corrected,0,1000.0,1250.0,166,1121.5,7.368886731001788,3.9836989966628966,18.612109989141253,5.948984852394278,4,5.210589777286934
sample_II,B2-B8,True,timewalk_corrected,1,1250.0,1550.0,237,1408.5,2.6653367094189315,2.105757061718375,3.13020805404527,4.88505102891385,5,1.884677661375565
sample_II,B2-B8,True,timewalk_corrected,2,1550.0,1900.0,387,1739.0,2.2620758265077767,1.9620160753751554,2.4977074597672155,0.6828722819290955,5,1.599529156481813
sample_II,B2-B8,True,timewalk_corrected,3,1900.0,2300.0,619,2135.5,1.8594981034898912,1.7093519682959468,2.0435705410705833,0.365044673486447,5,1.3148637185812264
sample_II,B2-B8,True,timewalk_corrected,4,2300.0,2800.0,1185,2568.5,1.6943194707077276,1.5760475791606938,1.768013042945847,0.6306140605071594,6,1.1980647872338361
sample_II,B2-B8,True,timewalk_corrected,5,2800.0,3400.0,1155,3031.5,1.781250054731804,1.643749028206721,1.877096615594374,6.010485820107553,7,1.2595339926897675
sample_II,B2-B8,True,timewalk_corrected,6,3400.0,4200.0,222,3614.0,17.381351312816875,12.883078955211817,20.536542861127547,7.820866177344581,5,12.290471379478511
sample_II,B2-B8,True,timewalk_corrected,7,4200.0,5200.0,56,4571.0,20.158341175497352,13.430719410541755,28.8708971335849,,0,14.254099742666176
sample_II,B2-B8,True,timewalk_corrected,8,5200.0,6500.0,10,5392.0,,,,,0,
sample_II,B2-B8,True,timewalk_corrected,9,6500.0,8000.0,0,,,,,,0,
sample_II,B2-B8,True,timewalk_corrected,10,8000.0,,0,,,,,,0,
sample_II,B4-B6,False,raw_cfd20,0,1000.0,1250.0,496,1125.5,2.8768242282022114,2.5478525617014305,3.106385039442359,0.12617174897148117,5,2.0342219200435396
sample_II,B4-B6,False,raw_cfd20,1,1250.0,1550.0,764,1420.75,2.481003536157872,2.2082011814940374,2.4915994439326923,0.3243921866169029,6,1.754334424565035
