sample,stage,amp_bin,amp_median,stave,sigma68_ns,negative_variance_clipped
sample_I,raw_cfd20,2,1740.5,B4,1.714337918312517,False
sample_I,raw_cfd20,2,1740.5,B6,1.2523777318741522,False
sample_I,raw_cfd20,2,1740.5,B8,0.5781268133118993,False
sample_I,raw_cfd20,3,2112.5,B4,1.535869722808095,False
sample_I,raw_cfd20,3,2112.5,B6,0.9401289044340578,False
sample_I,raw_cfd20,3,2112.5,B8,0.8937483816113561,False
sample_I,raw_cfd20,4,2566.25,B4,1.3336999910308325,False
sample_I,raw_cfd20,4,2566.25,B6,0.7631637082354025,False
sample_I,raw_cfd20,4,2566.25,B8,1.1970954467721073,False
sample_I,raw_cfd20,5,2965.0,B4,1.0592349381638546,False
sample_I,raw_cfd20,5,2965.0,B6,0.6696046132720992,False
sample_I,raw_cfd20,5,2965.0,B8,1.1309746776613838,False
sample_I,timewalk_corrected,2,1740.5,B4,1.665223125248744,False
sample_I,timewalk_corrected,2,1740.5,B6,1.2409277352941201,False
sample_I,timewalk_corrected,2,1740.5,B8,0.0,True
sample_I,timewalk_corrected,3,2112.5,B4,1.6194529545257372,False
sample_I,timewalk_corrected,3,2112.5,B6,0.8133017482936218,False
sample_I,timewalk_corrected,3,2112.5,B8,0.49813385255261794,False
sample_I,timewalk_corrected,4,2566.25,B4,1.1870363046465973,False
sample_I,timewalk_corrected,4,2566.25,B6,0.6817438226669366,False
sample_I,timewalk_corrected,4,2566.25,B8,0.8349612302861948,False
sample_I,timewalk_corrected,5,2965.0,B4,1.0450807571530316,False
sample_I,timewalk_corrected,5,2965.0,B6,0.5787446071942712,False
sample_I,timewalk_corrected,5,2965.0,B8,0.8246087882347054,False
sample_II,raw_cfd20,0,1127.5,B4,2.93475234098889,False
sample_II,raw_cfd20,0,1127.5,B6,0.0,True
sample_II,raw_cfd20,0,1127.5,B8,1.3871880092508873,False
sample_II,raw_cfd20,1,1419.5,B4,2.3925142828062183,False
sample_II,raw_cfd20,1,1419.5,B6,0.6566992865810903,False
sample_II,raw_cfd20,1,1419.5,B8,1.052058419347547,False
sample_II,raw_cfd20,2,1744.75,B4,1.9775957751673086,False
sample_II,raw_cfd20,2,1744.75,B6,1.0857495691930819,False
sample_II,raw_cfd20,2,1744.75,B8,0.7609991501127497,False
sample_II,raw_cfd20,3,2114.5,B4,1.562879067396969,False
sample_II,raw_cfd20,3,2114.5,B6,0.9386388638825406,False
sample_II,raw_cfd20,3,2114.5,B8,0.9650383890562187,False
sample_II,raw_cfd20,4,2564.5,B4,1.3764416788185403,False
sample_II,raw_cfd20,4,2564.5,B6,0.7884638662893788,False
sample_II,raw_cfd20,4,2564.5,B8,0.9968540352402389,False
sample_II,raw_cfd20,5,2988.5,B4,1.250782552237856,False
sample_II,raw_cfd20,5,2988.5,B6,0.6568392201279327,False
sample_II,raw_cfd20,5,2988.5,B8,0.9760380548163299,False
sample_II,timewalk_corrected,0,1127.5,B4,2.139658599274648,False
sample_II,timewalk_corrected,0,1127.5,B6,0.0,True
sample_II,timewalk_corrected,0,1127.5,B8,1.7129446532187675,False
sample_II,timewalk_corrected,1,1419.5,B4,2.1000433844946462,False
sample_II,timewalk_corrected,1,1419.5,B6,0.21536299431617192,False
sample_II,timewalk_corrected,1,1419.5,B8,1.3122638626726821,False
sample_II,timewalk_corrected,2,1744.75,B4,1.7974488329528253,False
sample_II,timewalk_corrected,2,1744.75,B6,0.8925813116614161,False
sample_II,timewalk_corrected,2,1744.75,B8,0.7168118784694554,False
sample_II,timewalk_corrected,3,2114.5,B4,1.4661089441148414,False
sample_II,timewalk_corrected,3,2114.5,B6,0.883829813032901,False
sample_II,timewalk_corrected,3,2114.5,B8,0.5898711512595699,False
sample_II,timewalk_corrected,4,2564.5,B4,1.2516471652962153,False
sample_II,timewalk_corrected,4,2564.5,B6,0.6597828306031843,False
sample_II,timewalk_corrected,4,2564.5,B8,0.6635827943618341,False
sample_II,timewalk_corrected,5,2988.5,B4,1.270060987913605,False
sample_II,timewalk_corrected,5,2988.5,B6,0.21213479374827793,False
sample_II,timewalk_corrected,5,2988.5,B8,0.8768299514432896,False
