method,family,n_heldout,residual_mae_cm,residual_bias_cm,residual_res68_cm,stop_mae_layers,stop_exact_accuracy,residual_mae_cm_ci95,residual_bias_cm_ci95,residual_res68_cm_ci95,stop_mae_layers_ci95,stop_exact_accuracy_ci95
traditional_penetration_depth,traditional_threshold_range,48342,0.003309751354929461,0.0,0.0,0.003309751354929461,0.997993463241074,"[0.002884456897972639, 0.003900414937759336]","[0.0, 0.0]","[0.0, 0.0]","[0.002884456897972639, 0.003900414937759336]","[0.9975311203319502, 0.9984010495674634]"
gradient_boosted_trees,ml_tree,48342,0.004437253215890584,-0.00028909230264551056,0.004096260448964939,0.0009308675685739109,0.9993380497290141,"[0.004075455183510868, 0.004733620946753503]","[-0.00028909230264551056, -0.00028909230264551056]","[0.004096260448964939, 0.004096260448964939]","[0.0005384137502588527, 0.0011949892863029503]","[0.9991692282130099, 0.9995425815036594]"
ordinal_cumulative_cnn,neural_ordinal_waveform,48342,0.017502592409023514,-0.003551483154296875,0.0069340515136718794,0.0067643043316370855,0.99571800918456,"[0.01658454689988684, 0.01827794038408525]","[-0.0035691261291503906, -0.0035283565521240234]","[0.0068984413146972665, 0.006980262279510503]","[0.005744733993838981, 0.007606907894736842]","[0.9951867219917012, 0.9961701773374407]"
mlp,neural_tabular,48342,0.031387471010293766,0.006219983100891113,0.025976333618164066,0.005378345951760374,0.9955318356708452,"[0.031120352273965576, 0.03177878540989247]","[0.0059759199619293215, 0.00643308162689209]","[0.025836219787597658, 0.026148198843002318]","[0.0050628305522528805, 0.005788381742738589]","[0.9953556537175412, 0.9956321081259272]"
1d_cnn,neural_waveform,48342,0.036216694221888765,-0.013509571552276611,0.03175453662872318,0.008812212982499689,0.993980389723222,"[0.03518574123459462, 0.03763931245642143]","[-0.013638496398925781, -0.013333231210708618]","[0.0314116096496582, 0.031951403617858885]","[0.007638831071517776, 0.010341411055608306]","[0.9931676505800272, 0.9945882940637749]"
ridge,ml_linear,48342,0.06638337243481676,-0.0004856586456298828,0.05661851882934571,0.015162798394770593,0.9901328037731165,"[0.06456886268002716, 0.06791113239529169]","[-0.0008119583129882811, -0.00015926361083984375]","[0.056183600425720216, 0.05706232070922853]","[0.013398219092979913, 0.01713570073228643]","[0.9894398340248962, 0.9906544001332113]"
