dominant_sci_species,quantity,n_events,q16,median,q84
1000030060,front_deltae_mev,39,31.916922760009765,50.19321823120117,67.23814819335936
1000030060,residual_e_mev,39,0.0,0.0,1.6233915424346916
1000030060,total_edep_mev,39,35.32347717285156,55.66775131225586,99.63016601562498
1000030060,true_stop_layer,39,0.0,0.0,1.0
1000060120,front_deltae_mev,82,0.0,0.0,7.305166854858391
1000060120,residual_e_mev,82,0.0,0.30805787444114685,1.4541189289093017
1000060120,total_edep_mev,82,0.2973754286766052,0.9935709834098816,7.305166854858391
1000060120,true_stop_layer,82,0.0,1.5,5.039999999999992
alpha,front_deltae_mev,920,21.92025360107422,46.15205764770508,68.85650848388671
alpha,residual_e_mev,920,0.0,0.0,50.04900772094725
alpha,total_edep_mev,920,33.74466110229492,59.13689994812012,92.48200836181638
alpha,true_stop_layer,920,0.0,0.0,2.0
deuteron,front_deltae_mev,110411,22.830470657348634,46.95597839355469,75.57026062011718
deuteron,residual_e_mev,110411,13.461645317077641,47.29729080200195,103.38162689208984
deuteron,total_edep_mev,110411,67.86215209960938,119.68930053710938,132.07111511230468
deuteron,true_stop_layer,110411,1.0,1.0,3.0
electron,front_deltae_mev,34,0.0,0.03761058300733566,0.9684467744827269
electron,residual_e_mev,34,0.0,0.11882032454013824,1.3580142259597774
electron,total_edep_mev,34,0.07357984840869904,0.4950670301914215,1.6611677455902099
electron,true_stop_layer,34,0.0,1.0,3.0
helium3,front_deltae_mev,213,12.641530227661132,44.55153274536133,92.5732299804687
helium3,residual_e_mev,213,0.0,1.4784469604492188,92.7980093383789
helium3,total_edep_mev,213,49.036968841552735,91.06206512451172,116.48281341552735
helium3,true_stop_layer,213,0.0,1.0,2.0
proton,front_deltae_mev,130266,11.04790802001953,12.661288738250732,55.13253631591797
proton,residual_e_mev,130266,42.97985687255859,113.00398254394531,124.98597106933593
proton,total_edep_mev,130266,85.20286560058595,129.03057861328125,144.49142456054688
proton,true_stop_layer,130266,2.0,5.0,7.0
triton,front_deltae_mev,116,13.15931739807129,37.5849723815918,74.49432525634764
triton,residual_e_mev,116,0.0,27.439449310302734,91.46741638183593
triton,total_edep_mev,116,55.392459106445315,94.90001678466797,113.73480224609375
triton,true_stop_layer,116,0.0,1.0,2.0
