pseudo_run,method,n,residual_mae_cm,residual_bias_cm,stop_exact_accuracy
4,traditional_penetration_depth,12257,0.0028555111364934323,0.0,0.9985314514155177
4,ridge,12257,0.06613361648744127,-0.00023746490478515625,0.9902912621359223
4,gradient_boosted_trees,12257,0.004650934961490682,-0.00028909230264551056,0.9993473117402301
4,mlp,12257,0.031317385797245016,0.0064716339111328125,0.995594354246553
4,1d_cnn,12257,0.03571239449226653,-0.013609766960144043,0.9942889777270132
4,ordinal_cumulative_cnn,12257,0.017768738173909393,-0.003554821014404297,0.9956759402790243
9,traditional_penetration_depth,12011,0.002913995504121222,0.0,0.9980018316543169
9,ridge,12011,0.06403659538567269,-0.00013113021850585938,0.9903421863291982
9,gradient_boosted_trees,12011,0.0038796997471414684,-0.00028909230264551056,0.9996669719423862
9,mlp,12011,0.031104438349911043,0.0064122676849365234,0.99567063525102
9,1d_cnn,12011,0.034939593279052064,-0.013481616973876953,0.9947548080925818
9,ordinal_cumulative_cnn,12011,0.016363221871923343,-0.0035223960876464844,0.9961701773374407
14,traditional_penetration_depth,12063,0.004227804028848545,0.0,0.9973472602171931
14,ridge,12063,0.06850686979898615,-0.0008873939514160156,0.9891403465141342
14,gradient_boosted_trees,12063,0.004396179073518401,-0.00028909230264551056,0.9991710188178728
14,mlp,12063,0.03199061788424008,0.006066799163818359,0.9952748072618751
14,1d_cnn,12063,0.038291948160271955,-0.013221263885498047,0.9927878637154937
14,ordinal_cumulative_cnn,12063,0.018619600678818404,-0.003574371337890625,0.9948603166708115
19,traditional_penetration_depth,12011,0.0032470235617350763,0.0,0.9980850886687204
19,ridge,12011,0.06685232998042288,-0.0006933212280273438,0.9907584714012155
19,gradient_boosted_trees,12011,0.004818000442329757,-0.00028909230264551056,0.9991674298559654
19,mlp,12011,0.031136266198020107,0.005901336669921875,0.9955873782366165
19,1d_cnn,12011,0.0359241851012223,-0.013646185398101807,0.9940887519773541
19,ordinal_cumulative_cnn,12011,0.017248521983777344,-0.003551483154296875,0.9961701773374407
