run,selected_pulses,B2,B4,B6,B8,input_path,input_sha256
31,27871,26948,592,237,94,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0031-sorted.root,3544baa9918bf87ba04bde091b40d518cb40cec3d2380ab64eaeff5280cd73bf
32,28240,27316,605,224,95,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0032-sorted.root,0a79662f27ee877c1f417f2825ac549e64c7f0c66d583735149af1ccbe5b4e9c
33,48737,47724,559,318,136,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0033-sorted.root,6950a289c5653e0ca806946617f849d1ec4c805e00d3ef6e1de32e87fa1324a6
34,34118,33373,412,244,89,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0034-sorted.root,91f395bd14f69316bebf4658154da3ee3eee8407fc5aef0860383dc2ccf7ecf3
35,11667,11029,403,163,72,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0035-sorted.root,e8762265962674801bf20858b7af5e29e0c784bf762dc0949fbd1ac92c92cf2f
36,10391,9847,340,143,61,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0036-sorted.root,f3f6f7aa4145ef8b7388dd0f9de23f71a44b00ce5187332dbc720eacb79bc1be
37,24537,22956,997,423,161,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0037-sorted.root,9e4e93b1362367ba482938da06f1202cf14f4db6844c7fa0e1151ac12dade9be
39,14218,13174,663,273,108,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0039-sorted.root,6aa5fc59180b65f0e5fdc043116a457496ca1f2ccb947c2fd08bf27ec833a025
40,14708,13575,707,310,116,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0040-sorted.root,e5bd82738410c099866651a9cc4ecb35ceb4af0303a71c75afcee33e7f1346c1
41,16146,14963,758,298,127,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0041-sorted.root,9c1b5817457d4e0ab3bfb0a1939f8b07df0be21c712ad4c5a317fd5c4157e9c5
42,18112,16977,711,307,117,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0042-sorted.root,54cc18d8b1fff5de7d4f9a0a8a2c6a990d086a19e96569e32ff479fd19c60a45
44,2038,1884,93,44,17,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0044-sorted.root,ee136d5037e074c20a1711aa093f3c217f2f5271a9e3ae5a564ab726cfae5488
45,24333,22786,969,401,177,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0045-sorted.root,2700169249129f21fb48164d51bee0cb5adb9ba5670c791d5246a78f3c5f1a05
46,687,675,7,3,2,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0046-sorted.root,67714b8c75073cfe1746a6cc7223c65fc692fa5b93918aaa4efe717b8d623c1f
47,5276,5116,85,50,25,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0047-sorted.root,21c01ab603eeddcf14bf156c106c0c26d60a433b779fbde4df825b49120de9d5
48,14000,13044,599,245,112,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0048-sorted.root,181e3e77d2ca32eb5d0731e03a71d35eed366cfd15ac1e4f76869ed22adc3d93
49,14815,13779,640,281,115,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0049-sorted.root,d09432ed35abe5fe090ee5af438572895a19d24f4dc812fe32dafd8927bdeb4f
50,35217,34088,659,330,140,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0050-sorted.root,f787bb0cca1937a39df8ba530023aa0fc68eeb83e150f420576eddd45aef65f8
51,14740,14200,303,177,60,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0051-sorted.root,e3c3bc2e9e9ff7aaa6742270c446734d21892469281ecf9ff197878845bfb2eb
52,7152,6893,148,76,35,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0052-sorted.root,f5126e6a92dd7e49316b058a5df0685615b92b1b7f7aba702d812e4a2b552b94
