frontier,value,method,accepted_b2_fraction,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,bias_ci95,res68_ci95,full_rms_ci95,within_10pct_ci95,within_25pct_ci95
support_tier,frontier,peak_loglinear,0.20331987845253752,17932,-0.2306698286899758,0.3157762627138421,0.5372248066296891,0.1306602721391925,0.4868391701985278,"[-0.23908924681391763, -0.2203938512208567]","[0.28510137799475505, 0.34392197351464837]","[0.42708790680561254, 0.6165498943341511]","[0.11843983116020104, 0.14274707462295325]","[0.4587028936603255, 0.5300085791363716]"
support_tier,frontier,integral_loglinear,0.20331987845253752,17932,-0.11393978646774514,0.149854687546541,0.5803602123585493,0.25412670086995315,0.879768012491635,"[-0.12483980080996233, -0.10688401021978587]","[0.14580692858078756, 0.15321089471595595]","[0.42269046749499106, 0.6629167229184918]","[0.21982658444372355, 0.2790006435713449]","[0.8476550126156541, 0.9259557731965145]"
support_tier,frontier,template_scale_loglinear,0.20331987845253752,17932,-0.1645247697356221,0.4774224936455294,0.7810913963884454,0.1753290207450368,0.2957840731652911,"[-0.27651690223052383, -0.09250219928483142]","[0.46270425415136573, 0.49028993762079215]","[0.6487528080104931, 0.8795963866663836]","[0.1543396385268404, 0.19183507075883757]","[0.25203014418607944, 0.32727713029116573]"
support_tier,frontier,strong_huber_transfer,0.20331987845253752,17932,-0.01308730953204985,0.0497367187927865,0.22076320015094503,0.8081641757751505,0.873856792326567,"[-0.01699381878472473, -0.00944020792259738]","[0.04152243632871844, 0.062296223749651984]","[0.1834386131828082, 0.24798615348867514]","[0.7565724222300153, 0.8644206930642749]","[0.8375252362628719, 0.9156797894534869]"
support_tier,frontier,ridge,0.20331987845253752,17932,-0.006638904834246992,0.03433480420025279,3.150188584179919,0.8698973901405309,0.9657595360249833,"[-0.008593539332889161, -0.00411167672181882]","[0.029860853518860274, 0.04109644013870171]","[0.1294663637850612, 5.134880814419832]","[0.8370067506019014, 0.9037907852973331]","[0.9595804963104663, 0.9722973729159479]"
support_tier,frontier,gradient_boosted_trees,0.20331987845253752,17932,0.003953503156508971,0.024338339428584866,0.10266378423958783,0.8999553870176221,0.9647557439214811,"[0.003139157886784386, 0.00474320518371678]","[0.020531007452148153, 0.029190294593107652]","[0.07886728172844928, 0.12090129016105061]","[0.8641985170404162, 0.9400009553099212]","[0.950797046243831, 0.9806089095863904]"
support_tier,frontier,mlp,0.20331987845253752,17932,-0.0011538880478658142,0.02793169723682875,0.08463616263735638,0.9064242694624136,0.9745148338166406,"[-0.002187355124389354, -0.00024329576224621415]","[0.024364343048301193, 0.03117944489009006]","[0.0639782447410315, 0.0988477331671449]","[0.8813882156314979, 0.9388577965591369]","[0.9644705577563559, 0.9862179733688411]"
support_tier,frontier,saturation_knockout_hgb,0.20331987845253752,17932,0.0033794799807346535,0.025521877925875583,0.10253224994150763,0.8987285300022306,0.9627481597144769,"[0.0027744373186364734, 0.004215242606157224]","[0.02196441140660039, 0.0293806642976537]","[0.07878874613651936, 0.11758188362239504]","[0.8694421842534745, 0.9371945759276941]","[0.951446205054129, 0.9770487131467732]"
support_tier,frontier,shuffled_target_hgb,0.20331987845253752,17932,-0.3506053457278586,0.6195487148583914,0.9492682940105052,0.089895159491412,0.23628150791880437,"[-0.45754474416998203, -0.3053003911923241]","[0.5992090391075713, 0.6422072918768074]","[0.7975052966669667, 1.0433840290238794]","[0.08010116163024868, 0.09818472547648358]","[0.212039529557989, 0.254659094774915]"
support_tier,frontier,1d_cnn,0.20331987845253752,17932,-0.01692029366745098,0.06936951912193605,0.18495122969169336,0.7933303591345081,0.9035244256078518,"[-0.020026338733058063, -0.013735254662249253]","[0.06318354710914076, 0.07474087617613734]","[0.15952623111820557, 0.2073457425545849]","[0.7675322733389822, 0.8259484661578635]","[0.8788511845573159, 0.9284859641791934]"
