method,split,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,bias_ci95,res68_ci95,full_rms_ci95,within_10pct_ci95,within_25pct_ci95,family
gradient_boosted_trees,train_B4B6B8_eval_B2_sample_ii_runs,88196,0.0028516297988955526,0.021319160048154838,0.31016653403450306,0.9364483650052157,0.9825388906526373,"[0.0023555376309372356, 0.00327395588598776]","[0.019245861336278036, 0.023812690191499827]","[0.18850881914835158, 0.41968700301858153]","[0.9159405666487116, 0.9549798372150297]","[0.9752611932056634, 0.9885340022439509]",ml
mlp,train_B4B6B8_eval_B2_sample_ii_runs,88196,-0.000483503887356085,0.023653892328173224,1.5193131262722017,0.9357227085128578,0.9796135879178194,"[-0.0017594321638800892, 0.0006719149269679057]","[0.022301559271929075, 0.02533935931644216]","[0.7608751662859159, 2.1481203432259615]","[0.9192364539947843, 0.9518820046521463]","[0.9716922865253982, 0.9866826740959406]",ml
ridge,train_B4B6B8_eval_B2_sample_ii_runs,88196,-0.002645798099569735,0.026734694475435476,28.62684478019149,0.906503696312758,0.9628327815320422,"[-0.0037595995475697896, -0.0013303149827813214]","[0.024838558408778702, 0.029057382399286562]","[14.476609301680005, 42.438711364805684]","[0.8827529957873043, 0.9337773027956057]","[0.9538706706012768, 0.9731251416495315]",ml
saturation_knockout_hgb,train_B4B6B8_eval_B2_sample_ii_runs,88196,0.0019127393673537638,0.022953705777882395,0.279425732157758,0.9298834414259151,0.98115560796408,"[0.0012805048749690675, 0.0024972617554685993]","[0.020818180930033806, 0.025503245473498574]","[0.1783771771860242, 0.367210130808132]","[0.9082973481401561, 0.9503496447900541]","[0.9735922257041324, 0.9884070512725126]",negative_control
shuffled_target_hgb,train_B4B6B8_eval_B2_sample_ii_runs,88196,-0.4314409001830093,0.6727303664155487,3.6970819290944807,0.06829107896049708,0.18007619393169758,"[-0.5064487271403996, -0.3583783870490831]","[0.6565701304198317, 0.6862217889017923]","[2.8586880686331906, 4.340942905764851]","[0.059763124666769855, 0.07954165387998083]","[0.1587241387433861, 0.20493724286885792]",negative_control
template_residual_cnn,train_B4B6B8_eval_B2_sample_ii_runs,88196,-0.016067338263383538,0.04860580451684382,0.254088864733278,0.8266814821533857,0.924010159190893,"[-0.018159190749946454, -0.013494025314515115]","[0.04455892348213033, 0.05337070515256745]","[0.1925405153287962, 0.32943025040080015]","[0.8010179966472211, 0.8507394202894081]","[0.9043645872476782, 0.9448637502820204]",new_architecture
1d_cnn,train_B4B6B8_eval_B2_sample_ii_runs,88196,-0.005840486099944968,0.0661374369606834,0.4261763805376334,0.8112272665427004,0.911039049389995,"[-0.008487634418525417, -0.0034330942412810995]","[0.06059802897072771, 0.07121497014920695]","[0.2470076654782294, 0.5985169566603883]","[0.7839859364095998, 0.840382090128061]","[0.8915993783465984, 0.9317025641846113]",nn
strong_huber_transfer,train_B4B6B8_eval_B2_sample_ii_runs,88196,0.006435089656911454,0.04135497795752779,0.29593823397003316,0.8788720576896911,0.9267767245680076,"[0.003607204865931263, 0.009578253163781697]","[0.03666243382304092, 0.04604249872197759]","[0.2356295687954002, 0.3376690123188991]","[0.8455820776844348, 0.9182702485876966]","[0.9053127227265823, 0.9509170997168046]",traditional
integral_loglinear,train_B4B6B8_eval_B2_sample_ii_runs,88196,-0.1236384598966351,0.15846440797428443,1.6898652956362843,0.15413397432990159,0.8620232210077554,"[-0.1324019544710527, -0.1179866419986454]","[0.15582435781322168, 0.16025289074838334]","[1.3241889875314627, 1.9841636186797922]","[0.12957994316938817, 0.17930595217820805]","[0.8219572229724316, 0.9044315670769163]",traditional
peak_loglinear,train_B4B6B8_eval_B2_sample_ii_runs,88196,-0.22341542160370587,0.3440594017718809,1.9888404643410762,0.11582157920994149,0.46231121592816,"[-0.22969201205411274, -0.2165257666781825]","[0.2983223554475517, 0.3814249485292356]","[1.5280793509210235, 2.34562314252919]","[0.10264780086818338, 0.13591120160970668]","[0.4285164017531536, 0.5119774702687493]",traditional
template_scale_loglinear,train_B4B6B8_eval_B2_sample_ii_runs,88196,-0.2703360893956168,0.4980211499969924,1.5152557139015244,0.1400517030250805,0.2540024490906617,"[-0.3330143337558446, -0.22308212033546104]","[0.4871167918905953, 0.5044306064360767]","[1.2295200306897087, 1.717907723708541]","[0.12245660521224018, 0.15206649511314077]","[0.22090737668146374, 0.2761078998476572]",traditional
