support_cell,support_tier,b2_eval_rows,b2_eval_runs,train_cell_rows,train_cell_runs,median_saturation_depth_adc,median_q_template_mismatch
deep_500_1500|extreme|active|early_le5,unsupported,3,3,0,0,1311.0,0.4992259766018683
deep_500_1500|extreme|active|late_ge12,unsupported,1,1,0,0,942.0,0.6998352051241807
deep_500_1500|extreme|active|rising_6_8,unsupported,25,7,0,0,1033.0,0.10921237564977036
deep_500_1500|extreme|large|central_9_11,unsupported,3,3,0,0,904.5,0.13500747565953816
deep_500_1500|extreme|large|early_le5,unsupported,162,7,9,9,917.5,0.16313949320635385
deep_500_1500|extreme|large|late_ge12,unsupported,2,2,0,0,810.0,0.230011229540256
deep_500_1500|extreme|large|rising_6_8,unsupported,120,7,1,1,925.25,0.13504102992466047
deep_500_1500|extreme|mild|central_9_11,unsupported,3,2,0,0,891.5,0.6056909113346625
deep_500_1500|extreme|mild|early_le5,unsupported,1,1,0,0,776.5,0.7351134204616631
deep_500_1500|extreme|mild|late_ge12,unsupported,2,2,1,1,615.25,1.2764644653323574
deep_500_1500|extreme|mild|rising_6_8,unsupported,170,7,0,0,971.25,0.10730329839044456
deep_500_1500|extreme|quiet|central_9_11,unsupported,18,6,2,2,1069.5,0.4117765611023211
deep_500_1500|extreme|quiet|early_le5,unsupported,6,4,0,0,1044.75,0.49199949714348823
deep_500_1500|extreme|quiet|late_ge12,unsupported,35,7,3,2,895.5,0.5664348105633791
deep_500_1500|extreme|quiet|rising_6_8,unsupported,938,7,3,3,976.75,0.10730666073979195
deep_500_1500|high|active|central_9_11,unsupported,1,1,0,0,674.0,0.06209984887631214
deep_500_1500|high|active|rising_6_8,unsupported,23,5,0,0,828.0,0.09271469929572936
deep_500_1500|high|large|central_9_11,unsupported,1,1,0,0,1035.0,0.08840560830055072
deep_500_1500|high|large|early_le5,unsupported,20,5,0,0,762.5,0.09561252621245886
deep_500_1500|high|large|rising_6_8,unsupported,123,6,2,2,947.5,0.08482429767860267
deep_500_1500|high|mild|central_9_11,unsupported,2,2,0,0,1142.25,0.09574442714583957
deep_500_1500|high|mild|rising_6_8,unsupported,93,7,2,2,932.5,0.09432122602720491
deep_500_1500|high|quiet|central_9_11,unsupported,9,5,1,1,1043.5,0.08031855801258364
deep_500_1500|high|quiet|rising_6_8,unsupported,510,7,2,2,865.5,0.09501057093437928
deep_500_1500|moderate|quiet|central_9_11,unsupported,2,2,0,0,880.5,0.04428027531336848
deep_500_1500|moderate|quiet|rising_6_8,unsupported,1,1,0,0,1177.5,0.041356159271904114
edge_0_500|extreme|active|central_9_11,unsupported,1,1,0,0,353.0,0.6442891119682983
edge_0_500|extreme|active|late_ge12,unsupported,1,1,0,0,291.0,1.2228403795068679
edge_0_500|extreme|active|rising_6_8,unsupported,23,6,1,1,192.0,0.10940727015473745
edge_0_500|extreme|large|central_9_11,unsupported,4,2,0,0,119.0,0.19046834110771976
edge_0_500|extreme|large|early_le5,unsupported,128,7,9,8,232.5,0.15482183880859224
edge_0_500|extreme|large|late_ge12,unsupported,6,3,1,1,345.5,0.28988850166821367
edge_0_500|extreme|large|rising_6_8,unsupported,83,7,3,3,264.0,0.1199035065071753
edge_0_500|extreme|mild|central_9_11,unsupported,4,4,0,0,196.0,0.19367260603028263
edge_0_500|extreme|mild|early_le5,unsupported,2,1,0,0,152.5,0.6023026788700802
edge_0_500|extreme|mild|late_ge12,unsupported,9,5,1,1,367.0,0.4197201213658142
edge_0_500|extreme|mild|rising_6_8,unsupported,101,7,1,1,211.0,0.1063200028738568
edge_0_500|extreme|quiet|central_9_11,unsupported,16,5,1,1,147.0,0.25751219672345904
edge_0_500|extreme|quiet|early_le5,unsupported,3,2,0,0,196.0,0.4778945113258953
edge_0_500|extreme|quiet|late_ge12,unsupported,32,7,11,9,231.75,0.6106766141271782
edge_0_500|extreme|quiet|rising_6_8,unsupported,596,7,5,5,228.5,0.10618581455013623
edge_0_500|high|active|rising_6_8,unsupported,13,5,1,1,326.0,0.09661781700637759
edge_0_500|high|large|early_le5,unsupported,17,6,2,2,154.0,0.0967134119250661
edge_0_500|high|large|rising_6_8,unsupported,77,7,1,1,239.0,0.08628478127347243
edge_0_500|high|mild|central_9_11,unsupported,2,2,0,0,436.5,0.09455648370054409
edge_0_500|high|mild|rising_6_8,unsupported,74,7,3,3,230.25,0.09442030343328932
edge_0_500|high|quiet|central_9_11,unsupported,5,4,0,0,220.5,0.0683168480659651
edge_0_500|high|quiet|rising_6_8,unsupported,436,7,9,7,201.25,0.09572788875368299
edge_0_500|moderate|quiet|central_9_11,unsupported,1,1,0,0,371.5,0.04058533279121801
extreme_ge1500|extreme|active|early_le5,unsupported,2,2,0,0,1729.0,0.4637423008738814
extreme_ge1500|extreme|active|rising_6_8,unsupported,33,6,0,0,2024.5,0.11971337025860969
extreme_ge1500|extreme|large|central_9_11,unsupported,3,1,0,0,1658.5,0.3509393514372369
extreme_ge1500|extreme|large|early_le5,unsupported,97,7,2,2,1919.0,0.2511021551118984
extreme_ge1500|extreme|large|late_ge12,unsupported,2,2,0,0,1838.75,0.5293043251384368
extreme_ge1500|extreme|large|rising_6_8,unsupported,77,7,0,0,1946.5,0.41926489310723086
extreme_ge1500|extreme|mild|early_le5,unsupported,4,3,0,0,1982.75,0.5046654744076029
extreme_ge1500|extreme|mild|late_ge12,unsupported,3,3,0,0,1986.5,0.5187913207215348
extreme_ge1500|extreme|mild|rising_6_8,unsupported,162,7,0,0,2016.0,0.11163754114329733
