method,metric,ci_low,ci_high,n_boot_valid
cnn_1d,composite_loss,0.5430329843000932,0.8072152336438497,2000
cnn_1d,external_closure_loss,0.5430329843000932,0.8072152336438497,2000
cnn_1d,good_recovery_rate,0.8764044943820225,0.9568965517241379,2000
cnn_1d,recover_utility_vs_veto0,0.5186590596686962,0.6835674632497195,2000
cnn_1d,time_mae_samples,0.5430329843000932,0.8072152336438497,2000
cnn_1d,time_res68_samples,0.5379015350341797,0.6231111717224121,2000
gradient_boosted_trees,composite_loss,0.392930898260563,0.6216940681139628,2000
gradient_boosted_trees,external_closure_loss,0.392930898260563,0.6216940681139628,2000
gradient_boosted_trees,good_recovery_rate,0.9347826086956522,0.9702970297029703,2000
gradient_boosted_trees,recover_utility_vs_veto0,0.6612128093838692,0.7617866312373768,2000
gradient_boosted_trees,time_mae_samples,0.392930898260563,0.6216940681139628,2000
gradient_boosted_trees,time_res68_samples,0.2496047019958496,0.3216423988342285,2000
late_gated_cnn_new,composite_loss,0.5121695345098322,0.7911341985066732,2000
late_gated_cnn_new,external_closure_loss,0.5121695345098322,0.7911341985066732,2000
late_gated_cnn_new,good_recovery_rate,0.8895348837209303,0.9411764705882353,2000
late_gated_cnn_new,recover_utility_vs_veto0,0.5179060899934103,0.6776377500187267,2000
late_gated_cnn_new,time_mae_samples,0.5121695345098322,0.7911341985066732,2000
late_gated_cnn_new,time_res68_samples,0.4190669822692871,0.5929168505668639,2000
mlp,composite_loss,0.6866161616948935,1.0447599309162028,2000
mlp,external_closure_loss,0.6866161616948935,1.0447599309162028,2000
mlp,good_recovery_rate,0.8854166666666666,0.9636363636363636,2000
mlp,recover_utility_vs_veto0,0.3974927416125547,0.6034953550650523,2000
mlp,time_mae_samples,0.6866161616948935,1.0447599309162028,2000
mlp,time_res68_samples,0.4225621223449707,0.5090185737609862,2000
ridge,composite_loss,0.9795559926466508,1.517313890678938,2000
ridge,external_closure_loss,0.9795559926466508,1.517313890678938,2000
ridge,good_recovery_rate,0.6573033707865169,0.8060344827586207,2000
ridge,recover_utility_vs_veto0,-0.06817031388872119,0.3139841921189252,2000
ridge,time_mae_samples,0.9795559926466508,1.517313890678938,2000
ridge,time_res68_samples,0.56854248046875,1.897465705871582,2000
traditional_late_template,composite_loss,0.7979493425271221,1.4537290982578113,2000
traditional_late_template,external_closure_loss,0.7979493425271221,1.4537290982578113,2000
traditional_late_template,good_recovery_rate,0.8488372093023255,0.9292035398230089,2000
traditional_late_template,recover_utility_vs_veto0,0.43283664542575206,0.6837082616787041,2000
traditional_late_template,time_mae_samples,0.7979493425271221,1.4537290982578113,2000
traditional_late_template,time_res68_samples,0.1889070129394531,0.3068245506286621,2000
