model,epoch,train_mse_scaled
mlp,0,0.7994909909638491
mlp,40,0.22237043048847804
mlp,79,0.19421079924160783
cnn1d,0,0.8224700472571633
cnn1d,40,0.2371673502705314
cnn1d,79,0.21117990260774439
shape_gated_cnn,0,0.9266725019975142
shape_gated_cnn,40,0.23130972683429718
shape_gated_cnn,79,0.20113238285888324
mlp,0,0.8399279084470537
mlp,40,0.2322501333223449
mlp,79,0.20117664006021288
cnn1d,0,0.8437389731407166
cnn1d,40,0.24766994184917873
cnn1d,79,0.2134901483853658
shape_gated_cnn,0,0.9520922667450376
shape_gated_cnn,40,0.24692904618051317
shape_gated_cnn,79,0.21170689331160653
mlp,0,0.8445803456836276
mlp,40,0.24454166243473688
mlp,79,0.21605243782202402
cnn1d,0,0.8475769294632806
cnn1d,40,0.2664837001098527
cnn1d,79,0.2335616619222694
shape_gated_cnn,0,0.9508183896541595
shape_gated_cnn,40,0.25036683057745296
shape_gated_cnn,79,0.2246388809548484
mlp,0,0.8421056691338035
mlp,40,0.20102737274240046
mlp,79,0.1737228561850155
cnn1d,0,0.8494715795797461
cnn1d,40,0.21184778125847087
cnn1d,79,0.18346386359018438
shape_gated_cnn,0,0.9521027032066794
shape_gated_cnn,40,0.2040584516875884
shape_gated_cnn,79,0.17899664579068914
mlp,0,0.8368926445643107
mlp,40,0.23798172175884247
mlp,79,0.20005314962731469
cnn1d,0,0.8457017342249552
cnn1d,40,0.2467343488501178
cnn1d,79,0.20967353756229082
shape_gated_cnn,0,0.9485391477743784
shape_gated_cnn,40,0.2437130283150408
shape_gated_cnn,79,0.21567713759011692
mlp,0,0.811192987930207
mlp,40,0.22847647007022584
mlp,79,0.200179775201139
cnn1d,0,0.8185933714821225
cnn1d,40,0.23216354882433302
cnn1d,79,0.2072765121147746
shape_gated_cnn,0,0.935480671269553
shape_gated_cnn,40,0.24385864997193926
shape_gated_cnn,79,0.212453859547774
mlp,0,0.8067098341204904
mlp,40,0.22495289993557063
mlp,79,0.19326860626990144
cnn1d,0,0.8220389918847517
cnn1d,40,0.23394200984727254
cnn1d,79,0.20882449705492367
shape_gated_cnn,0,0.9242406622930006
shape_gated_cnn,40,0.23950073529373517
shape_gated_cnn,79,0.2087575210766359
