model,alpha,fold,sigma68_ns,max_iter,learning_rate,max_leaf_nodes,l2_regularization,max_bins,random_state,alpha_global,alpha_dev,n_pair_residuals
ridge,0.01,0,2.0616714785409704,,,,,,,,,
ridge,0.01,1,1.4262035040446661,,,,,,,,,
ridge,0.01,2,1.5499881798214519,,,,,,,,,
ridge,0.01,-1,1.6792877208023629,,,,,,,,,
ridge,0.1,0,2.06095527344557,,,,,,,,,
ridge,0.1,1,1.4254080326925607,,,,,,,,,
ridge,0.1,2,1.5499283039705585,,,,,,,,,
ridge,0.1,-1,1.6787638700362297,,,,,,,,,
ridge,1.0,0,2.0561762091571785,,,,,,,,,
ridge,1.0,1,1.4207145911145165,,,,,,,,,
ridge,1.0,2,1.5474205279309243,,,,,,,,,
ridge,1.0,-1,1.6747704427342065,,,,,,,,,
ridge,10.0,0,2.049383473563737,,,,,,,,,
ridge,10.0,1,1.4239458637770774,,,,,,,,,
ridge,10.0,2,1.5282638000824227,,,,,,,,,
ridge,10.0,-1,1.6671977124744124,,,,,,,,,
ridge,100.0,0,2.0336029893421004,,,,,,,,,
ridge,100.0,1,1.365394832172852,,,,,,,,,
ridge,100.0,2,1.461252634488514,,,,,,,,,
ridge,100.0,-1,1.620083485334489,,,,,,,,,
hgb,,0,1.6950847577868238,60.0,0.04,7.0,0.0,64.0,20260610.0,,,
hgb,,1,1.16370182979815,60.0,0.04,7.0,0.0,64.0,20260610.0,,,
hgb,,2,1.1831644919763988,60.0,0.04,7.0,0.0,64.0,20260610.0,,,
hgb,,-1,1.3473170265204575,60.0,0.04,7.0,0.0,64.0,20260610.0,,,
hgb,,0,1.6930925785993087,60.0,0.04,7.0,0.1,64.0,20260610.0,,,
hgb,,1,1.1591081634945972,60.0,0.04,7.0,0.1,64.0,20260610.0,,,
hgb,,2,1.1743063362109045,60.0,0.04,7.0,0.1,64.0,20260610.0,,,
hgb,,-1,1.3421690261016035,60.0,0.04,7.0,0.1,64.0,20260610.0,,,
hgb,,0,1.715384545217985,60.0,0.04,15.0,0.0,64.0,20260610.0,,,
hgb,,1,1.1656847114531617,60.0,0.04,15.0,0.0,64.0,20260610.0,,,
hgb,,2,1.1969533103316154,60.0,0.04,15.0,0.0,64.0,20260610.0,,,
hgb,,-1,1.3593408556675872,60.0,0.04,15.0,0.0,64.0,20260610.0,,,
hgb,,0,1.719615489354051,60.0,0.04,15.0,0.1,64.0,20260610.0,,,
hgb,,1,1.166365565178023,60.0,0.04,15.0,0.1,64.0,20260610.0,,,
hgb,,2,1.189822950614447,60.0,0.04,15.0,0.1,64.0,20260610.0,,,
hgb,,-1,1.3586013350488404,60.0,0.04,15.0,0.1,64.0,20260610.0,,,
hgb,,0,1.9448314293015954,60.0,0.08,7.0,0.0,64.0,20260610.0,,,
hgb,,1,1.2959474717767003,60.0,0.08,7.0,0.0,64.0,20260610.0,,,
hgb,,2,1.316280610662349,60.0,0.08,7.0,0.0,64.0,20260610.0,,,
hgb,,-1,1.5190198372468817,60.0,0.08,7.0,0.0,64.0,20260610.0,,,
hgb,,0,1.9297005857375087,60.0,0.08,7.0,0.1,64.0,20260610.0,,,
hgb,,1,1.3031540423170545,60.0,0.08,7.0,0.1,64.0,20260610.0,,,
hgb,,2,1.3017375510908689,60.0,0.08,7.0,0.1,64.0,20260610.0,,,
hgb,,-1,1.5115307263818105,60.0,0.08,7.0,0.1,64.0,20260610.0,,,
hgb,,0,1.9368380003605226,60.0,0.08,15.0,0.0,64.0,20260610.0,,,
hgb,,1,1.361181539964415,60.0,0.08,15.0,0.0,64.0,20260610.0,,,
hgb,,2,1.3455689084438724,60.0,0.08,15.0,0.0,64.0,20260610.0,,,
hgb,,-1,1.54786281625627,60.0,0.08,15.0,0.0,64.0,20260610.0,,,
hgb,,0,1.9038216604495302,60.0,0.08,15.0,0.1,64.0,20260610.0,,,
hgb,,1,1.3618601686658385,60.0,0.08,15.0,0.1,64.0,20260610.0,,,
hgb,,2,1.355420686502693,60.0,0.08,15.0,0.1,64.0,20260610.0,,,
hgb,,-1,1.5403675052060206,60.0,0.08,15.0,0.1,64.0,20260610.0,,,
hgb,,0,1.9157450527349005,100.0,0.04,7.0,0.0,64.0,20260610.0,,,
hgb,,1,1.2844086231194702,100.0,0.04,7.0,0.0,64.0,20260610.0,,,
hgb,,2,1.2971601393575587,100.0,0.04,7.0,0.0,64.0,20260610.0,,,
hgb,,-1,1.4991046050706434,100.0,0.04,7.0,0.0,64.0,20260610.0,,,
hgb,,0,1.8952513897052257,100.0,0.04,7.0,0.1,64.0,20260610.0,,,
hgb,,1,1.282295692554078,100.0,0.04,7.0,0.1,64.0,20260610.0,,,
hgb,,2,1.3104018596774265,100.0,0.04,7.0,0.1,64.0,20260610.0,,,
hgb,,-1,1.4959829806455769,100.0,0.04,7.0,0.1,64.0,20260610.0,,,
hgb,,0,1.8956441628405838,100.0,0.04,15.0,0.0,64.0,20260610.0,,,
hgb,,1,1.3189147136971173,100.0,0.04,15.0,0.0,64.0,20260610.0,,,
hgb,,2,1.342875790602826,100.0,0.04,15.0,0.0,64.0,20260610.0,,,
hgb,,-1,1.5191448890468424,100.0,0.04,15.0,0.0,64.0,20260610.0,,,
hgb,,0,1.8960550702076762,100.0,0.04,15.0,0.1,64.0,20260610.0,,,
hgb,,1,1.3399695152875246,100.0,0.04,15.0,0.1,64.0,20260610.0,,,
hgb,,2,1.3275689383797429,100.0,0.04,15.0,0.1,64.0,20260610.0,,,
hgb,,-1,1.5211978412916478,100.0,0.04,15.0,0.1,64.0,20260610.0,,,
hgb,,0,1.9590925455066315,100.0,0.08,7.0,0.0,64.0,20260610.0,,,
hgb,,1,1.3429320877080717,100.0,0.08,7.0,0.0,64.0,20260610.0,,,
hgb,,2,1.3369687343801728,100.0,0.08,7.0,0.0,64.0,20260610.0,,,
hgb,,-1,1.5463311225316254,100.0,0.08,7.0,0.0,64.0,20260610.0,,,
hgb,,0,1.9525635833739328,100.0,0.08,7.0,0.1,64.0,20260610.0,,,
hgb,,1,1.3455323308952423,100.0,0.08,7.0,0.1,64.0,20260610.0,,,
hgb,,2,1.34217329472774,100.0,0.08,7.0,0.1,64.0,20260610.0,,,
hgb,,-1,1.5467564029989715,100.0,0.08,7.0,0.1,64.0,20260610.0,,,
hgb,,0,1.9199808983235913,100.0,0.08,15.0,0.0,64.0,20260610.0,,,
hgb,,1,1.4034670790144708,100.0,0.08,15.0,0.0,64.0,20260610.0,,,
hgb,,2,1.407659919337737,100.0,0.08,15.0,0.0,64.0,20260610.0,,,
hgb,,-1,1.5770359655585997,100.0,0.08,15.0,0.0,64.0,20260610.0,,,
hgb,,0,1.9079923716656422,100.0,0.08,15.0,0.1,64.0,20260610.0,,,
hgb,,1,1.404736000189548,100.0,0.08,15.0,0.1,64.0,20260610.0,,,
hgb,,2,1.394948009427706,100.0,0.08,15.0,0.1,64.0,20260610.0,,,
hgb,,-1,1.5692254604276321,100.0,0.08,15.0,0.1,64.0,20260610.0,,,
hierarchical_shrinkage,,0,2.0980428314398702,,,,,,,0.1,10.0,2997.0
hierarchical_shrinkage,,1,1.379390390170034,,,,,,,0.1,10.0,3534.0
hierarchical_shrinkage,,2,1.4232276928601446,,,,,,,0.1,10.0,4710.0
hierarchical_shrinkage,,-1,1.6335536381566829,,,,,,,0.1,10.0,0.0
hierarchical_shrinkage,,0,2.1048107002505065,,,,,,,0.1,100.0,2997.0
hierarchical_shrinkage,,1,1.3903974925662546,,,,,,,0.1,100.0,3534.0
hierarchical_shrinkage,,2,1.4346508499534447,,,,,,,0.1,100.0,4710.0
hierarchical_shrinkage,,-1,1.6432863475900685,,,,,,,0.1,100.0,0.0
hierarchical_shrinkage,,0,2.106712227613982,,,,,,,0.1,1000.0,2997.0
hierarchical_shrinkage,,1,1.3779098744960994,,,,,,,0.1,1000.0,3534.0
hierarchical_shrinkage,,2,1.4168191985296958,,,,,,,0.1,1000.0,4710.0
hierarchical_shrinkage,,-1,1.6338137668799257,,,,,,,0.1,1000.0,0.0
hierarchical_shrinkage,,0,2.1079151828770337,,,,,,,0.1,10000.0,2997.0
hierarchical_shrinkage,,1,1.3692458215176733,,,,,,,0.1,10000.0,3534.0
hierarchical_shrinkage,,2,1.3865408652777549,,,,,,,0.1,10000.0,4710.0
hierarchical_shrinkage,,-1,1.6212339565574874,,,,,,,0.1,10000.0,0.0
hierarchical_shrinkage,,0,2.021038098215068,,,,,,,1.0,10.0,2997.0
hierarchical_shrinkage,,1,1.3206999663735424,,,,,,,1.0,10.0,3534.0
hierarchical_shrinkage,,2,1.4055542906691265,,,,,,,1.0,10.0,4710.0
hierarchical_shrinkage,,-1,1.5824307850859123,,,,,,,1.0,10.0,0.0
hierarchical_shrinkage,,0,2.09421470667845,,,,,,,1.0,100.0,2997.0
hierarchical_shrinkage,,1,1.3857613459420521,,,,,,,1.0,100.0,3534.0
hierarchical_shrinkage,,2,1.4586597151430283,,,,,,,1.0,100.0,4710.0
hierarchical_shrinkage,,-1,1.6462119225878435,,,,,,,1.0,100.0,0.0
hierarchical_shrinkage,,0,2.10333903836985,,,,,,,1.0,1000.0,2997.0
hierarchical_shrinkage,,1,1.3905556288965553,,,,,,,1.0,1000.0,3534.0
hierarchical_shrinkage,,2,1.4556233341393554,,,,,,,1.0,1000.0,4710.0
hierarchical_shrinkage,,-1,1.6498393338019202,,,,,,,1.0,1000.0,0.0
hierarchical_shrinkage,,0,2.1097495320192867,,,,,,,1.0,10000.0,2997.0
hierarchical_shrinkage,,1,1.382290850568731,,,,,,,1.0,10000.0,3534.0
hierarchical_shrinkage,,2,1.4323622262024678,,,,,,,1.0,10000.0,4710.0
hierarchical_shrinkage,,-1,1.6414675362634952,,,,,,,1.0,10000.0,0.0
hierarchical_shrinkage,,0,1.4403918769621864,,,,,,,10.0,10.0,2997.0
hierarchical_shrinkage,,1,1.017405092882508,,,,,,,10.0,10.0,3534.0
hierarchical_shrinkage,,2,1.0885432220720255,,,,,,,10.0,10.0,4710.0
hierarchical_shrinkage,,-1,1.1821133973055733,,,,,,,10.0,10.0,0.0
hierarchical_shrinkage,,0,2.0093812255989225,,,,,,,10.0,100.0,2997.0
hierarchical_shrinkage,,1,1.325861796706047,,,,,,,10.0,100.0,3534.0
hierarchical_shrinkage,,2,1.4232404073451468,,,,,,,10.0,100.0,4710.0
hierarchical_shrinkage,,-1,1.5861611432167055,,,,,,,10.0,100.0,0.0
hierarchical_shrinkage,,0,2.0838416743990043,,,,,,,10.0,1000.0,2997.0
hierarchical_shrinkage,,1,1.3797595308022388,,,,,,,10.0,1000.0,3534.0
hierarchical_shrinkage,,2,1.4696063391960161,,,,,,,10.0,1000.0,4710.0
hierarchical_shrinkage,,-1,1.6444025147990864,,,,,,,10.0,1000.0,0.0
hierarchical_shrinkage,,0,2.0981865859766593,,,,,,,10.0,10000.0,2997.0
hierarchical_shrinkage,,1,1.3779318902111672,,,,,,,10.0,10000.0,3534.0
hierarchical_shrinkage,,2,1.4514839872140903,,,,,,,10.0,10000.0,4710.0
hierarchical_shrinkage,,-1,1.6425341544673058,,,,,,,10.0,10000.0,0.0
hierarchical_shrinkage,,0,1.5563246779933284,,,,,,,100.0,10.0,2997.0
hierarchical_shrinkage,,1,1.8704645935369104,,,,,,,100.0,10.0,3534.0
hierarchical_shrinkage,,2,2.0584663849192326,,,,,,,100.0,10.0,4710.0
