event_id,source_run,current_class,stave,amplitude_adc,peak_sample,amplitude_bin,peak_phase_bin,traditional_template_delta_sse,ridge_linear_classifier,gradient_boosted_trees,mlp_dense_waveform,random_filter_1d_cnn,hybrid_template_residual_stack
real:high:63:0,63,high,B8,5029.5,8,mid,core,0.9999999988095106,0.5165875661719305,0.3193922294590978,0.4961932234835931,0.4845949853098728,0.5732421110060351
real:high:63:1,63,high,B6,2278.0,9,low,core,0.999999999683494,0.28373137964528566,0.1993793049578648,0.20145269725571144,0.10040224268958711,0.15399034326638483
real:high:63:2,63,high,B6,1660.5,5,low,early,0.0,0.07689001379792193,0.009890207940186883,0.020658016876700363,0.0007714846075464843,0.06381763371244395
real:high:63:3,63,high,B4,1791.0,5,low,early,0.0,0.0978024595837217,0.01021887188562615,0.022097902912417793,0.0013098102152837544,0.05100693751623424
real:high:63:4,63,high,B4,1887.0,5,low,early,0.0,0.09921536954694263,0.03368628061400459,0.018206518370089627,0.001003196535786515,0.06364272274923735
real:high:63:5,63,high,B8,3723.5,8,mid,core,0.9999999998934979,0.5654139934304323,0.2399709957604344,0.6295096504635425,0.41614663811191527,0.39744645422781794
real:high:63:6,63,high,B4,2768.5,8,low,core,0.9999999994445107,0.3589174120574119,0.1290696185383098,0.25686528829472,0.15698278558362863,0.13044487176030015
real:high:63:7,63,high,B8,3614.5,7,mid,core,0.9999999997487112,0.4908416699482027,0.4710040033770173,0.5105344629424456,0.28278367471612165,0.3336495983410325
real:high:63:8,63,high,B6,4270.0,8,mid,core,1.0,0.6155842755706364,0.49009658981588883,0.818493518587622,0.7065541203843333,0.6098952382856542
real:high:63:9,63,high,B2,3862.5,6,mid,core,0.9999999997496144,0.4313918100640856,0.09221482395783179,0.39271187861953544,0.12337984378699868,0.24294100186157602
real:high:63:10,63,high,B2,6212.0,7,high,core,0.9999999997821196,0.4822374332168007,0.5311739894969988,0.4874876894608888,0.4021813707842305,0.6440141016676377
real:high:63:11,63,high,B6,2550.5,8,low,core,0.9999999997866599,0.29704145396471954,0.12685134792268826,0.19213803708034816,0.0979787608628314,0.164656045467898
real:high:63:12,63,high,B2,2052.0,8,low,core,0.9999999995831708,0.2151743283209165,0.03659751954896313,0.120727058942065,0.053189319048055066,0.1953736677090054
real:high:63:13,63,high,B6,1526.5,9,low,core,0.9999999997388638,0.23508279740710705,0.03675701946936306,0.14679124435686994,0.07826182993341947,0.13849078620462543
real:high:63:14,63,high,B4,2092.5,8,low,core,0.9999999997012314,0.22188832459088892,0.10145594750285675,0.13505584043001284,0.06184618775395722,0.07041754561973619
real:high:63:15,63,high,B2,2892.5,8,low,core,0.9999999996310033,0.33634269192069577,0.11488411197708065,0.19195963757139087,0.12748097351983306,0.2608144025648772
real:high:63:16,63,high,B6,2048.0,9,low,core,0.9999999996617734,0.23847331775514344,0.07582230156124664,0.16734808852032435,0.05751138354614697,0.13942434042035481
real:high:63:17,63,high,B8,3195.0,7,mid,core,1.0,0.4581850070344451,0.2700034223790112,0.47632557451855634,0.2818460921730342,0.31632540988637275
real:high:63:18,63,high,B6,2102.5,6,low,core,0.9999999996651837,0.1727279470925542,0.010305402982167177,0.1226310543090262,0.014000919213062187,0.0815684425061893
real:high:63:19,63,high,B6,3108.5,8,mid,core,0.9999999998000806,0.3936513394833251,0.1780310124754235,0.29160413547108593,0.1266278794291861,0.19293371268626025
real:high:63:20,63,high,B4,2791.5,8,low,core,0.9999999996659045,0.3424235368489235,0.13127645211661607,0.22565140299787823,0.13508746848283623,0.19805380861583974
real:high:63:21,63,high,B2,5437.5,7,mid,core,0.9999999999472109,0.5188018886521695,0.4600834254292462,0.6115644260898389,0.6269095546505302,0.6198690713357814
real:high:63:22,63,high,B6,2877.0,8,low,core,0.9999999998032307,0.3466068521019366,0.07439778385323462,0.22434857942876452,0.12536100196430117,0.14101957134600307
