method,threshold,high_candidate_rate,low_candidate_rate,high_minus_low_candidate_rate,support_jaccard,n_high,n_low
traditional_template_delta_sse,0.9999999991166957,0.938,0.9090909090909091,0.028909090909090884,0.8823529411764706,1000,1749
random_filter_1d_cnn,0.4087168023884464,0.121,0.1509433962264151,-0.029943396226415092,0.6666666666666666,1000,1749
hybrid_template_residual_stack,0.5067454660697066,0.101,0.1841052029731275,-0.08310520297312748,0.75,1000,1749
gradient_boosted_trees,0.47099106276229025,0.115,0.2521440823327616,-0.1371440823327616,0.6086956521739131,1000,1749
mlp_dense_waveform,0.4057123918300723,0.333,0.4751286449399657,-0.1421286449399657,0.7272727272727273,1000,1749
ridge_linear_classifier,0.46129984190582757,0.309,0.47284162378502004,-0.16384162378502004,0.8571428571428571,1000,1749
