source_run,method,average_precision,roc_auc,brier,positive_mean_score,negative_mean_score,score_gap,n_events,n_positive
63,traditional_template_delta_sse,0.7720934560742607,0.7340702479338843,0.4295454539650385,0.88636363592718,0.7454545448741295,0.1409090910530505,440,220
63,ridge_linear_classifier,0.8214290478078052,0.804400826446281,0.19588167875855,0.5545972402427728,0.40675592823038614,0.14784131201238665,440,220
63,gradient_boosted_trees,0.8657885343030913,0.8430785123966943,0.16371159830766221,0.6581745061846578,0.2613682199278306,0.3968062862568272,440,220
63,mlp_dense_waveform,0.8227013644737128,0.8069628099173554,0.18046268210236235,0.5962034572426452,0.3216451336515636,0.2745583235910816,440,220
63,random_filter_1d_cnn,0.8618645062224479,0.8295867768595042,0.16548908720381325,0.6410805553911706,0.29143481916286273,0.34964573622830786,440,220
63,hybrid_template_residual_stack,0.861127141775573,0.8399586776859504,0.1629389889910371,0.6320755295269231,0.30286354847334573,0.3292119810535774,440,220
65,traditional_template_delta_sse,0.768191783699988,0.7150103305785125,0.44545454484003283,0.9227272722445041,0.8136363630218508,0.1090909092226533,440,220
65,ridge_linear_classifier,0.83894549895891,0.8232644628099173,0.19442643020379055,0.5442185737249902,0.3946104157242379,0.14960815800075228,440,220
65,gradient_boosted_trees,0.8588171582300743,0.8388636363636364,0.1651633168018651,0.6445847732870247,0.2524960651780519,0.3920887081089728,440,220
65,mlp_dense_waveform,0.8145969663777215,0.8066735537190083,0.18211797116792378,0.5788597630310993,0.30895987224109894,0.2698998907900004,440,220
65,random_filter_1d_cnn,0.8450892375230028,0.8107024793388429,0.1764240798859496,0.6128948450427536,0.2876671779539698,0.3252276670887838,440,220
65,hybrid_template_residual_stack,0.8322828208182418,0.815702479338843,0.176984179511604,0.6103256321330084,0.3016642676780124,0.308661364454996,440,220
