stave,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area
B2,900,4.055063273695902,8,8.994179026437608
B4,900,4.456137410387324,8,8.85469208859243
B6,900,5.307643642345937,9,8.217397466396438
B8,791,5.280625037629402,9,9.088213291093476
