candidate,sign,train_auc,heldout_run,fold
downstream_charge_fraction,1.0,0.9204653336898208,31,1
downstream_charge_fraction,1.0,0.920788700534177,32,2
downstream_charge_fraction,1.0,0.9205098254306818,33,3
downstream_charge_fraction,1.0,0.920307760071557,34,4
downstream_charge_fraction,1.0,0.920717318636896,35,5
downstream_charge_fraction,1.0,0.9211907400264452,36,6
downstream_charge_fraction,1.0,0.9212255228744732,37,7
downstream_charge_fraction,1.0,0.9211356390758578,39,8
downstream_charge_fraction,1.0,0.9215378887285535,40,9
downstream_charge_fraction,1.0,0.9208334621106488,41,10
downstream_charge_fraction,1.0,0.9205717708653137,42,11
downstream_charge_fraction,1.0,0.9209437249701834,44,12
downstream_charge_fraction,1.0,0.9208134890863223,45,13
downstream_charge_fraction,1.0,0.9215708262609328,46,14
downstream_charge_fraction,1.0,0.9201816378693606,47,15
downstream_charge_fraction,1.0,0.9207618518909282,48,16
downstream_charge_fraction,1.0,0.9209360722907036,49,17
downstream_charge_fraction,1.0,0.9203636316103783,50,18
downstream_charge_fraction,1.0,0.9203361758370057,51,19
downstream_charge_fraction,1.0,0.9200927841162969,52,20
downstream_charge_fraction,1.0,0.9204479708061115,53,21
downstream_charge_fraction,1.0,0.9201461934051719,54,22
downstream_charge_fraction,1.0,0.9202518418304187,55,23
downstream_charge_fraction,1.0,0.9201629258075987,56,24
downstream_charge_fraction,1.0,0.920603152227905,57,25
downstream_charge_fraction,1.0,0.9198119838395039,58,26
downstream_charge_fraction,1.0,0.9257830307690849,59,27
downstream_charge_fraction,1.0,0.9300724206605987,60,28
downstream_charge_fraction,1.0,0.9285817501541851,61,29
downstream_charge_fraction,1.0,0.9271149133969873,62,30
downstream_charge_fraction,1.0,0.9218630562066954,63,31
downstream_charge_fraction,1.0,0.9209357609419222,64,32
downstream_charge_fraction,1.0,0.9222039623657369,65,33
