candidate,sign,train_auc,heldout_run
tail_total_b2,1.0,0.4844806435604219,31
tail_total_b2,-1.0,0.5155193564395781,31
area_peak_b2,1.0,0.47594624135703567,31
area_peak_b2,-1.0,0.5240537586429643,31
q_template_b2_shape,1.0,0.5018996634547995,31
q_template_b2_shape,-1.0,0.4981003365452005,31
penetration_depth_proxy,1.0,0.5001117015644716,31
penetration_depth_proxy,-1.0,0.4998882984355284,31
deltae_amp_vector,1.0,0.8728290298116664,31
deltae_amp_vector,-1.0,0.12717097018833343,31
downstream_charge_fraction,1.0,0.9204653336898208,31
downstream_charge_fraction,-1.0,0.07953466631017923,31
tail_total_b2,1.0,0.48461066281153226,32
tail_total_b2,-1.0,0.5153893371884678,32
area_peak_b2,1.0,0.47546466262941395,32
area_peak_b2,-1.0,0.5245353373705861,32
q_template_b2_shape,1.0,0.5022179605031654,32
q_template_b2_shape,-1.0,0.49778203949683464,32
penetration_depth_proxy,1.0,0.5001117015644716,32
penetration_depth_proxy,-1.0,0.4998882984355284,32
deltae_amp_vector,1.0,0.8731625077076985,32
deltae_amp_vector,-1.0,0.12683749229230146,32
downstream_charge_fraction,1.0,0.920788700534177,32
downstream_charge_fraction,-1.0,0.07921129946582305,32
tail_total_b2,1.0,0.48492161721780347,33
tail_total_b2,-1.0,0.5150783827821965,33
area_peak_b2,1.0,0.47670338970192316,33
area_peak_b2,-1.0,0.5232966102980767,33
q_template_b2_shape,1.0,0.5019781648608818,33
q_template_b2_shape,-1.0,0.4980218351391182,33
penetration_depth_proxy,1.0,0.5001471693798187,33
penetration_depth_proxy,-1.0,0.49985283062018115,33
deltae_amp_vector,1.0,0.8725466105212101,33
deltae_amp_vector,-1.0,0.1274533894787899,33
downstream_charge_fraction,1.0,0.9205098254306818,33
downstream_charge_fraction,-1.0,0.07949017456931798,33
tail_total_b2,1.0,0.484484325259762,34
tail_total_b2,-1.0,0.5155156747402381,34
area_peak_b2,1.0,0.4766050813241979,34
area_peak_b2,-1.0,0.523394918675802,34
q_template_b2_shape,1.0,0.5037972097378856,34
q_template_b2_shape,-1.0,0.49620279026211433,34
penetration_depth_proxy,1.0,0.5001117015644716,34
penetration_depth_proxy,-1.0,0.4998882984355284,34
deltae_amp_vector,1.0,0.872224891230822,34
deltae_amp_vector,-1.0,0.12777510876917786,34
downstream_charge_fraction,1.0,0.920307760071557,34
downstream_charge_fraction,-1.0,0.07969223992844292,34
tail_total_b2,1.0,0.48476971793108065,35
tail_total_b2,-1.0,0.5152302820689193,35
area_peak_b2,1.0,0.4766873941582791,35
area_peak_b2,-1.0,0.5233126058417209,35
q_template_b2_shape,1.0,0.5025486803679089,35
q_template_b2_shape,-1.0,0.4974513196320911,35
penetration_depth_proxy,1.0,0.5001117015644716,35
penetration_depth_proxy,-1.0,0.4998882984355284,35
deltae_amp_vector,1.0,0.8725917612836587,35
deltae_amp_vector,-1.0,0.12740823871634135,35
downstream_charge_fraction,1.0,0.920717318636896,35
downstream_charge_fraction,-1.0,0.07928268136310405,35
tail_total_b2,1.0,0.4823150233819822,36
tail_total_b2,-1.0,0.5176849766180178,36
area_peak_b2,1.0,0.47510550105349014,36
area_peak_b2,-1.0,0.5248944989465099,36
q_template_b2_shape,1.0,0.5016301962736491,36
q_template_b2_shape,-1.0,0.49836980372635087,36
penetration_depth_proxy,1.0,0.5001117015644716,36
penetration_depth_proxy,-1.0,0.4998882984355284,36
deltae_amp_vector,1.0,0.8735992807511044,36
deltae_amp_vector,-1.0,0.12640071924889557,36
downstream_charge_fraction,1.0,0.9211907400264452,36
downstream_charge_fraction,-1.0,0.07880925997355487,36
