run,weak_label_name,n
31,high_downstream_residual_like,6524
31,low_downstream_residual_like,6524
32,high_downstream_residual_like,6600
32,low_downstream_residual_like,6600
33,high_downstream_residual_like,11780
33,low_downstream_residual_like,11780
34,high_downstream_residual_like,8171
34,low_downstream_residual_like,8171
35,high_downstream_residual_like,2600
35,low_downstream_residual_like,2600
36,high_downstream_residual_like,2279
36,low_downstream_residual_like,2279
37,high_downstream_residual_like,5400
37,low_downstream_residual_like,5400
39,high_downstream_residual_like,3056
39,low_downstream_residual_like,3056
40,high_downstream_residual_like,3153
40,low_downstream_residual_like,3153
41,high_downstream_residual_like,3483
41,low_downstream_residual_like,3483
42,high_downstream_residual_like,4008
42,low_downstream_residual_like,4008
44,high_downstream_residual_like,365
44,low_downstream_residual_like,365
45,high_downstream_residual_like,5368
45,low_downstream_residual_like,5368
46,high_downstream_residual_like,17
46,low_downstream_residual_like,17
47,high_downstream_residual_like,1178
47,low_downstream_residual_like,1178
48,high_downstream_residual_like,3036
48,low_downstream_residual_like,3036
49,high_downstream_residual_like,3198
49,low_downstream_residual_like,3198
50,high_downstream_residual_like,8302
50,low_downstream_residual_like,8302
51,high_downstream_residual_like,3346
51,low_downstream_residual_like,3346
52,high_downstream_residual_like,1543
52,low_downstream_residual_like,1543
53,high_downstream_residual_like,7580
53,low_downstream_residual_like,7580
54,high_downstream_residual_like,7134
54,low_downstream_residual_like,7134
55,high_downstream_residual_like,3991
55,low_downstream_residual_like,3991
56,high_downstream_residual_like,9429
56,low_downstream_residual_like,9429
57,high_downstream_residual_like,2963
57,low_downstream_residual_like,2963
58,high_downstream_residual_like,3744
58,low_downstream_residual_like,3744
59,high_downstream_residual_like,2598
59,low_downstream_residual_like,2598
60,high_downstream_residual_like,1867
60,low_downstream_residual_like,1867
61,high_downstream_residual_like,2043
61,low_downstream_residual_like,2043
62,high_downstream_residual_like,2257
62,low_downstream_residual_like,2257
63,high_downstream_residual_like,3051
63,low_downstream_residual_like,3051
64,high_downstream_residual_like,2541
64,low_downstream_residual_like,2541
65,high_downstream_residual_like,2645
65,low_downstream_residual_like,2645
