match_stratum,run,b2_charge_bin,total_charge_bin,event_current_bin,b2_saturated,pileup_width_bin,max_depth_stave,topology_code,available_rows,low_rows,high_rows,low_threshold,high_threshold
31|6|6|0|1|1|1|0,31,6,6,0,1,1,1,0,773,194,194,0.003042082069441676,0.007376605179160833
31|2|2|0|1|1|1|0,31,2,2,0,1,1,1,0,803,201,201,0.003855814808048308,0.010463130194693804
31|1|1|0|1|1|1|0,31,1,1,0,1,1,1,0,429,108,108,0.0049243806861341,0.0135576743632555
31|7|6|0|1|1|1|0,31,7,6,0,1,1,1,0,64,16,16,0.0016926441167015582,0.004697068128734827
31|0|0|0|0|0|1|0,31,0,0,0,0,0,1,0,172,43,43,0.05479272734373808,0.17424064874649048
31|5|5|0|1|1|1|0,31,5,5,0,1,1,1,0,731,183,183,0.003031271859072149,0.008036523591727018
31|4|4|0|1|1|1|0,31,4,4,0,1,1,1,0,745,187,187,0.003481685882434249,0.008705132640898228
31|3|3|0|1|1|1|0,31,3,3,0,1,1,1,0,749,188,188,0.00340215303003788,0.009582898579537868
31|7|7|0|1|1|1|0,31,7,7,0,1,1,1,0,725,182,182,0.002835977589711547,0.0074671534821391106
31|0|0|0|0|1|1|0,31,0,0,0,0,1,1,0,624,156,156,0.011141475522890687,0.03452725522220135
31|4|3|0|1|1|1|0,31,4,3,0,1,1,1,0,58,15,15,0.0019373839313630015,0.005128799355588853
31|6|5|0|1|1|1|0,31,6,5,0,1,1,1,0,71,18,18,0.0014363611117005348,0.0046519446186721325
31|3|2|0|1|1|1|0,31,3,2,0,1,1,1,0,59,15,15,0.002743737888522446,0.007075256900861859
31|1|1|0|0|1|1|0,31,1,1,0,0,1,1,0,362,91,91,0.006324477260932326,0.0168846664018929
31|0|0|0|1|0|1|0,31,0,0,0,1,0,1,0,37,10,10,0.019643906503915787,0.03544549643993378
31|2|1|0|1|1|1|0,31,2,1,0,1,1,1,0,33,9,9,0.0032253037206828594,0.009938215836882591
31|5|4|0|1|1|1|0,31,5,4,0,1,1,1,0,66,17,17,0.0017877025820780545,0.004731416003778577
31|4|4|1|1|1|1|0,31,4,4,1,1,1,1,0,818,205,205,0.0032940670498646796,0.008415204705670476
31|7|7|1|1|1|1|0,31,7,7,1,1,1,1,0,804,201,201,0.0028267668676562607,0.007291810121387243
31|3|3|1|1|1|1|0,31,3,3,1,1,1,1,0,807,202,202,0.003332168562337756,0.009075159206986427
31|6|6|1|1|1|1|0,31,6,6,1,1,1,1,0,773,194,194,0.0030286386609077454,0.008153454400599003
31|1|1|1|0|1|1|0,31,1,1,1,0,1,1,0,332,83,83,0.007444410235621035,0.01763808773830533
31|0|0|1|0|1|1|0,31,0,0,1,0,1,1,0,505,127,127,0.011110763065516949,0.03396762162446976
31|1|1|1|1|1|1|0,31,1,1,1,1,1,1,0,334,84,84,0.004592066048644483,0.01344714523293078
31|5|5|1|1|1|1|0,31,5,5,1,1,1,1,0,807,202,202,0.0032537393271923065,0.008105728309601545
31|2|2|1|1|1|1|0,31,2,2,1,1,1,1,0,718,180,180,0.003726120456121862,0.010670009534806013
31|0|0|1|1|0|1|0,31,0,0,1,1,0,1,0,34,9,9,0.011426468379795551,0.0361601198092103
31|5|4|1|1|1|1|0,31,5,4,1,1,1,1,0,72,18,18,0.001998526626266539,0.0044110799208283424
31|6|5|1|1|1|1|0,31,6,5,1,1,1,1,0,90,23,23,0.0020473161712288857,0.004525643773376942
31|4|3|1|1|1|1|0,31,4,3,1,1,1,1,0,56,14,14,0.0026179960696026683,0.005873207584954798
31|2|1|1|1|1|1|0,31,2,1,1,1,1,1,0,53,14,14,0.004682356026023626,0.009820164181292057
31|0|0|1|0|0|1|0,31,0,0,1,0,0,1,0,153,39,39,0.037081070244312286,0.1923379749059677
31|7|6|1|1|1|1|0,31,7,6,1,1,1,1,0,85,22,22,0.0013371946988627315,0.003654154948890209
31|3|2|1|1|1|1|0,31,3,2,1,1,1,1,0,57,15,15,0.002742041600868106,0.006133772898465395
31|6|6|2|1|1|1|0,31,6,6,2,1,1,1,0,688,172,172,0.0028785474714823067,0.008640756364911795
31|7|7|2|1|1|1|0,31,7,7,2,1,1,1,0,713,179,179,0.00292630260810256,0.0070287068374454975
31|0|0|2|0|1|1|0,31,0,0,2,0,1,1,0,633,159,159,0.01223098486661911,0.032711103558540344
31|5|4|2|1|1|1|0,31,5,4,2,1,1,1,0,70,18,18,0.0016713656368665397,0.004737398703582585
31|4|4|2|1|1|1|0,31,4,4,2,1,1,1,0,724,181,181,0.0034131815773434937,0.008975174278020859
31|1|1|2|0|1|1|0,31,1,1,2,0,1,1,0,401,101,101,0.006960410624742508,0.01825946941971779
31|1|1|2|1|1|1|0,31,1,1,2,1,1,1,0,425,107,107,0.004612361080944538,0.012597956694662571
31|5|5|2|1|1|1|0,31,5,5,2,1,1,1,0,712,178,178,0.003371644241269678,0.007866048021242023
31|4|3|2|1|1|1|0,31,4,3,2,1,1,1,0,48,12,12,0.00315839028917253,0.005084638250991702
31|3|3|2|1|1|1|0,31,3,3,2,1,1,1,0,761,191,191,0.003581262193620205,0.008958270773291588
31|2|2|2|1|1|1|0,31,2,2,2,1,1,1,0,860,215,215,0.004093294846825302,0.010194862494245172
31|6|5|2|1|1|1|0,31,6,5,2,1,1,1,0,58,15,15,0.0018451512733008713,0.004423553473316133
31|0|0|2|0|0|1|0,31,0,0,2,0,0,1,0,192,48,48,0.03681667800992727,0.17041148990392685
31|3|2|2|1|1|1|0,31,3,2,2,1,1,1,0,47,12,12,0.00390453590080142,0.008478363510221243
31|7|6|2|1|1|1|0,31,7,6,2,1,1,1,0,62,16,16,0.0018158953462261707,0.004847133299335837
31|2|1|2|1|1|1|0,31,2,1,2,1,1,1,0,41,11,11,0.0039038024842739105,0.008442355319857597
31|0|0|2|1|0|1|0,31,0,0,2,1,0,1,0,48,12,12,0.013819263083860278,0.038797163404524326
31|3|3|3|1|1|1|0,31,3,3,3,1,1,1,0,774,194,194,0.0034321507555432618,0.009357728529721498
31|1|1|3|1|1|1|0,31,1,1,3,1,1,1,0,400,100,100,0.005240694619715214,0.013723758049309254
31|2|2|3|1|1|1|0,31,2,2,3,1,1,1,0,727,182,182,0.004124800441786647,0.010452745482325554
31|7|7|3|1|1|1|0,31,7,7,3,1,1,1,0,761,191,191,0.002974864561110735,0.007391277235001326
31|4|4|3|1|1|1|0,31,4,4,3,1,1,1,0,767,192,192,0.003098792862147093,0.008238376583904028
31|5|5|3|1|1|1|0,31,5,5,3,1,1,1,0,749,188,188,0.0033619599416851997,0.00800374336540699
31|5|4|3|1|1|1|0,31,5,4,3,1,1,1,0,55,14,14,0.0019389442750252783,0.004867499228566885
31|1|1|3|0|1|1|0,31,1,1,3,0,1,1,0,406,102,102,0.006749213091097772,0.01850259257480502
31|0|0|3|0|1|1|0,31,0,0,3,0,1,1,0,592,148,148,0.011923751328140497,0.034157438203692436
31|7|6|3|1|1|1|0,31,7,6,3,1,1,1,0,62,16,16,0.0016881012415979058,0.004668696317821741
31|6|6|3|1|1|1|0,31,6,6,3,1,1,1,0,769,193,193,0.003329650964587927,0.007762564346194267
31|3|2|3|1|1|1|0,31,3,2,3,1,1,1,0,43,11,11,0.0021015253150835633,0.007077718386426568
31|0|0|3|1|0|1|0,31,0,0,3,1,0,1,0,38,10,10,0.011266603134572506,0.04260863736271858
31|0|0|3|0|0|1|0,31,0,0,3,0,0,1,0,192,48,48,0.037854368798434734,0.14082250744104385
31|4|3|3|1|1|1|0,31,4,3,3,1,1,1,0,61,16,16,0.001988212810829282,0.0047312891110777855
31|2|1|3|1|1|1|0,31,2,1,3,1,1,1,0,44,11,11,0.0029269367223605514,0.009027224034070969
31|6|5|3|1|1|1|0,31,6,5,3,1,1,1,0,63,16,16,0.0016462418716400862,0.004163674544543028
32|1|1|0|0|1|1|0,32,1,1,0,0,1,1,0,404,101,101,0.007512783166021109,0.018572315573692322
32|7|7|0|1|1|1|0,32,7,7,0,1,1,1,0,830,208,208,0.002631354087498039,0.0074404546758159995
32|2|2|0|1|1|1|0,32,2,2,0,1,1,1,0,735,184,184,0.0045523985754698515,0.01160142756998539
32|0|0|0|0|1|1|0,32,0,0,0,0,1,1,0,543,136,136,0.012152622453868389,0.03597881458699703
32|3|3|0|1|1|1|0,32,3,3,0,1,1,1,0,766,192,192,0.0034719733521342278,0.009570977417752147
