method,train_runs,heldout_runs,run_overlap_count,n_train_rows,n_heldout_rows,heldout_clean_controls,heldout_injected_doublets,clean_control_false_split_rate,injected_detection_rate,leakage_pass
1d_cnn,50 51 52 53 54 55 56 57,58 60 62 64 65,0,928,780,390,390,0.21794871794871795,0.7333333333333333,True
analytic_clipped_template_sideband_traditional,50 51 52 53 54 55 56 57,58 60 62 64 65,0,928,780,390,390,0.19743589743589743,0.4153846153846154,True
gradient_boosted_trees,50 51 52 53 54 55 56 57,58 60 62 64 65,0,928,780,390,390,0.13846153846153847,0.6538461538461539,True
mlp,50 51 52 53 54 55 56 57,58 60 62 64 65,0,928,780,390,390,0.09230769230769231,0.6153846153846154,True
ridge,50 51 52 53 54 55 56 57,58 60 62 64 65,0,928,780,390,390,0.13333333333333333,0.6948717948717948,True
saturation_residual_fusion_new,50 51 52 53 54 55 56 57,58 60 62 64 65,0,928,780,390,390,0.14615384615384616,0.6820512820512821,True
tiny_sequence_transformer,50 51 52 53 54 55 56 57,58 60 62 64 65,0,928,780,390,390,0.06923076923076923,0.40512820512820513,True
