method,n_valid_doublets,median_abs_energy_residual,p68_abs_energy_residual,nominal_68_proxy_width,coverage_abs_resid_le_proxy,coverage_abs_resid_le_2proxy,calibration_ratio_p68_over_proxy
ridge,271,0.04219156741481867,0.06650252222854307,0.036,0.45387453874538747,0.6937269372693727,1.8472922841261965
saturation_residual_fusion_new,266,0.04443676178317325,0.0699083374796737,0.034999999999999996,0.40225563909774437,0.6917293233082706,1.9973810708478204
gradient_boosted_trees,255,0.04859259813240676,0.07580488120339152,0.034999999999999996,0.43137254901960786,0.6549019607843137,2.1658537486683294
tiny_sequence_transformer,158,0.06512956966397757,0.10396657362818035,0.034,0.25316455696202533,0.5253164556962026,3.0578404008288333
1d_cnn,286,0.07396295447550585,0.11364294460388175,0.036,0.27972027972027974,0.486013986013986,3.1567484612189376
analytic_clipped_template_sideband_traditional,162,0.0826997106423964,0.12379723306671236,0.034,0.19135802469135801,0.41975308641975306,3.6410950901974224
mlp,240,0.11191520823216117,0.15259324441528474,0.036000000000000004,0.16666666666666666,0.3458333333333333,4.238701233757909
