method,family,metric,bootstrap_unit,value,ci_low,ci_high,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
cnn1d,nn,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,1.8412711868634493,1.7209717201092607,2.050683241652179,11460,2.1731913984917632,1.8412711868634493,2.91453431108896,0.041099476439790575,2.07484421983864,48.640243611305316
gradient_boosted_trees,ml,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,1.5114121622357726,1.4541419032135237,1.6573585654907024,11460,1.7001312852678367,1.5114121622357726,2.7038354501221153,0.020942408376963352,1.8270867716279238,75.36122442840862
hierarchical_shrinkage,traditional,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,1.1152507565403655,1.04885406857762,1.2605679035407886,11460,-0.5355382845260266,1.1152507565403655,2.7320661267476947,0.03289703315881326,0.33824916848388514,108.00730351809615
mlp,nn,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,1.9813096431658974,1.8293539798386396,2.1723123512700853,11460,2.103783683369695,1.9813096431658974,3.004760989459106,0.049476439790575914,2.0168185186879044,37.09516402658201
ridge,ml,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,1.735881986032648,1.7058240510742544,1.8285428264306975,11460,2.133186800125859,1.735881986032648,2.7288406832634964,0.019197207678883072,1.7439955531136313,92.30284606596976
s03a_amp_only_global,traditional,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,1.722539772521092,1.6799999706038131,1.9199540130316628,11460,2.1787952783521085,1.722539772521092,2.802013066151826,0.02225130890052356,1.7540704391902346,146.80738674425123
shape_gated_cnn_new,nn,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,1.93747213820127,1.8057950920452301,2.162357255831813,11460,1.9154518477620854,1.93747213820127,3.0088805139142396,0.048080279232111695,1.89894411818888,34.374293865839604
template_phase_base,traditional,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,2.5000000000000036,2.359067938531375,2.6090679385313607,11460,-4.7181358770627355,2.5000000000000036,3.7351706080729583,0.14973821989528796,1.0887594064888328,244.8242319096189
