model,alpha,fold,sigma68_ns,max_iter,learning_rate,max_leaf_nodes,l2_regularization,max_bins,random_state,alpha_global,alpha_dev,n_pair_residuals
ridge,0.01,0,1.7202417986945666,,,,,,,,,
ridge,0.01,1,1.8155921074028605,,,,,,,,,
ridge,0.01,2,1.690249884649585,,,,,,,,,
ridge,0.01,-1,1.742027930249004,,,,,,,,,
ridge,0.1,0,1.7178749123975807,,,,,,,,,
ridge,0.1,1,1.821229184394383,,,,,,,,,
ridge,0.1,2,1.6854935729345077,,,,,,,,,
ridge,0.1,-1,1.7415325565754907,,,,,,,,,
ridge,1.0,0,1.723678042759205,,,,,,,,,
ridge,1.0,1,1.8071777603654127,,,,,,,,,
ridge,1.0,2,1.6736178096169168,,,,,,,,,
ridge,1.0,-1,1.7348245375805114,,,,,,,,,
ridge,10.0,0,1.7383104293838685,,,,,,,,,
ridge,10.0,1,1.8123180459807529,,,,,,,,,
ridge,10.0,2,1.6648889312209025,,,,,,,,,
ridge,10.0,-1,1.7385058021951745,,,,,,,,,
ridge,100.0,0,1.5705511190659385,,,,,,,,,
ridge,100.0,1,1.7059815263715556,,,,,,,,,
ridge,100.0,2,1.4795933348178256,,,,,,,,,
ridge,100.0,-1,1.5853753267517732,,,,,,,,,
hgb,,0,1.4269514121871842,60.0,0.04,7.0,0.0,64.0,20260709.0,,,
hgb,,1,1.5210400452768305,60.0,0.04,7.0,0.0,64.0,20260709.0,,,
hgb,,2,1.2714784219069215,60.0,0.04,7.0,0.0,64.0,20260709.0,,,
hgb,,-1,1.406489959790312,60.0,0.04,7.0,0.0,64.0,20260709.0,,,
hgb,,0,1.4642833238717634,60.0,0.04,7.0,0.1,64.0,20260709.0,,,
hgb,,1,1.4852387990588518,60.0,0.04,7.0,0.1,64.0,20260709.0,,,
hgb,,2,1.2593429896433492,60.0,0.04,7.0,0.1,64.0,20260709.0,,,
hgb,,-1,1.4029550375246547,60.0,0.04,7.0,0.1,64.0,20260709.0,,,
hgb,,0,1.2309213655784759,60.0,0.04,15.0,0.0,64.0,20260709.0,,,
hgb,,1,1.320303317504461,60.0,0.04,15.0,0.0,64.0,20260709.0,,,
hgb,,2,1.1149393325513752,60.0,0.04,15.0,0.0,64.0,20260709.0,,,
hgb,,-1,1.222054671878104,60.0,0.04,15.0,0.0,64.0,20260709.0,,,
hgb,,0,1.259059295127259,60.0,0.04,15.0,0.1,64.0,20260709.0,,,
hgb,,1,1.3421488222386557,60.0,0.04,15.0,0.1,64.0,20260709.0,,,
hgb,,2,1.1351092534556793,60.0,0.04,15.0,0.1,64.0,20260709.0,,,
hgb,,-1,1.2454391236071982,60.0,0.04,15.0,0.1,64.0,20260709.0,,,
hgb,,0,1.5502891477446212,60.0,0.08,7.0,0.0,64.0,20260709.0,,,
hgb,,1,1.7151246903563333,60.0,0.08,7.0,0.0,64.0,20260709.0,,,
hgb,,2,1.4377483330367744,60.0,0.08,7.0,0.0,64.0,20260709.0,,,
hgb,,-1,1.5677207237125763,60.0,0.08,7.0,0.0,64.0,20260709.0,,,
hgb,,0,1.5350947883318522,60.0,0.08,7.0,0.1,64.0,20260709.0,,,
hgb,,1,1.7579342857781484,60.0,0.08,7.0,0.1,64.0,20260709.0,,,
hgb,,2,1.4160485156081748,60.0,0.08,7.0,0.1,64.0,20260709.0,,,
hgb,,-1,1.5696925299060585,60.0,0.08,7.0,0.1,64.0,20260709.0,,,
hgb,,0,1.4616596040855447,60.0,0.08,15.0,0.0,64.0,20260709.0,,,
hgb,,1,1.594164158936909,60.0,0.08,15.0,0.0,64.0,20260709.0,,,
hgb,,2,1.3661310078492646,60.0,0.08,15.0,0.0,64.0,20260709.0,,,
hgb,,-1,1.473984923623906,60.0,0.08,15.0,0.0,64.0,20260709.0,,,
hgb,,0,1.4473688458596323,60.0,0.08,15.0,0.1,64.0,20260709.0,,,
hgb,,1,1.57356372137032,60.0,0.08,15.0,0.1,64.0,20260709.0,,,
hgb,,2,1.3719265256247317,60.0,0.08,15.0,0.1,64.0,20260709.0,,,
