model,epoch,train_mse_scaled
mlp,0,0.9807181060314178
mlp,40,0.13411593437194824
mlp,79,0.10487641952931881
cnn1d,0,0.9707098603248596
cnn1d,40,0.1464585494250059
cnn1d,79,0.12456007674336433
shape_gated_cnn,0,0.9838736206293106
shape_gated_cnn,40,0.14433169923722744
shape_gated_cnn,79,0.11726692318916321
