path,token,source_class,independent_acquisition_candidate,snippet
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,. . . 18 18 20 20 21 23 7 Waveform preprocessing and pulse-shape templates 7.1 Adaptive pedestal correction and primitive observables 7.2 Jagged-sample masking . . . . . . . . . . . . .
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,.2 Jagged-sample masking . . . . . . . . . . . . . . . . . 7.3 Validation of the adaptive pedestal correction . . . . . 7.4 Why a single fixed template is not used . . . . . . . . . . . .
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,trigger,analysis_pdf_not_daq_logbook,False,"lity at which the test was performed. The experimental setup comprised the target region, trigger scintillators, TPC and the two HRD scintillator range stacks used to catch and range out"
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,trigger,analysis_pdf_not_daq_logbook,False,HRD scintillator range stacks used to catch and range out charged particles. HRD Stack B Trigger Scintillators Trigger Scintillators 100 cm 100 cm HRD Stack A CD2 Target TPC Vacuum win
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,trigger,analysis_pdf_not_daq_logbook,False,stacks used to catch and range out charged particles. HRD Stack B Trigger Scintillators Trigger Scintillators 100 cm 100 cm HRD Stack A CD2 Target TPC Vacuum window Figure 1: Schemat
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,trigger,analysis_pdf_not_daq_logbook,False,"st configuration used at CCB. A CD2 target is located near the vacuum-window region, with trigger scintillators, a TPC and two HRD scintillator range stacks. The drawing shows HRD Stack A"
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,trigger,analysis_pdf_not_daq_logbook,False,he physics scale for interpreting terminal-depth and penetration patterns. 4 Different trigger configurations can enrich different parts of the charged-particle final state. In the not
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,"section collects the waveform-level operations that define the pulse objects used later: pedestal correction, masking of pathological samples, and the amplitude-adaptive template basis. T"
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,"eparated into Sec. 8, and the quality variables are separated into Sec. 9. 7.1 Adaptive pedestal correction and primitive observables The original characterisation used the median of th"
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,"servables The original characterisation used the median of the first four samples as the pedestal. Visual inspection showed that this is not reliable for early pulses, for pulses already"
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,or for late/overlappingpulse topologies. In such cases the first samples are not a quiet pedestal and the corrected waveform can contain large artificial negative regions. The pulse-descr
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,"pulse-description stage has therefore been changed to an adaptive, positivity-constrained pedestal. The first-four-sample value is still used as a seed, b0 = median(w0 , w1 , w2 , w3 ), ("
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,j yj . Jagged samples are identified from this provisional waveform and excluded from the pedestal constraint. A small allowed negative tolerance is then defined as   ϵ(A(0) ) = max 25 A
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,"ive tolerance is then defined as   ϵ(A(0) ) = max 25 ADC, 0.015A(0) . (42) The adaptive pedestal is chosen by lowering the seed pedestal only when required so that the minimum non-jagged"
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,"(0) ) = max 25 ADC, 0.015A(0) . (42) The adaptive pedestal is chosen by lowering the seed pedestal only when required so that the minimum non-jagged corrected sample is no more negative th"
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,"in 0, min yj + ϵ(A ) , bpc = b0 + ∆b, (43) j ∈J / where J is the jagged-sample mask. The pedestal-corrected waveform used for pulse description is yjpc = wj − bpc . (44) By construction"
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,"ction, all non-jagged samples satisfy yjpc ≥ −ϵ unless the pulse is explicitly flagged as pedestal-ambiguous. The amplitude and peak bin used for pulse description are then A = max yjpc ,"
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,"for pulse description are then A = max yjpc , j jpeak = arg max yjpc . j 24 (45) The pedestal lowering, b0 − bpc , is retained as a diagnostic. Large pedestal lowerings indicate pulse"
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,"yjpc . j 24 (45) The pedestal lowering, b0 − bpc , is retained as a diagnostic. Large pedestal lowerings indicate pulses for which the first-four-sample pedestal was contaminated by an"
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,"as a diagnostic. Large pedestal lowerings indicate pulses for which the first-four-sample pedestal was contaminated by an early pulse, recovery, pile-up, or a nonquiet start of the wavefor"
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,"or a nonquiet start of the waveform. Such pulses are not automatically rejected, but the pedestal diagnostic enters the pulse-quality and topology interpretation. 7.2 Jagged-sample mask"
/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,pedestal,analysis_pdf_not_daq_logbook,False,fraction is recorded and penalises the quality variable. 7.3 Validation of the adaptive pedestal correction Figure 21 shows the minimum non-jagged sample before and after the adaptive p
