domain,run,n
0.0,31.0,211
0.0,32.0,204
0.0,33.0,211
0.0,34.0,208
0.0,35.0,231
0.0,36.0,212
0.0,37.0,205
0.0,39.0,221
0.0,40.0,196
0.0,41.0,226
0.0,42.0,197
0.0,44.0,205
0.0,45.0,204
0.0,46.0,202
0.0,47.0,197
0.0,48.0,209
0.0,49.0,199
0.0,50.0,198
0.0,51.0,206
0.0,52.0,232
0.0,53.0,211
0.0,54.0,217
0.0,55.0,210
0.0,56.0,224
0.0,57.0,220
0.0,58.0,212
0.0,59.0,196
0.0,60.0,204
0.0,61.0,195
0.0,62.0,206
0.0,63.0,200
0.0,64.0,232
0.0,65.0,216
1.0,31.0,1200
1.0,32.0,1200
1.0,33.0,1200
1.0,34.0,1200
1.0,35.0,1200
1.0,36.0,1200
1.0,37.0,1200
1.0,39.0,1200
1.0,40.0,1200
1.0,41.0,1200
1.0,42.0,1200
1.0,44.0,1200
1.0,45.0,1200
1.0,46.0,677
1.0,47.0,1200
1.0,48.0,1200
1.0,49.0,1200
1.0,50.0,1200
1.0,51.0,1200
1.0,52.0,1200
1.0,53.0,1200
1.0,54.0,1200
1.0,55.0,1200
1.0,56.0,1200
1.0,57.0,1200
1.0,58.0,1200
1.0,59.0,1200
1.0,60.0,1200
1.0,61.0,1200
1.0,62.0,1200
1.0,63.0,1200
1.0,64.0,1200
1.0,65.0,1200
