feature,univariate_domain_auc,data_mean,sim_mean,standardized_delta,unsafe_for_sim_trained_ml
peak_mean,0.9319898607749858,6.321408159957694,10.112228307568047,-1.6044342888238412,True
log_q_B2,0.9036263996430665,9.996919628919585,8.872648614395882,0.533096494080692,True
log_total_q,0.878358523389849,10.329527063361454,9.450182003261173,0.7006061043492544,True
log_a_B8,0.738846682485323,3.0910859423901584,2.1530712007461723,0.5376723800111166,True
multiplicity,0.7371104833597204,1.1272103795071269,2.15975133728495,-1.3750347810764245,True
depth_idx,0.7320611301532465,0.15080482125035186,1.1610524793985832,-1.299595583631412,True
hit_B4,0.7290940305286276,0.08135220206259436,0.5395402631198496,-1.2822592310206065,True
log_a_B2,0.6874131573480352,8.344340453748373,8.872648614395882,-0.703886651747031,False
hit_B6,0.6622792381359033,0.040484172275251425,0.365042648547058,-1.1381183722966606,False
log_a_B6,0.6345751698837253,3.245859794502667,2.960175505939032,0.15059498384508968,False
hit_B8,0.6196165953994465,0.01622437751106789,0.25545756830996097,-1.0755074712474144,False
log_q_B4,0.6085667877053822,3.0482261643962625,4.492704856168681,-0.42742829158550094,False
peak_span,0.5873693826820545,10.435755047726284,90.71168248077417,-0.03988255631644986,False
early_fraction,0.577372570266208,0.9459026824170551,0.8295360340719666,0.5909956335286151,False
late_fraction,0.5739425126954246,0.0491071699885637,0.17046396592803265,-0.6475820509020858,False
log_q_B8,0.5681506908978309,2.6665667308482104,2.1530712007461723,0.17847435400687578,False
shape_balance,0.5353271906093006,0.8802581000018399,0.5748026285186816,0.8545351945759544,False
log_a_B4,0.5294874620031287,3.4458142075344735,4.492704856168681,-0.47312762031021294,False
hit_B2,0.5052806148249341,0.9891496276582132,0.9997108573080815,-0.11024938055200198,False
log_q_B6,0.501401012400464,2.8002115083569943,2.960175505939032,-0.052568659561657405,False
