method,family,heldout_auc,heldout_average_precision,auc_ci95_low,auc_ci95_high,n_heldout
gradient_boosted_trees,ml_tree,0.9999995077357515,0.9999999128907312,0.9999983928089273,1.0,29040
mlp,neural_tabular,0.9997704005241184,0.9997963614950185,0.9993079568183957,0.9999994144075111,29040
logistic_reference,ml_linear_reference,0.9986237870574088,0.9995487646046044,0.9979322821834217,0.9991974409389859,29040
ridge,ml_linear,0.996300476276806,0.9992315700537426,0.9947385659268344,0.9976358789599045,29040
gated_residual_mlp,neural_gated_residual_new_architecture,0.965498587382723,0.9941970124693392,0.9415469919584405,0.9840099486722065,29040
1d_cnn,neural_1d_cnn,0.9222291172241023,0.9855420597335752,0.8871831785565905,0.9519434507570564,29040
traditional_diag_divergence,traditional_per_feature_divergence,0.9164796333422688,0.9856559705379071,0.8760379269694739,0.9504493462347048,29040
