run,events_with_selected,selected_pulses
31,27078,27871
32,27461,28240
33,47911,48737
34,33500,34118
35,11141,11667
36,9930,10391
37,23174,24537
39,13329,14218
40,13763,14708
41,15140,16146
42,17132,18112
44,1912,2038
45,23013,24333
46,677,687
47,5161,5276
48,13185,14000
49,13937,14815
50,34257,35217
51,14295,14740
52,6933,7152
53,31386,32200
54,29665,30440
55,16841,17387
56,38932,40148
57,12939,13833
58,15920,16781
59,13863,21377
60,10140,17029
61,11287,18965
62,11912,19089
63,14781,18817
64,12103,14630
65,11904,13038
