population,stave,bin,amp_low_adc,amp_high_adc,n_train,correction_ns,source
p10c_downstream_reproduction,B4,0,1000.0,1500.0,40,-1.1641060985549743,stave_amp_bin
p10c_downstream_reproduction,B4,1,1500.0,2200.0,93,-4.430826130217838,stave_amp_bin
p10c_downstream_reproduction,B4,2,2200.0,3200.0,74,-4.0083173995621095,stave_amp_bin
p10c_downstream_reproduction,B4,3,3200.0,4700.0,2,-4.078159557259223,stave_fallback
p10c_downstream_reproduction,B4,4,4700.0,6800.0,1,-4.078159557259223,stave_fallback
p10c_downstream_reproduction,B4,5,6800.0,10000.0,0,-4.078159557259223,stave_fallback
p10c_downstream_reproduction,B4,6,10000.0,15000.0,0,-4.078159557259223,stave_fallback
p10c_downstream_reproduction,B4,7,15000.0,25000.0,0,-4.078159557259223,stave_fallback
p10c_downstream_reproduction,B6,0,1000.0,1500.0,28,-1.2730208743513352,stave_amp_bin
p10c_downstream_reproduction,B6,1,1500.0,2200.0,94,1.9884311807685222,stave_amp_bin
p10c_downstream_reproduction,B6,2,2200.0,3200.0,84,2.332958892082843,stave_amp_bin
p10c_downstream_reproduction,B6,3,3200.0,4700.0,3,2.0278799760553667,stave_fallback
p10c_downstream_reproduction,B6,4,4700.0,6800.0,1,2.0278799760553667,stave_fallback
p10c_downstream_reproduction,B6,5,6800.0,10000.0,0,2.0278799760553667,stave_fallback
p10c_downstream_reproduction,B6,6,10000.0,15000.0,0,2.0278799760553667,stave_fallback
p10c_downstream_reproduction,B6,7,15000.0,25000.0,0,2.0278799760553667,stave_fallback
p10c_downstream_reproduction,B8,0,1000.0,1500.0,9,2.0987419380973336,stave_fallback
p10c_downstream_reproduction,B8,1,1500.0,2200.0,30,3.0451539580051445,stave_amp_bin
p10c_downstream_reproduction,B8,2,2200.0,3200.0,87,2.5857960438785668,stave_amp_bin
p10c_downstream_reproduction,B8,3,3200.0,4700.0,75,0.9248354489995307,stave_amp_bin
p10c_downstream_reproduction,B8,4,4700.0,6800.0,9,2.0987419380973336,stave_fallback
p10c_downstream_reproduction,B8,5,6800.0,10000.0,0,2.0987419380973336,stave_fallback
p10c_downstream_reproduction,B8,6,10000.0,15000.0,0,2.0987419380973336,stave_fallback
p10c_downstream_reproduction,B8,7,15000.0,25000.0,0,2.0987419380973336,stave_fallback
external_b2_b4_b6_b8_all_hit,B4,0,1000.0,1500.0,39,-1.0632966667776316,stave_amp_bin
external_b2_b4_b6_b8_all_hit,B4,1,1500.0,2200.0,91,-4.148524773436087,stave_amp_bin
external_b2_b4_b6_b8_all_hit,B4,2,2200.0,3200.0,74,-4.0083173995621095,stave_amp_bin
external_b2_b4_b6_b8_all_hit,B4,3,3200.0,4700.0,2,-4.01130642765736,stave_fallback
external_b2_b4_b6_b8_all_hit,B4,4,4700.0,6800.0,1,-4.01130642765736,stave_fallback
external_b2_b4_b6_b8_all_hit,B4,5,6800.0,10000.0,0,-4.01130642765736,stave_fallback
external_b2_b4_b6_b8_all_hit,B4,6,10000.0,15000.0,0,-4.01130642765736,stave_fallback
external_b2_b4_b6_b8_all_hit,B4,7,15000.0,25000.0,0,-4.01130642765736,stave_fallback
external_b2_b4_b6_b8_all_hit,B6,0,1000.0,1500.0,28,-1.2730208743513352,stave_amp_bin
external_b2_b4_b6_b8_all_hit,B6,1,1500.0,2200.0,91,1.9884311807685222,stave_amp_bin
external_b2_b4_b6_b8_all_hit,B6,2,2200.0,3200.0,84,2.332958892082843,stave_amp_bin
external_b2_b4_b6_b8_all_hit,B6,3,3200.0,4700.0,3,2.02691528620079,stave_fallback
external_b2_b4_b6_b8_all_hit,B6,4,4700.0,6800.0,1,2.02691528620079,stave_fallback
external_b2_b4_b6_b8_all_hit,B6,5,6800.0,10000.0,0,2.02691528620079,stave_fallback
external_b2_b4_b6_b8_all_hit,B6,6,10000.0,15000.0,0,2.02691528620079,stave_fallback
external_b2_b4_b6_b8_all_hit,B6,7,15000.0,25000.0,0,2.02691528620079,stave_fallback
external_b2_b4_b6_b8_all_hit,B8,0,1000.0,1500.0,9,2.1116878323161217,stave_fallback
external_b2_b4_b6_b8_all_hit,B8,1,1500.0,2200.0,30,3.0451539580051445,stave_amp_bin
external_b2_b4_b6_b8_all_hit,B8,2,2200.0,3200.0,85,2.5857960438785668,stave_amp_bin
external_b2_b4_b6_b8_all_hit,B8,3,3200.0,4700.0,75,0.9248354489995307,stave_amp_bin
external_b2_b4_b6_b8_all_hit,B8,4,4700.0,6800.0,8,2.1116878323161217,stave_fallback
external_b2_b4_b6_b8_all_hit,B8,5,6800.0,10000.0,0,2.1116878323161217,stave_fallback
external_b2_b4_b6_b8_all_hit,B8,6,10000.0,15000.0,0,2.1116878323161217,stave_fallback
external_b2_b4_b6_b8_all_hit,B8,7,15000.0,25000.0,0,2.1116878323161217,stave_fallback
