run,n_events,base_sigma68_ns,base_n_pairs,traditional_sigma68_ns,traditional_n_pairs,ml_sigma68_ns,ml_n_pairs,ml_shuffled_sigma68_ns,ml_shuffled_n_pairs,base_downstream_sigma68_ns,base_downstream_n_pairs,traditional_downstream_sigma68_ns,traditional_downstream_n_pairs,ml_downstream_sigma68_ns,ml_downstream_n_pairs
58,72,3.6456856104104385,432,3.978944239419243,432,4.041265742244758,432,4.514182575918085,432,2.707043244712787,216,1.8070537347674027,216,2.0625718124100154,216
59,749,3.233943961531061,4494,3.498418802112397,4494,3.411549316627867,4494,3.7875020641150705,4494,2.8329588920828535,2247,2.0407762854267006,2247,1.8167512152688319,2247
60,802,3.014569480503283,4812,3.2461683986350955,4812,3.349548645460192,4812,3.5571479865322386,4812,2.7944747866505857,2406,2.04096922339762,2406,1.869642661484542,2406
61,925,2.8186463915967837,5550,3.8898310097431477,5550,3.761463694907395,5550,3.2489190766764646,5550,2.71151589456774,2775,2.556089044912805,2775,2.320184267030123,2775
62,798,3.0945267194630546,4788,3.250570459900864,4788,3.211816754750429,4788,3.487454215181284,4788,2.8329588920828463,2394,2.011612583247209,2394,1.8229384062310814,2394
63,365,3.7565673884240343,2190,3.761303094930039,2190,3.6626048247292182,2190,4.2569014329997295,2190,3.0440118718976787,1095,1.840846566214644,1095,1.8277796308412109,1095
65,63,3.342522605512409,378,3.933608427437579,378,4.014890718961119,378,3.7800569704044413,378,2.5877382570365577,189,1.757635714768199,189,2.0532399524840415,189
