run,n_events,selected_pulses,all_hit_b2_b4_b6_b8_events,used_for_external_timing
31,39990,27871,45,False
32,41921,28240,40,False
33,57173,48737,58,False
34,39765,34118,50,False
35,27786,11667,35,False
36,21764,10391,22,False
37,50513,24537,77,False
39,30321,14218,59,False
40,32613,14708,61,False
41,33997,16146,65,False
42,33972,18112,63,False
44,4294,2038,7,False
45,48181,24333,91,False
46,1441,687,1,False
47,10970,5276,9,False
48,31713,14000,52,False
49,32354,14815,53,False
50,44804,35217,60,False
51,20569,14740,34,False
52,10005,7152,21,False
53,39612,32200,59,False
54,37413,30440,50,False
55,24416,17387,43,False
56,51823,40148,91,False
57,31284,13833,60,False
58,34141,16781,72,True
59,42303,21377,749,True
60,36074,17029,802,True
61,36535,18965,925,True
62,37584,19089,798,True
63,37030,18817,365,True
64,35943,14630,207,True
65,38424,13038,63,True
