run,n_events,base_sigma68_ns,base_n_pairs,traditional_sigma68_ns,traditional_n_pairs,ml_sigma68_ns,ml_n_pairs,ml_shuffled_sigma68_ns,ml_shuffled_n_pairs
58,73,2.7145773212114936,219,1.997571533331513,219,2.1648555126458913,219,2.924149404031931,219
59,763,2.83295889208285,2289,2.0417409752812894,2289,1.8212599227664563,2289,3.2784435378334162,2289
60,808,2.794474786650582,2424,2.0412586303539975,2424,1.8605537913271346,2424,3.2147160467350777,2424
61,933,2.711713610190772,2799,2.557053734767397,2799,2.3196991584491347,2799,2.9910354237298153,2799
62,807,2.8329588920828455,2421,2.041740975281286,2421,1.8261803711168467,2421,3.2150363699226094,2421
63,370,3.0444747866505804,1110,1.9263886198434947,1110,1.8424873873199132,1110,3.450569375635263,1110
65,66,2.5751003056228043,198,1.762073033202241,198,2.0878538825534387,198,2.974087788801377,198
