method,base_method,n,pred_mean_ns,target_mean_ns,heldout_run
s16e_base_timewalk,template_phase,37,-4.360469198566743,-4.906445441602827,58
s16e_base_timewalk,template_phase,36,-3.386069863964352,-4.038920480766592,58
s16e_base_timewalk,template_phase,37,1.2712623759391515,1.3930848155330913,58
s16e_base_timewalk,template_phase,36,2.395743427204596,2.4953951608172735,58
s16e_base_timewalk,template_phase,36,2.588823764325782,2.9311052159229445,58
s16e_base_timewalk,template_phase,37,3.0008488518763747,2.163282889446754,58
s16e_base_timewalk,template_phase,382,-4.410316148127875,-4.50939022413954,59
s16e_base_timewalk,template_phase,381,-3.8369168061990995,-4.434334982739136,59
s16e_base_timewalk,template_phase,382,1.1521682143529242,1.3605351907732919,59
s16e_base_timewalk,template_phase,381,2.017604295379251,2.152989321622877,59
s16e_base_timewalk,template_phase,381,2.4868800377304976,2.7135849981672964,59
s16e_base_timewalk,template_phase,382,2.671218721939029,2.7177472129044085,59
s16e_base_timewalk,template_phase,404,-4.245879252027444,-4.223552771237291,60
s16e_base_timewalk,template_phase,404,-3.4162541167049616,-4.0775214982563135,60
s16e_base_timewalk,template_phase,404,0.7236582535133437,0.9685483208293247,60
s16e_base_timewalk,template_phase,404,1.836636746751684,1.9111151175945726,60
s16e_base_timewalk,template_phase,404,2.283196161413831,2.5868875004780287,60
s16e_base_timewalk,template_phase,404,2.6007148765194334,2.834523330591662,60
s16e_base_timewalk,template_phase,467,-4.626029612608926,-3.555021327088996,61
s16e_base_timewalk,template_phase,466,-4.000145050143868,-3.1784929920132514,61
s16e_base_timewalk,template_phase,467,1.0906577920693057,0.6014505284737136,61
s16e_base_timewalk,template_phase,466,2.098962287241532,1.8151892114109651,61
s16e_base_timewalk,template_phase,466,2.53437874885625,2.1881212799597427,61
s16e_base_timewalk,template_phase,467,2.7336596428780453,2.1305195037532103,61
s16e_base_timewalk,template_phase,404,-4.449321986176679,-4.404247588877441,62
s16e_base_timewalk,template_phase,403,-3.8609716538348655,-4.290778932720824,62
s16e_base_timewalk,template_phase,404,1.0707540285370765,1.25813769061579,62
s16e_base_timewalk,template_phase,403,2.0147280489371906,2.201138713612781,62
s16e_base_timewalk,template_phase,403,2.468136099897531,2.5345980800234034,62
s16e_base_timewalk,template_phase,404,2.6967812790123045,2.7022534181901854,62
s16e_base_timewalk,template_phase,185,-4.371650848865489,-4.412813888391994,63
s16e_base_timewalk,template_phase,185,-3.7616783556785673,-4.2823943967286615,63
s16e_base_timewalk,template_phase,185,1.1422260287732806,1.309083112316028,63
s16e_base_timewalk,template_phase,185,2.0650472726273974,1.9597706835541,63
s16e_base_timewalk,template_phase,185,2.459065217295139,2.760474541922539,63
s16e_base_timewalk,template_phase,185,2.673689991486519,2.665879947327944,63
s16e_base_timewalk,template_phase,33,-4.373546846564455,-4.586338363323943,65
s16e_base_timewalk,template_phase,33,-3.6118038529893672,-4.260580787566357,65
s16e_base_timewalk,template_phase,33,1.4488566838811252,1.9346373122062523,65
s16e_base_timewalk,template_phase,33,2.232630276481243,2.2913997075695915,65
s16e_base_timewalk,template_phase,33,2.5729216920203775,2.495213371141221,65
s16e_base_timewalk,template_phase,33,2.918480539224521,2.12566875997323,65
