method,alpha,fold,sigma68_ns,n_pair_residuals,shuffled_target,heldout_run
s16e_proxy_timewalk,0.0001,0,1.288125883273362,2997,False,58
s16e_proxy_timewalk,0.0001,1,1.4288257145632244,3534,False,58
s16e_proxy_timewalk,0.0001,2,1.4084753314283012,4710,False,58
s16e_proxy_timewalk,0.0001,-1,1.3751423097549624,0,False,58
s16e_proxy_timewalk,0.001,0,1.3020756948144776,2997,False,58
s16e_proxy_timewalk,0.001,1,1.4468597671550671,3534,False,58
s16e_proxy_timewalk,0.001,2,1.4235424602328146,4710,False,58
s16e_proxy_timewalk,0.001,-1,1.3908259740674531,0,False,58
s16e_proxy_timewalk,0.01,0,1.3003510549114583,2997,False,58
s16e_proxy_timewalk,0.01,1,1.4568410031728696,3534,False,58
s16e_proxy_timewalk,0.01,2,1.4312640886301524,4710,False,58
s16e_proxy_timewalk,0.01,-1,1.3961520489048267,0,False,58
s16e_proxy_timewalk,0.1,0,1.3007525291971165,2997,False,58
s16e_proxy_timewalk,0.1,1,1.464333573495014,3534,False,58
s16e_proxy_timewalk,0.1,2,1.429131260995728,4710,False,58
s16e_proxy_timewalk,0.1,-1,1.3980724545626195,0,False,58
s16e_proxy_timewalk,1.0,0,1.3050518441289864,2997,False,58
s16e_proxy_timewalk,1.0,1,1.4563270601196547,3534,False,58
s16e_proxy_timewalk,1.0,2,1.4097369540999012,4710,False,58
s16e_proxy_timewalk,1.0,-1,1.3903719527828473,0,False,58
s16e_proxy_timewalk,10.0,0,1.2946544898244583,2997,False,58
s16e_proxy_timewalk,10.0,1,1.4383385824765973,3534,False,58
s16e_proxy_timewalk,10.0,2,1.4047243970359362,4710,False,58
s16e_proxy_timewalk,10.0,-1,1.3792391564456639,0,False,58
s16e_proxy_timewalk,0.0001,0,1.2616871666846028,2799,False,59
s16e_proxy_timewalk,0.0001,1,1.468634635872497,2841,False,59
s16e_proxy_timewalk,0.0001,2,1.4767822137147624,3531,False,59
s16e_proxy_timewalk,0.0001,-1,1.402368005423954,0,False,59
s16e_proxy_timewalk,0.001,0,1.2714726213183658,2799,False,59
s16e_proxy_timewalk,0.001,1,1.5034820789245313,2841,False,59
s16e_proxy_timewalk,0.001,2,1.473391737536417,3531,False,59
s16e_proxy_timewalk,0.001,-1,1.4161154792597712,0,False,59
s16e_proxy_timewalk,0.01,0,1.2739793053624786,2799,False,59
s16e_proxy_timewalk,0.01,1,1.512409723953577,2841,False,59
