feature,coefficient,train_pulses,heldout_pulses,method,base_method,heldout_run
intercept,0.0,11241,219,s16e_base_timewalk,template_phase,58
B4_intercept,83.99982978703363,11241,219,s16e_base_timewalk,template_phase,58
B4_log_amp,-242.46609382205315,11241,219,s16e_base_timewalk,template_phase,58
B4_log_amp2,122.92708128719022,11241,219,s16e_base_timewalk,template_phase,58
B4_inv_amp,-0.14190104717448002,11241,219,s16e_base_timewalk,template_phase,58
B4_peak_sample,0.5418696826993497,11241,219,s16e_base_timewalk,template_phase,58
B4_area_over_amp,-0.4604785370991429,11241,219,s16e_base_timewalk,template_phase,58
B4_template_sse,-0.2919313276924095,11241,219,s16e_base_timewalk,template_phase,58
B6_intercept,-29.99441630607314,11241,219,s16e_base_timewalk,template_phase,58
B6_log_amp,2.24587456893219,11241,219,s16e_base_timewalk,template_phase,58
B6_log_amp2,-4.442102933239573,11241,219,s16e_base_timewalk,template_phase,58
B6_inv_amp,-0.7393803827375643,11241,219,s16e_base_timewalk,template_phase,58
B6_peak_sample,0.19712636698008928,11241,219,s16e_base_timewalk,template_phase,58
B6_area_over_amp,-0.03932306106145252,11241,219,s16e_base_timewalk,template_phase,58
B6_template_sse,-0.0014954315720607822,11241,219,s16e_base_timewalk,template_phase,58
B8_intercept,-54.005403229546474,11241,219,s16e_base_timewalk,template_phase,58
B8_log_amp,55.447370257389814,11241,219,s16e_base_timewalk,template_phase,58
B8_log_amp2,-35.70158706214416,11241,219,s16e_base_timewalk,template_phase,58
B8_inv_amp,-0.9913423800662589,11241,219,s16e_base_timewalk,template_phase,58
B8_peak_sample,0.7304013662070491,11241,219,s16e_base_timewalk,template_phase,58
B8_area_over_amp,1.1757291107694026,11241,219,s16e_base_timewalk,template_phase,58
B8_template_sse,0.24815160452035945,11241,219,s16e_base_timewalk,template_phase,58
intercept,0.0,9171,2289,s16e_base_timewalk,template_phase,59
B4_intercept,71.09113028519802,9171,2289,s16e_base_timewalk,template_phase,59
B4_log_amp,-210.3464840498337,9171,2289,s16e_base_timewalk,template_phase,59
B4_log_amp2,108.34090020166711,9171,2289,s16e_base_timewalk,template_phase,59
B4_inv_amp,0.2869065097779267,9171,2289,s16e_base_timewalk,template_phase,59
B4_peak_sample,0.48479236147080157,9171,2289,s16e_base_timewalk,template_phase,59
B4_area_over_amp,-0.17086854893594558,9171,2289,s16e_base_timewalk,template_phase,59
B4_template_sse,-0.2229399403839133,9171,2289,s16e_base_timewalk,template_phase,59
B6_intercept,-22.88137583760556,9171,2289,s16e_base_timewalk,template_phase,59
B6_log_amp,-2.6411624053380915,9171,2289,s16e_base_timewalk,template_phase,59
B6_log_amp2,-1.5043758487151788,9171,2289,s16e_base_timewalk,template_phase,59
B6_inv_amp,-0.6325791451139122,9171,2289,s16e_base_timewalk,template_phase,59
B6_peak_sample,0.19798381226554368,9171,2289,s16e_base_timewalk,template_phase,59
B6_area_over_amp,-0.05416886892449912,9171,2289,s16e_base_timewalk,template_phase,59
B6_template_sse,-0.019824412419901127,9171,2289,s16e_base_timewalk,template_phase,59
B8_intercept,-48.20975239709068,9171,2289,s16e_base_timewalk,template_phase,59
B8_log_amp,54.29597749099789,9171,2289,s16e_base_timewalk,template_phase,59
B8_log_amp2,-34.90762984132412,9171,2289,s16e_base_timewalk,template_phase,59
B8_inv_amp,-0.9707675632891514,9171,2289,s16e_base_timewalk,template_phase,59
B8_peak_sample,0.6588678305762321,9171,2289,s16e_base_timewalk,template_phase,59
B8_area_over_amp,0.9716995850394964,9171,2289,s16e_base_timewalk,template_phase,59
B8_template_sse,0.2265100012168675,9171,2289,s16e_base_timewalk,template_phase,59
intercept,0.0,9036,2424,s16e_base_timewalk,template_phase,60
B4_intercept,70.96557383789877,9036,2424,s16e_base_timewalk,template_phase,60
B4_log_amp,-234.60420224201403,9036,2424,s16e_base_timewalk,template_phase,60
B4_log_amp2,120.28887501640433,9036,2424,s16e_base_timewalk,template_phase,60
B4_inv_amp,0.1171135618668351,9036,2424,s16e_base_timewalk,template_phase,60
B4_peak_sample,0.4538410045123929,9036,2424,s16e_base_timewalk,template_phase,60
B4_area_over_amp,-0.46172370502258886,9036,2424,s16e_base_timewalk,template_phase,60
B4_template_sse,-0.31915798408299745,9036,2424,s16e_base_timewalk,template_phase,60
B6_intercept,-28.168440435022415,9036,2424,s16e_base_timewalk,template_phase,60
B6_log_amp,-16.037102928238518,9036,2424,s16e_base_timewalk,template_phase,60
B6_log_amp2,4.7095098652124765,9036,2424,s16e_base_timewalk,template_phase,60
B6_inv_amp,-0.8283818199120514,9036,2424,s16e_base_timewalk,template_phase,60
B6_peak_sample,0.22235984416732912,9036,2424,s16e_base_timewalk,template_phase,60
B6_area_over_amp,-0.43438538007246397,9036,2424,s16e_base_timewalk,template_phase,60
B6_template_sse,-0.13216888486508158,9036,2424,s16e_base_timewalk,template_phase,60
B8_intercept,-42.797137655667164,9036,2424,s16e_base_timewalk,template_phase,60
B8_log_amp,21.930722931867376,9036,2424,s16e_base_timewalk,template_phase,60
B8_log_amp2,-20.846127740697323,9036,2424,s16e_base_timewalk,template_phase,60
B8_inv_amp,-1.4732411326888246,9036,2424,s16e_base_timewalk,template_phase,60
B8_peak_sample,0.7275417103977092,9036,2424,s16e_base_timewalk,template_phase,60
B8_area_over_amp,1.2739879042982012,9036,2424,s16e_base_timewalk,template_phase,60
B8_template_sse,0.29661445272551706,9036,2424,s16e_base_timewalk,template_phase,60
intercept,0.0,8661,2799,s16e_base_timewalk,template_phase,61
B4_intercept,56.676829071283116,8661,2799,s16e_base_timewalk,template_phase,61
B4_log_amp,-177.39566813898352,8661,2799,s16e_base_timewalk,template_phase,61
B4_log_amp2,92.38976417782293,8661,2799,s16e_base_timewalk,template_phase,61
B4_inv_amp,0.38257880570776326,8661,2799,s16e_base_timewalk,template_phase,61
B4_peak_sample,0.5951769267894199,8661,2799,s16e_base_timewalk,template_phase,61
B4_area_over_amp,-1.0431686492854484,8661,2799,s16e_base_timewalk,template_phase,61
B4_template_sse,-0.5313710750968524,8661,2799,s16e_base_timewalk,template_phase,61
B6_intercept,-30.990621771620685,8661,2799,s16e_base_timewalk,template_phase,61
B6_log_amp,19.395963769818753,8661,2799,s16e_base_timewalk,template_phase,61
B6_log_amp2,-13.415230758543554,8661,2799,s16e_base_timewalk,template_phase,61
B6_inv_amp,-0.8369900469539434,8661,2799,s16e_base_timewalk,template_phase,61
B6_peak_sample,0.17255735485045023,8661,2799,s16e_base_timewalk,template_phase,61
B6_area_over_amp,0.15665128166009606,8661,2799,s16e_base_timewalk,template_phase,61
B6_template_sse,0.04633796058519331,8661,2799,s16e_base_timewalk,template_phase,61
B8_intercept,-25.686203596303276,8661,2799,s16e_base_timewalk,template_phase,61
B8_log_amp,17.651634989050596,8661,2799,s16e_base_timewalk,template_phase,61
B8_log_amp2,-18.365790760285087,8661,2799,s16e_base_timewalk,template_phase,61
B8_inv_amp,-1.5235243052981164,8661,2799,s16e_base_timewalk,template_phase,61
B8_peak_sample,0.6984172227932339,8661,2799,s16e_base_timewalk,template_phase,61
B8_area_over_amp,1.146260992794192,8661,2799,s16e_base_timewalk,template_phase,61
B8_template_sse,0.2244904831470627,8661,2799,s16e_base_timewalk,template_phase,61
intercept,0.0,9039,2421,s16e_base_timewalk,template_phase,62
B4_intercept,59.932037151394695,9039,2421,s16e_base_timewalk,template_phase,62
B4_log_amp,-151.5143528538275,9039,2421,s16e_base_timewalk,template_phase,62
B4_log_amp2,80.0495987585857,9039,2421,s16e_base_timewalk,template_phase,62
B4_inv_amp,0.6804514810407244,9039,2421,s16e_base_timewalk,template_phase,62
B4_peak_sample,0.5203625567382945,9039,2421,s16e_base_timewalk,template_phase,62
B4_area_over_amp,-0.42378868171982115,9039,2421,s16e_base_timewalk,template_phase,62
B4_template_sse,-0.29593156737636334,9039,2421,s16e_base_timewalk,template_phase,62
B6_intercept,-11.590698988978982,9039,2421,s16e_base_timewalk,template_phase,62
B6_log_amp,14.644938643342018,9039,2421,s16e_base_timewalk,template_phase,62
B6_log_amp2,-10.582683571282818,9039,2421,s16e_base_timewalk,template_phase,62
B6_inv_amp,-0.6324117070795552,9039,2421,s16e_base_timewalk,template_phase,62
B6_peak_sample,0.2042941435770669,9039,2421,s16e_base_timewalk,template_phase,62
B6_area_over_amp,0.004979141140600895,9039,2421,s16e_base_timewalk,template_phase,62
B6_template_sse,0.016199512748650894,9039,2421,s16e_base_timewalk,template_phase,62
B8_intercept,-48.34133697626828,9039,2421,s16e_base_timewalk,template_phase,62
B8_log_amp,88.8161350502457,9039,2421,s16e_base_timewalk,template_phase,62
B8_log_amp2,-50.54853043904675,9039,2421,s16e_base_timewalk,template_phase,62
B8_inv_amp,-0.422738350037,9039,2421,s16e_base_timewalk,template_phase,62
B8_peak_sample,0.7021734454023599,9039,2421,s16e_base_timewalk,template_phase,62
B8_area_over_amp,1.2592966765111469,9039,2421,s16e_base_timewalk,template_phase,62
B8_template_sse,0.27551430799022336,9039,2421,s16e_base_timewalk,template_phase,62
intercept,0.0,10350,1110,s16e_base_timewalk,template_phase,63
B4_intercept,77.95563968959463,10350,1110,s16e_base_timewalk,template_phase,63
B4_log_amp,-236.53864307178353,10350,1110,s16e_base_timewalk,template_phase,63
B4_log_amp2,119.40022675226098,10350,1110,s16e_base_timewalk,template_phase,63
B4_inv_amp,-0.3066670727971847,10350,1110,s16e_base_timewalk,template_phase,63
B4_peak_sample,0.5383355230452509,10350,1110,s16e_base_timewalk,template_phase,63
B4_area_over_amp,-0.5248769447902679,10350,1110,s16e_base_timewalk,template_phase,63
B4_template_sse,-0.3526542389906021,10350,1110,s16e_base_timewalk,template_phase,63
B6_intercept,-30.96764535928838,10350,1110,s16e_base_timewalk,template_phase,63
B6_log_amp,-2.0306940577312615,10350,1110,s16e_base_timewalk,template_phase,63
B6_log_amp2,-3.041673123237174,10350,1110,s16e_base_timewalk,template_phase,63
B6_inv_amp,-0.9200874409379782,10350,1110,s16e_base_timewalk,template_phase,63
