method,alpha,fold,sigma68_ns,n_pair_residuals,shuffled_target,heldout_run
s16e_ml_proxy,0.1,0,2.0912237026606504,2799,False,62
s16e_ml_proxy,0.1,1,1.3610253129461625,2841,False,62
s16e_ml_proxy,0.1,2,1.479143735891041,3399,False,62
s16e_ml_proxy,0.1,-1,1.643797583832618,0,False,62
s16e_ml_proxy,1.0,0,2.086056463106636,2799,False,62
s16e_ml_proxy,1.0,1,1.3554455981607716,2841,False,62
s16e_ml_proxy,1.0,2,1.4769448117762993,3399,False,62
s16e_ml_proxy,1.0,-1,1.639482291014569,0,False,62
s16e_ml_proxy,10.0,0,2.0993075390055953,2799,False,62
s16e_ml_proxy,10.0,1,1.3301299279534637,2841,False,62
s16e_ml_proxy,10.0,2,1.4587032463610217,3399,False,62
s16e_ml_proxy,10.0,-1,1.6293802377733602,0,False,62
s16e_ml_proxy,100.0,0,2.0770821909766455,2799,False,62
s16e_ml_proxy,100.0,1,1.2548512931407614,2841,False,62
s16e_ml_proxy,100.0,2,1.3873577968476936,3399,False,62
s16e_ml_proxy,100.0,-1,1.5730970936550335,0,False,62
s16e_ml_proxy,0.01,0,2.0725919110026574,2799,False,63
s16e_ml_proxy,0.01,1,1.3383024421903476,2841,False,63
s16e_ml_proxy,0.01,2,1.4720579064405552,4710,False,63
s16e_ml_proxy,0.01,-1,1.6276507532111868,0,False,63
s16e_ml_proxy,0.1,0,2.072009384054945,2799,False,63
s16e_ml_proxy,0.1,1,1.33567924362479,2841,False,63
s16e_ml_proxy,0.1,2,1.4733416954667562,4710,False,63
s16e_ml_proxy,0.1,-1,1.6270101077154973,0,False,63
s16e_ml_proxy,1.0,0,2.070817039530454,2799,False,63
s16e_ml_proxy,1.0,1,1.3320429370154754,2841,False,63
s16e_ml_proxy,1.0,2,1.4696793015285563,4710,False,63
s16e_ml_proxy,1.0,-1,1.624179759358162,0,False,63
s16e_ml_proxy,10.0,0,2.0643414678049736,2799,False,63
s16e_ml_proxy,10.0,1,1.3077119828890544,2841,False,63
s16e_ml_proxy,10.0,2,1.4436111393128945,4710,False,63
s16e_ml_proxy,10.0,-1,1.6052215300023074,0,False,63
s16e_ml_proxy,100.0,0,2.0249844912820247,2799,False,63
s16e_ml_proxy,100.0,1,1.256195199140398,2841,False,63
s16e_ml_proxy,100.0,2,1.397155469236207,4710,False,63
s16e_ml_proxy,100.0,-1,1.5594450532195434,0,False,63
s16e_ml_proxy,0.01,0,2.0224869918990125,3018,False,65
s16e_ml_proxy,0.01,1,1.4042714064187953,3534,False,65
s16e_ml_proxy,0.01,2,1.484157398080262,4710,False,65
s16e_ml_proxy,0.01,-1,1.6369719321326899,0,False,65
s16e_ml_proxy,0.1,0,2.023289353342902,3018,False,65
s16e_ml_proxy,0.1,1,1.3996853274057521,3534,False,65
s16e_ml_proxy,0.1,2,1.4828140680764177,4710,False,65
s16e_ml_proxy,0.1,-1,1.635262916275024,0,False,65
s16e_ml_proxy,1.0,0,2.026735589715303,3018,False,65
s16e_ml_proxy,1.0,1,1.3927031077432006,3534,False,65
s16e_ml_proxy,1.0,2,1.4819095797026374,4710,False,65
s16e_ml_proxy,1.0,-1,1.6337827590537135,0,False,65
s16e_ml_proxy,10.0,0,2.018723763873609,3018,False,65
s16e_ml_proxy,10.0,1,1.3696084811053533,3534,False,65
s16e_ml_proxy,10.0,2,1.4703049343722596,4710,False,65
s16e_ml_proxy,10.0,-1,1.6195457264504072,0,False,65
s16e_ml_proxy,100.0,0,1.9678447757349857,3018,False,65
s16e_ml_proxy,100.0,1,1.3259591603250342,3534,False,65
s16e_ml_proxy,100.0,2,1.4246497419908297,4710,False,65
s16e_ml_proxy,100.0,-1,1.5728178926836165,0,False,65
