heldout_run,method,proxy_bin,n_pair_residuals,n_events,event_pre_line_absmax_adc_mean,sigma68_ns,tail_frac_abs_gt5ns
58,S02b global template timewalk,low,75,25,11.489523809523812,1.2152788566651087,0.02666666666666667
58,S02b global template timewalk,mid,72,24,20.79960317460318,1.4967790225792341,0.013888888888888888
58,S02b global template timewalk,high,72,24,821.3194444444446,1.8300800834508517,0.027777777777777776
58,traditional S16e proxy timewalk,low,75,25,11.489523809523812,1.3865771384392458,0.04
58,traditional S16e proxy timewalk,mid,72,24,20.79960317460318,1.1807502056516892,0.0
58,traditional S16e proxy timewalk,high,72,24,821.3194444444446,1.1301754658937473,0.027777777777777776
58,ML waveform plus S16e proxy ridge,low,75,25,11.489523809523812,1.204557809211426,0.0
58,ML waveform plus S16e proxy ridge,mid,72,24,20.79960317460318,1.357982192281703,0.027777777777777776
58,ML waveform plus S16e proxy ridge,high,72,24,821.3194444444446,1.2173584243138278,0.027777777777777776
59,S02b global template timewalk,low,765,255,12.33818860877684,1.7383309414922654,0.011764705882352941
59,S02b global template timewalk,mid,762,254,23.548556430446208,1.705194757865912,0.009186351706036745
59,S02b global template timewalk,high,762,254,960.50206224222,1.4093972339329912,0.01706036745406824
59,traditional S16e proxy timewalk,low,765,255,12.33818860877684,1.4586050751644875,0.01045751633986928
59,traditional S16e proxy timewalk,mid,762,254,23.548556430446208,1.554702705567369,0.009186351706036745
59,traditional S16e proxy timewalk,high,762,254,960.50206224222,0.9546047053142788,0.01706036745406824
59,ML waveform plus S16e proxy ridge,low,765,255,12.33818860877684,1.7068291053747513,0.01568627450980392
59,ML waveform plus S16e proxy ridge,mid,762,254,23.548556430446208,1.7092795246352217,0.010498687664041995
59,ML waveform plus S16e proxy ridge,high,762,254,960.50206224222,1.1499476425010375,0.015748031496062992
60,S02b global template timewalk,low,819,273,12.271585557299831,1.4515958994467442,0.004884004884004884
60,S02b global template timewalk,mid,798,266,28.250268528464062,1.4766019236672008,0.011278195488721804
60,S02b global template timewalk,high,807,269,1182.4829173305031,1.4478061283058512,0.0161090458488228
60,traditional S16e proxy timewalk,low,819,273,12.271585557299831,1.542699828101385,0.004884004884004884
