feature,coefficient,method,base_method,best_alpha,train_pulses,heldout_run
intercept,0.0,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B4_intercept,347.63818368685196,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B4_log_amp,-757.758935236587,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B4_log_amp2,334.9034166318092,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B4_inv_amp,-12.066626188220605,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B4_peak_sample,0.3874671853298564,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B4_area_over_amp,0.08119745299092723,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B4_template_sse,0.00473062952268645,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B6_intercept,-69.49726430387521,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B6_log_amp,-41.61227564209834,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B6_log_amp2,22.299423476540706,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B6_inv_amp,0.46308496361680473,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B6_peak_sample,0.48749696781058055,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B6_area_over_amp,-0.23707420510854815,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B6_template_sse,-0.08480676963732268,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B8_intercept,-278.1405805341355,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B8_log_amp,343.96392603147893,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B8_log_amp2,-157.05880611690247,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B8_inv_amp,4.2482610628759785,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B8_peak_sample,0.19083584142083623,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B8_area_over_amp,-1.109787593581279,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
B8_template_sse,-0.26718630987573627,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
pre_range_adc,4.879329908505156,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
pre_std_adc,-6.697025144259372,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
pre_line_absmax_adc,0.5409176680951836,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
pre_line_rms_adc,0.2159574228298885,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
pre_line_slope_adc_per_sample,0.7315675265482773,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
pre_min_adc,-0.5446219052607636,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
log1p_pre_range,0.08797486137586501,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
log1p_line_absmax,-1.7439893803116762,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
proxy_x_log_amp,1.741051063797069,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11241,58
intercept,0.0,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B4_intercept,304.65230052682415,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B4_log_amp,-692.3834493999931,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B4_log_amp2,305.2196608492268,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B4_inv_amp,-11.043316773211897,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B4_peak_sample,0.3324615985640612,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B4_area_over_amp,0.20900250961584155,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
