feature,coefficient,method,base_method,best_alpha,train_pulses,heldout_run
s02_waveform_feature_0,-0.1486465086258064,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_1,0.24442395054903912,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_2,-0.1777643630503663,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_3,0.38310769931133054,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_4,0.02424957494147282,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_5,0.3453341284341181,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_6,0.007517060927369764,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_7,-0.28500911891960645,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_8,-0.05448691745153587,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_9,0.16770610956727072,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_10,0.26695067211817686,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_11,-0.05098109069410573,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_12,-0.10071109976465663,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_13,0.17939981610818936,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_14,0.18795360172978048,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_15,0.006223724196341634,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_16,-0.2631585864046216,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_17,-0.2718242456939345,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_18,-0.016672776928224352,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_19,0.7192399879728545,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_20,0.08929048665210097,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_21,-1.9816553979760625,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_22,1.1499977548963498,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_23,0.8316576430807995,s16e_ml_proxy,template_phase,100.0,11241,58
pre_range_adc,0.01531969311453459,s16e_ml_proxy,template_phase,100.0,11241,58
pre_std_adc,-0.09467112224580748,s16e_ml_proxy,template_phase,100.0,11241,58
pre_line_absmax_adc,-0.13016256203006374,s16e_ml_proxy,template_phase,100.0,11241,58
pre_line_rms_adc,-0.07493979741398438,s16e_ml_proxy,template_phase,100.0,11241,58
pre_line_slope_adc_per_sample,0.22830441258568465,s16e_ml_proxy,template_phase,100.0,11241,58
pre_min_adc,-0.015387684695794355,s16e_ml_proxy,template_phase,100.0,11241,58
log1p_pre_range,-0.021928072498679917,s16e_ml_proxy,template_phase,100.0,11241,58
log1p_line_absmax,0.03697732296746958,s16e_ml_proxy,template_phase,100.0,11241,58
proxy_x_log_amp,0.04659086086686609,s16e_ml_proxy,template_phase,100.0,11241,58
s02_waveform_feature_0,0.0820270424405646,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_1,-0.13387666764020614,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_2,-0.15192215722851787,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_3,0.20002787545773687,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_4,0.07892355990123935,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_5,0.36998299215026104,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_6,-0.03247148937403238,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_7,-0.2801517585558731,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_8,0.005203352139985585,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_9,0.17491401089726102,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_10,0.31255836665018333,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_11,-0.04171814907851011,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_12,-0.24005464979849644,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_13,0.262919397342953,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_14,0.25645329302789277,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_15,-0.05689870145849119,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_16,-0.23909260681866493,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_17,-0.2092500859488818,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_18,-0.02497946765571197,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_19,0.7508525828367822,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_20,0.09334093849074215,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_21,-1.929554338543462,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_22,1.1634407442073622,s16e_ml_proxy,template_phase,100.0,9171,59
s02_waveform_feature_23,0.7661135943360311,s16e_ml_proxy,template_phase,100.0,9171,59
pre_range_adc,0.07154101391938653,s16e_ml_proxy,template_phase,100.0,9171,59
pre_std_adc,0.0377010423741308,s16e_ml_proxy,template_phase,100.0,9171,59
pre_line_absmax_adc,-0.10302804406094043,s16e_ml_proxy,template_phase,100.0,9171,59
pre_line_rms_adc,-0.19656696917806396,s16e_ml_proxy,template_phase,100.0,9171,59
