run,stave,n_pulses,n_events,pre_line_absmax_median_adc,pre_range_median_adc
58,B4,73,73,11.333333333333332,18.0
58,B6,73,73,14.857142857142858,18.0
58,B8,73,73,11.0,17.0
59,B4,763,763,13.333333333333334,20.0
59,B6,763,763,16.0,22.0
59,B8,763,763,12.666666666666668,20.0
60,B4,808,808,16.0,24.0
60,B6,808,808,15.666666666666668,23.0
60,B8,808,808,13.666666666666666,19.0
61,B4,933,933,13.333333333333334,22.0
61,B6,933,933,16.0,21.0
61,B8,933,933,13.333333333333336,20.0
62,B4,807,807,14.0,22.0
62,B6,807,807,16.0,21.0
62,B8,807,807,14.0,20.0
63,B4,370,370,13.666666666666666,21.5
63,B6,370,370,15.0,18.0
63,B8,370,370,14.333333333333332,20.0
65,B4,66,66,10.166666666666666,17.0
65,B6,66,66,14.333333333333332,17.0
65,B8,66,66,12.0,17.0
