method,pair,n_pairs,n_events,sigma68_ns,tail_frac_abs_gt5ns,full_rms_ns
cnn1d,B4-B6,3820,3820,1.6519212050157976,0.02643979057591623,5.185947005527745
cnn1d,B4-B8,3820,3820,1.6522224605185643,0.027225130890052355,6.226650050488973
cnn1d,B6-B8,3820,3820,1.8864439514969475,0.08926701570680629,5.264945572134256
gradient_boosted_trees,B4-B6,3820,3820,1.2003802663803702,0.011256544502617802,4.846122884398834
gradient_boosted_trees,B4-B8,3820,3820,1.2979306225371108,0.017277486910994764,6.363418106320766
gradient_boosted_trees,B6-B8,3820,3820,0.9467618779473361,0.008376963350785341,4.986532286850893
mlp,B4-B6,3820,3820,1.3731738580660056,0.01832460732984293,4.617254209719911
mlp,B4-B8,3820,3820,1.5150329793301265,0.02329842931937173,5.017830855372789
mlp,B6-B8,3820,3820,1.179895724225247,0.015183246073298429,3.828959162798418
ridge,B4-B6,3820,3820,1.7615554603415207,0.0274869109947644,4.896209517396439
ridge,B4-B8,3820,3820,2.0032635682268403,0.05130890052356021,6.362248108872115
ridge,B6-B8,3820,3820,1.768279551300449,0.032460732984293195,5.033033773092499
siamese_cnn_meta,B4-B6,3820,3820,1.1888094767349662,0.012303664921465968,5.280422977401332
siamese_cnn_meta,B4-B8,3820,3820,1.2362705283920614,0.017539267015706805,6.3158575140635005
siamese_cnn_meta,B6-B8,3820,3820,0.9385162731896037,0.008900523560209424,4.490908544492212
traditional_atom_early_minus_late,B4-B6,3820,3820,1.401557602691625,0.013612565445026177,4.984877909072117
traditional_atom_early_minus_late,B4-B8,3820,3820,1.4604115024589328,0.019109947643979056,6.696797311806535
traditional_atom_early_minus_late,B6-B8,3820,3820,1.172687750593135,0.008115183246073299,5.153242433164375
traditional_atom_large_lowering_flag,B4-B6,3820,3820,1.407142182457517,0.013612565445026177,5.000877097531104
traditional_atom_large_lowering_flag,B4-B8,3820,3820,1.4499844301217852,0.019109947643979056,6.7223464874909915
traditional_atom_large_lowering_flag,B6-B8,3820,3820,1.1930233229619835,0.008376963350785341,5.165367008423237
traditional_atom_mean,B4-B6,3820,3820,1.5248262066502734,0.014136125654450262,5.03708966404693
traditional_atom_mean,B4-B8,3820,3820,1.547115110668847,0.020418848167539267,6.779645372144589
traditional_atom_mean,B6-B8,3820,3820,1.1703107792349232,0.008376963350785341,5.181703283954365
traditional_atom_quiet_proxy_bin,B4-B6,3820,3820,1.5335142648205875,0.01387434554973822,5.04247808490932
traditional_atom_quiet_proxy_bin,B4-B8,3820,3820,1.6313474355891926,0.020418848167539267,6.79149735067053
traditional_atom_quiet_proxy_bin,B6-B8,3820,3820,1.1119375252842287,0.008376963350785341,5.171908151152298
traditional_atom_slope,B4-B6,3820,3820,1.4021149399941715,0.013612565445026177,4.981552328141653
traditional_atom_slope,B4-B8,3820,3820,1.4635665383978602,0.019109947643979056,6.6941996383583415
traditional_atom_slope,B6-B8,3820,3820,1.1805280548510928,0.008115183246073299,5.151050647552365
traditional_base_huber,B4-B6,3820,3820,1.5760690574402076,0.014659685863874346,5.0395158420273765
traditional_base_huber,B4-B8,3820,3820,1.6388624802456633,0.020942408376963352,6.7768140128693535
traditional_base_huber,B6-B8,3820,3820,1.1053467201317606,0.008900523560209424,5.158298294593646
uncorrected_cfd20,B4-B6,3820,3820,1.758138582899647,0.37670157068062826,6.839031510152612
uncorrected_cfd20,B4-B8,3820,3820,2.0340734010886563,0.2680628272251309,8.029966018890942
uncorrected_cfd20,B6-B8,3820,3820,1.334980317295792,0.009162303664921465,5.240884321391238
