method,n_pairs,n_events,mean_run_sigma68_ns,pooled_sigma68_ns,pooled_full_rms_ns,tail_frac_abs_gt5ns,mae_ns,rmse_ns,mean_run_sigma68_ns_ci_low,mean_run_sigma68_ns_ci_high,pooled_sigma68_ns_ci_low,pooled_sigma68_ns_ci_high,tail_frac_abs_gt5ns_ci_low,tail_frac_abs_gt5ns_ci_high,mae_ns_ci_low,mae_ns_ci_high,rmse_ns_ci_low,rmse_ns_ci_high
uncorrected_cfd20,11460,3820,3.141014822346903,3.1502666141199165,6.7999895767471115,0.21797556719022687,3.5098352587668282,6.7999895767471115,3.0310479104959684,3.251023727506441,3.004896728494992,3.3026618551382816,0.18551368882537575,0.2521669681409732,3.325504671651579,3.7310428754307745,5.497871012072988,8.11174996048124
traditional_base_huber,11460,3820,1.4475090198265423,1.4403663667760318,5.713433567277359,0.014834205933682374,1.5668819264989973,5.713433567277359,1.351075933845492,1.5350923590273748,1.3904122166535025,1.5109631151018759,0.01004675033244681,0.01918158420965152,1.3747518705712896,1.7521602816143687,3.863254816194664,7.1130689436566
traditional_atom_mean,11460,3820,1.429537463991688,1.3993207113528636,5.720894818663522,0.014310645724258289,1.5452306508722877,5.720894818663522,1.347431380150807,1.5144498374620667,1.3570702784557096,1.4672363410401161,0.010021153538970266,0.01870903828033474,1.3613434888632943,1.7165094383226478,3.962200002387227,6.944575154417629
traditional_atom_slope,11460,3820,1.36607410316495,1.3450960079680685,5.661610347179211,0.013612565445026177,1.4889154190861666,5.661610347179211,1.292579509921658,1.4459738730915073,1.3008345299660775,1.3928114599516528,0.0093206937176361,0.01748964696319679,1.2951989230665693,1.6942158108679892,3.9521438407216634,7.116047445569666
traditional_atom_early_minus_late,11460,3820,1.367672484518985,1.3431995712345022,5.664274286518392,0.013612565445026177,1.489285620739308,5.664274286518392,1.2976595173464736,1.4365939821627052,1.2988495849542798,1.4004159358462234,0.008963692864448116,0.017997488788422007,1.3120229132200554,1.6707928633808862,4.07088261443644,6.936998217477622
traditional_atom_quiet_proxy_bin,11460,3820,1.4699630246484117,1.4312878880442779,5.724207526662859,0.014223385689354275,1.5601162979328518,5.724207526662859,1.371076899524636,1.5435588790175505,1.3897057540818232,1.49874438066102,0.009872902604989306,0.018929289154012274,1.3829140591713083,1.7300205249465916,4.163383639847534,7.011201686249163
traditional_atom_large_lowering_flag,11460,3820,1.3684020137661592,1.3505740958937502,5.682714444529739,0.013699825479930192,1.4922545487602665,5.682714444529739,1.2942979503266465,1.447204922210131,1.3040759720679793,1.4026260945534474,0.009798934087086809,0.017700570084945275,1.311882871155122,1.710860244452447,4.139233592314665,7.266842390835021
ridge,11460,3820,1.8598466262216835,1.8426799916479184,5.470603184237853,0.037085514834205933,1.941979169764378,5.470603184237853,1.7424481804981793,1.9856790819444707,1.6779158926783722,2.0499224300913954,0.026811553351657257,0.04925216266472632,1.7179571747450555,2.1897757909018147,3.965730232918595,6.680531570056482
gradient_boosted_trees,11460,3820,1.1703023860588762,1.1417764677100792,5.441920655257401,0.012303664921465968,1.315317090730024,5.441920655257401,1.1033800329526195,1.2361363609668476,1.1007620065982666,1.1854556492159565,0.00825981557810188,0.016682283994812832,1.1352804074053517,1.4941968215444097,3.7769886892638964,6.778935247359062
mlp,11460,3820,1.363967163401462,1.3540962842012332,4.515107647320841,0.01893542757417103,1.4630461581473717,4.515107647320841,1.3167431837665038,1.4181973751699941,1.293376101891087,1.4121213031517006,0.014433649658211426,0.023570656999437372,1.268148310731677,1.6665283349812843,2.9306152756059625,5.8175263506309784
cnn1d,11460,3820,2.696085408751915,2.680261757295803,5.579273222470606,0.04764397905759162,2.391172538193376,5.579273222470606,2.5848876296597214,2.8147208909176236,2.547566394186427,2.848709747419471,0.041819170176476184,0.052638450576831926,2.2010971476776957,2.63198339664789,4.159149002171095,6.927732745711316
siamese_cnn_meta,11460,3820,1.1414989687930348,1.1163197124192958,5.4142153175141186,0.012914485165794066,1.3061536990709595,5.4142153175141186,1.0731460059970344,1.2105862808642587,1.076666445787133,1.1639338669609147,0.008176213082570048,0.017531187793680153,1.1247838247334583,1.5356744343425874,3.2594538409949627,7.295450340621953
