method,comparator,delta_pooled_sigma68_ns,delta_ci_low,delta_ci_high,n_pairs
siamese_cnn_meta,traditional_atom_slope,-0.22877629554877266,-0.26362487028015924,-0.1983617808083138,11460
gradient_boosted_trees,traditional_atom_slope,-0.20331954025798926,-0.2374897880097987,-0.17122954007290728,11460
traditional_atom_early_minus_late,traditional_atom_slope,-0.0018964367335663201,-0.006716159425733647,0.007787342662087196,11460
traditional_atom_large_lowering_flag,traditional_atom_slope,0.005478087925681718,-0.009369090520366035,0.016177004273206914,11460
mlp,traditional_atom_slope,0.009000276233164684,-0.050683900638528394,0.07758337417340105,11460
traditional_atom_mean,traditional_atom_slope,0.054224703384795125,0.037711618730919126,0.09014308229568478,11460
traditional_atom_quiet_proxy_bin,traditional_atom_slope,0.08619188007620937,0.056626715149638324,0.12401227302871423,11460
traditional_base_huber,traditional_atom_slope,0.0952703588079633,0.0653439770271747,0.12870591385769772,11460
ridge,traditional_atom_slope,0.4975839836798499,0.36442257355141416,0.6658493867903749,11460
cnn1d,traditional_atom_slope,1.3351657493277347,1.161212047076107,1.5041268958527405,11460
uncorrected_cfd20,traditional_atom_slope,1.805170606151848,1.6586777413518894,1.9342346071873198,11460
