consumer,stratum,n_pair_residuals,retained_pass_fraction,analytic_decision,hgb_refit_decision,action_gated_decision,analytic_sigma68_ns,hgb_sigma68_ns,action_gated_sigma68_ns,analytic_tail_frac,hgb_tail_frac
timing,all,11460,0.6589005235602095,usable,usable,withhold,1.5510917109777835,1.1074168319603352,1.7788564954364257,0.019109947643979056,0.013787085514834206
timing,S03m pass rows,7551,1.0,usable,usable,usable,1.4202541088078713,1.1120927408124075,1.1120927408124075,0.013905442987683751,0.011521652761223678
timing,S03m excluded rows,3909,0.0,withhold,usable,withhold,1.9492695922745542,1.1050512566086756,1.9492695922745542,0.028140189306728063,0.01841903300076746
charge,all_charge_matched,11460,0.6589005235602095,usable,usable,withhold,1.5510917109777835,1.1074168319603352,1.7788564954364257,0.019109947643979056,0.013787085514834206
energy,all_energy_support,11460,0.6589005235602095,usable,usable,withhold,1.5510917109777835,1.1074168319603352,1.7788564954364257,0.019109947643979056,0.013787085514834206
pileup,all_timing_tail_proxy,11460,0.6589005235602095,usable,usable,withhold,1.5510917109777835,1.1074168319603352,1.7788564954364257,0.019109947643979056,0.013787085514834206
pid,all_topology_proxy,11460,0.6589005235602095,usable,usable,withhold,1.5510917109777835,1.1074168319603352,1.7788564954364257,0.019109947643979056,0.013787085514834206
