consumer,stratum,method,n_pair_residuals,n_events,n_runs,retained_pass_fraction,recalibrate_fraction,abstain_fraction,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns
pileup,sample_window_mask=artifact_sensitive_3_6,hgb_waveform_amp_shape_stave,2498,1022,7,0.6733386709367494,0.3266613290632506,0.0,-0.5701973008314125,-0.7344780116050771,0.6431096700753274,0.8107498367234048,0.003602882305844676
pileup,sample_window_mask=artifact_sensitive_3_6,s03m_action_gated_hgb,2498,1022,7,0.6733386709367494,0.3266613290632506,0.0,0.06330894437917511,-0.2068281549004318,1.5000687485350088,1.3043183589634009,0.0028022417934347476
pileup,sample_window_mask=delayed_or_edge_15_17,analytic_timewalk,477,171,7,0.6792452830188679,0.32075471698113206,0.0,0.828904836972181,1.8280099948681252,1.1704493605623196,5.238615234212618,0.06918238993710692
pileup,sample_window_mask=delayed_or_edge_15_17,hgb_waveform_amp_shape_stave,477,171,7,0.6792452830188679,0.32075471698113206,0.0,-0.5798550619087479,0.0740652376643566,1.1449491566496741,4.827747093812641,0.08176100628930817
pileup,sample_window_mask=delayed_or_edge_15_17,s03m_action_gated_hgb,477,171,7,0.6792452830188679,0.32075471698113206,0.0,0.035699308871792665,0.383136621065276,1.3957054523044015,4.9165744120514585,0.07966457023060797
pileup,sample_window_mask=late_tail_12_14,analytic_timewalk,429,172,7,0.6223776223776224,0.3776223776223776,0.0,1.4319510366635202,1.822124306312034,1.247582357132731,5.217391244190656,0.06526806526806526
pileup,sample_window_mask=late_tail_12_14,hgb_waveform_amp_shape_stave,429,172,7,0.6223776223776224,0.3776223776223776,0.0,-0.6297925070246861,-0.5171358831810124,1.0578009260913306,3.9899165362621147,0.055944055944055944
pileup,sample_window_mask=late_tail_12_14,s03m_action_gated_hgb,429,172,7,0.6223776223776224,0.3776223776223776,0.0,0.3124485493546945,0.0466401110058001,1.587010126963154,4.40431822303136,0.055944055944055944
pileup,sample_window_mask=nominal_template_7_11,analytic_timewalk,8056,2815,7,0.6551638530287984,0.3448361469712016,0.0,1.2467263699757138,1.2370020706934355,1.8699466385594432,2.5771910793439314,0.018247269116186692
pileup,sample_window_mask=nominal_template_7_11,hgb_waveform_amp_shape_stave,8056,2815,7,0.6551638530287984,0.3448361469712016,0.0,-0.5593264946329106,-0.547172233690361,1.2950399812507507,2.0080904361733083,0.010923535253227408
pileup,sample_window_mask=nominal_template_7_11,s03m_action_gated_hgb,8056,2815,7,0.6551638530287984,0.3448361469712016,0.0,0.1454893241352932,-0.19956810427634505,1.9349130077475543,2.591160503495038,0.03562562065541212
pid,p09_anomaly_class=novel_delayed_peak,analytic_timewalk,571,212,7,0.6409807355516638,0.35901926444833626,0.0,1.2235899339206096,1.8443300008536028,1.1809544077361749,5.110185552330587,0.07705779334500876
pid,p09_anomaly_class=novel_delayed_peak,hgb_waveform_amp_shape_stave,571,212,7,0.6409807355516638,0.35901926444833626,0.0,-0.44798640675368856,0.0102662761411806,1.1556625919008168,4.48464285219911,0.0840630472854641
pid,p09_anomaly_class=novel_delayed_peak,s03m_action_gated_hgb,571,212,7,0.6409807355516638,0.35901926444833626,0.0,0.4349438840702368,0.4326771859749954,1.419663731060629,4.713752701210559,0.08581436077057793
pid,p09_anomaly_class=novel_early_pretrigger,analytic_timewalk,298,140,6,0.6409395973154363,0.35906040268456374,0.0,0.8359952682857145,1.875199262195963,1.319980297812305,3.9711615198861354,0.026845637583892617
pid,p09_anomaly_class=novel_early_pretrigger,hgb_waveform_amp_shape_stave,298,140,6,0.6409395973154363,0.35906040268456374,0.0,-0.9686227007706465,-0.4558313357921726,0.7802435860351828,3.7690491689552164,0.03355704697986577
pid,p09_anomaly_class=novel_early_pretrigger,s03m_action_gated_hgb,298,140,6,0.6409395973154363,0.35906040268456374,0.0,-0.27802352143349235,0.013763306278484249,1.6374856213708529,3.982421423781102,0.03355704697986577
pid,p09_anomaly_class=unassigned_common,analytic_timewalk,10516,3624,7,0.6604222137694941,0.3395777862305059,0.0,1.2674446096961614,1.461413335364579,1.5970675885959906,2.2827351661094393,0.01397869912514264
pid,p09_anomaly_class=unassigned_common,hgb_waveform_amp_shape_stave,10516,3624,7,0.6604222137694941,0.3395777862305059,0.0,-0.5474645808561242,-0.6108638076718549,1.1087522389500215,1.6791763971136637,0.008082921262837581
pid,p09_anomaly_class=unassigned_common,s03m_action_gated_hgb,10516,3624,7,0.6604222137694941,0.3395777862305059,0.0,0.1350843770773375,-0.20673593142061714,1.7919621142738307,2.260247116104194,0.026721186763027767
pileup,run_family=sampleII_early_58_60,analytic_timewalk,4932,1644,3,1.0,0.0,0.0,1.0167888068845097,1.274262379487407,1.3873612017970858,2.4777217164198264,0.015206812652068127
pileup,run_family=sampleII_early_58_60,hgb_waveform_amp_shape_stave,4932,1644,3,1.0,0.0,0.0,-0.6779275320992333,-0.6484887619830708,1.0818004637755454,2.025079178376699,0.013179237631792377
pileup,run_family=sampleII_early_58_60,s03m_action_gated_hgb,4932,1644,3,1.0,0.0,0.0,-0.6779275320992333,-0.6484887619830708,1.0818004637755454,2.025079178376699,0.013179237631792377
pileup,run_family=sampleII_mid_61_63,analytic_timewalk,6330,2110,3,0.3824644549763033,0.6175355450236967,0.0,1.4280204662292446,1.6794214625056618,1.7336827393892125,2.815700968540204,0.023696682464454975
pileup,run_family=sampleII_mid_61_63,hgb_waveform_amp_shape_stave,6330,2110,3,0.3824644549763033,0.6175355450236967,0.0,-0.4769560775613636,-0.5216363692132298,1.1241127580189778,2.227744781954583,0.015007898894154818
pileup,run_family=sampleII_mid_61_63,s03m_action_gated_hgb,6330,2110,3,0.3824644549763033,0.6175355450236967,0.0,0.7802849468591373,0.39582447451051195,1.91989149796256,2.857252741466939,0.03222748815165877
