consumer,stratum,method,n_pair_residuals,n_events,n_runs,retained_pass_fraction,recalibrate_fraction,abstain_fraction,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns
timing,all,analytic_timewalk,11460,3820,7,0.6589005235602095,0.34109947643979055,0.0,1.244169340772551,1.4947512901245903,1.5510917109777835,2.666988996928635,0.019109947643979056
timing,all,hgb_waveform_amp_shape_stave,11460,3820,7,0.6589005235602095,0.34109947643979055,0.0,-0.5651883899025881,-0.5800552938889112,1.1074168319603352,2.1317098900814804,0.013787085514834206
timing,all,s03m_action_gated_hgb,11460,3820,7,0.6589005235602095,0.34109947643979055,0.0,0.129256259711877,-0.1612010306369065,1.7788564954364257,2.612600268301325,0.030453752181500874
timing,S03m pass rows,analytic_timewalk,7551,2517,5,1.0,0.0,0.0,1.0419269230755637,1.2841806103809574,1.4202541088078713,2.49557820584568,0.013905442987683751
timing,S03m pass rows,hgb_waveform_amp_shape_stave,7551,2517,5,1.0,0.0,0.0,-0.6501541137348357,-0.6584991636020519,1.1120927408124075,2.0325040064964766,0.011521652761223678
timing,S03m pass rows,s03m_action_gated_hgb,7551,2517,5,1.0,0.0,0.0,-0.6501541137348357,-0.6584991636020519,1.1120927408124075,2.0325040064964766,0.011521652761223678
timing,S03m pass rows,s03m_pass_only_analytic,7551,2517,5,1.0,0.0,0.0,1.0419269230755637,1.2841806103809574,1.4202541088078713,2.49557820584568,0.013905442987683751
timing,S03m pass rows,s03m_pass_only_refit_hgb,7551,2517,5,1.0,0.0,0.0,-0.6501541137348357,-0.6584991636020519,1.1120927408124075,2.0325040064964766,0.011521652761223678
timing,S03m excluded rows,analytic_timewalk,3909,1303,2,0.0,1.0,0.0,1.6348402274519966,1.9089565464481808,1.9492695922745542,2.9309712244974544,0.028140189306728063
timing,S03m excluded rows,hgb_waveform_amp_shape_stave,3909,1303,2,0.0,1.0,0.0,-0.4010604337354608,-0.3796266373660799,1.1050512566086756,2.3024585812503036,0.01841903300076746
timing,S03m excluded rows,s03m_action_gated_hgb,3909,1303,2,0.0,1.0,0.0,1.6348402274519966,1.9089565464481808,1.9492695922745542,2.9309712244974544,0.028140189306728063
charge,all_charge_matched,analytic_timewalk,11460,3820,7,0.6589005235602095,0.34109947643979055,0.0,1.244169340772551,1.4947512901245903,1.5510917109777835,2.666988996928635,0.019109947643979056
charge,all_charge_matched,hgb_waveform_amp_shape_stave,11460,3820,7,0.6589005235602095,0.34109947643979055,0.0,-0.5651883899025881,-0.5800552938889112,1.1074168319603352,2.1317098900814804,0.013787085514834206
charge,all_charge_matched,s03m_action_gated_hgb,11460,3820,7,0.6589005235602095,0.34109947643979055,0.0,0.129256259711877,-0.1612010306369065,1.7788564954364257,2.612600268301325,0.030453752181500874
energy,all_energy_support,analytic_timewalk,11460,3820,7,0.6589005235602095,0.34109947643979055,0.0,1.244169340772551,1.4947512901245903,1.5510917109777835,2.666988996928635,0.019109947643979056
energy,all_energy_support,hgb_waveform_amp_shape_stave,11460,3820,7,0.6589005235602095,0.34109947643979055,0.0,-0.5651883899025881,-0.5800552938889112,1.1074168319603352,2.1317098900814804,0.013787085514834206
energy,all_energy_support,s03m_action_gated_hgb,11460,3820,7,0.6589005235602095,0.34109947643979055,0.0,0.129256259711877,-0.1612010306369065,1.7788564954364257,2.612600268301325,0.030453752181500874
pileup,all_timing_tail_proxy,analytic_timewalk,11460,3820,7,0.6589005235602095,0.34109947643979055,0.0,1.244169340772551,1.4947512901245903,1.5510917109777835,2.666988996928635,0.019109947643979056
pileup,all_timing_tail_proxy,hgb_waveform_amp_shape_stave,11460,3820,7,0.6589005235602095,0.34109947643979055,0.0,-0.5651883899025881,-0.5800552938889112,1.1074168319603352,2.1317098900814804,0.013787085514834206
pileup,all_timing_tail_proxy,s03m_action_gated_hgb,11460,3820,7,0.6589005235602095,0.34109947643979055,0.0,0.129256259711877,-0.1612010306369065,1.7788564954364257,2.612600268301325,0.030453752181500874
pid,all_topology_proxy,analytic_timewalk,11460,3820,7,0.6589005235602095,0.34109947643979055,0.0,1.244169340772551,1.4947512901245903,1.5510917109777835,2.666988996928635,0.019109947643979056
pid,all_topology_proxy,hgb_waveform_amp_shape_stave,11460,3820,7,0.6589005235602095,0.34109947643979055,0.0,-0.5651883899025881,-0.5800552938889112,1.1074168319603352,2.1317098900814804,0.013787085514834206
pid,all_topology_proxy,s03m_action_gated_hgb,11460,3820,7,0.6589005235602095,0.34109947643979055,0.0,0.129256259711877,-0.1612010306369065,1.7788564954364257,2.612600268301325,0.030453752181500874
timing,s03m_action=pass,analytic_timewalk,7551,2517,5,1.0,0.0,0.0,1.0419269230755637,1.2841806103809574,1.4202541088078713,2.49557820584568,0.013905442987683751
timing,s03m_action=pass,hgb_waveform_amp_shape_stave,7551,2517,5,1.0,0.0,0.0,-0.6501541137348357,-0.6584991636020519,1.1120927408124075,2.0325040064964766,0.011521652761223678
timing,s03m_action=pass,s03m_action_gated_hgb,7551,2517,5,1.0,0.0,0.0,-0.6501541137348357,-0.6584991636020519,1.1120927408124075,2.0325040064964766,0.011521652761223678
timing,s03m_action=pass,s03m_pass_only_analytic,7551,2517,5,1.0,0.0,0.0,1.0419269230755637,1.2841806103809574,1.4202541088078713,2.49557820584568,0.013905442987683751
timing,s03m_action=pass,s03m_pass_only_refit_hgb,7551,2517,5,1.0,0.0,0.0,-0.6501541137348357,-0.6584991636020519,1.1120927408124075,2.0325040064964766,0.011521652761223678
timing,s03m_action=recalibrate,analytic_timewalk,3909,1303,2,0.0,1.0,0.0,1.6348402274519966,1.9089565464481808,1.9492695922745542,2.9309712244974544,0.028140189306728063
timing,s03m_action=recalibrate,hgb_waveform_amp_shape_stave,3909,1303,2,0.0,1.0,0.0,-0.4010604337354608,-0.3796266373660799,1.1050512566086756,2.3024585812503036,0.01841903300076746
timing,s03m_action=recalibrate,s03m_action_gated_hgb,3909,1303,2,0.0,1.0,0.0,1.6348402274519966,1.9089565464481808,1.9492695922745542,2.9309712244974544,0.028140189306728063
charge,"charge_bin=charge[14000,24000)",analytic_timewalk,5990,3189,7,0.664440734557596,0.335559265442404,0.0,1.1514774331806779,1.4684624659965415,1.543294096733852,2.4350762322202217,0.013856427378964942
charge,"charge_bin=charge[14000,24000)",hgb_waveform_amp_shape_stave,5990,3189,7,0.664440734557596,0.335559265442404,0.0,-0.6312462923950947,-0.6288655988611858,1.1282033999108636,1.9894698078264434,0.007512520868113523
charge,"charge_bin=charge[14000,24000)",s03m_action_gated_hgb,5990,3189,7,0.664440734557596,0.335559265442404,0.0,0.0587141403223817,-0.19199887718958658,1.8235515813778909,2.4636967047057934,0.024040066777963272
charge,"charge_bin=charge[24000,40000)",analytic_timewalk,3624,1871,7,0.6481788079470199,0.3518211920529801,0.0,1.2354465957091416,1.137440927426244,1.7752475548945676,3.007242040194987,0.030629139072847682
charge,"charge_bin=charge[24000,40000)",hgb_waveform_amp_shape_stave,3624,1871,7,0.6481788079470199,0.3518211920529801,0.0,-0.46971795502498265,-0.43007780597020684,1.1611872433428232,2.1512100667974208,0.024834437086092714
charge,"charge_bin=charge[24000,40000)",s03m_action_gated_hgb,3624,1871,7,0.6481788079470199,0.3518211920529801,0.0,0.19382071442801396,-0.1729603733816418,1.726019529380824,2.7987891231008395,0.04690949227373068
charge,"charge_bin=charge[4000,8000)",analytic_timewalk,285,175,7,0.6175438596491228,0.3824561403508772,0.0,1.4065144178340636,2.1107105326161246,1.2660451706576048,3.240680485252717,0.010526315789473684
charge,"charge_bin=charge[4000,8000)",hgb_waveform_amp_shape_stave,285,175,7,0.6175438596491228,0.3824561403508772,0.0,-0.5052500704939134,-0.3312250002002628,0.9256891325674925,3.1414855959246046,0.010526315789473684
charge,"charge_bin=charge[4000,8000)",s03m_action_gated_hgb,285,175,7,0.6175438596491228,0.3824561403508772,0.0,0.2922360141207133,0.2400411934709083,1.6303881598304892,3.1375395233182477,0.010526315789473684
charge,"charge_bin=charge[8000,14000)",analytic_timewalk,1471,1032,7,0.6648538409245411,0.33514615907545886,0.0,1.562177660076352,2.008788701089564,1.238845681835671,2.150832367144067,0.009517335146159076
charge,"charge_bin=charge[8000,14000)",hgb_waveform_amp_shape_stave,1471,1032,7,0.6648538409245411,0.33514615907545886,0.0,-0.6112822696890408,-0.7243608908140331,0.8797683140414151,2.046182804344756,0.008157715839564922
charge,"charge_bin=charge[8000,14000)",s03m_action_gated_hgb,1471,1032,7,0.6648538409245411,0.33514615907545886,0.0,0.1626074784831373,-0.0784444894861167,1.6538948490333625,2.298195159671037,0.01563562202583277
energy,"amplitude_bin=amp_adc[1000,1500)",analytic_timewalk,256,216,7,0.64453125,0.35546875,0.0,1.7713365467238522,2.2642547856428585,0.9439871224763401,2.955759084487598,0.0078125
energy,"amplitude_bin=amp_adc[1000,1500)",hgb_waveform_amp_shape_stave,256,216,7,0.64453125,0.35546875,0.0,-0.9576973986961929,-0.915750475815738,0.8172064482028004,2.467568794378214,0.0078125
energy,"amplitude_bin=amp_adc[1000,1500)",s03m_action_gated_hgb,256,216,7,0.64453125,0.35546875,0.0,0.12769414186405054,-0.15442284623804525,1.8440180154008374,2.942583987254912,0.01171875
energy,"amplitude_bin=amp_adc[1500,2500)",analytic_timewalk,3901,2372,7,0.6598308126121507,0.3401691873878493,0.0,1.3989156903781397,1.9306132685278783,1.3523381274574648,2.197581618932686,0.013586259933350423
energy,"amplitude_bin=amp_adc[1500,2500)",hgb_waveform_amp_shape_stave,3901,2372,7,0.6598308126121507,0.3401691873878493,0.0,-0.6257429894483052,-0.7207836113600479,1.0542507353238335,1.89313581411975,0.007433991284286081
energy,"amplitude_bin=amp_adc[1500,2500)",s03m_action_gated_hgb,3901,2372,7,0.6598308126121507,0.3401691873878493,0.0,0.14414227329947335,-0.1503550229551109,1.8078439445321384,2.3180121592313094,0.023327351961035633
energy,"amplitude_bin=amp_adc[2500,4000)",analytic_timewalk,6811,3099,7,0.6574658640434591,0.34253413595654086,0.0,1.0484281155841555,1.1984680969567163,1.561580351012349,2.6379571421248373,0.017178094259286448
energy,"amplitude_bin=amp_adc[2500,4000)",hgb_waveform_amp_shape_stave,6811,3099,7,0.6574658640434591,0.34253413595654086,0.0,-0.5395820057574091,-0.4948817738903628,1.1327758163275106,2.1275441774825468,0.014975774482454853
energy,"amplitude_bin=amp_adc[2500,4000)",s03m_action_gated_hgb,6811,3099,7,0.6574658640434591,0.34253413595654086,0.0,0.0762901284198676,-0.1674345696051205,1.726595393105927,2.582176974263896,0.029070621054177067
energy,"amplitude_bin=amp_adc[4000,7000)",analytic_timewalk,492,302,7,0.6788617886178862,0.32113821138211385,0.0,2.4526513940718,1.6113911932347733,2.5544394749051538,4.917319702427411,0.09349593495934959
energy,"amplitude_bin=amp_adc[4000,7000)",hgb_waveform_amp_shape_stave,492,302,7,0.6788617886178862,0.32113821138211385,0.0,-0.23530888448350232,-0.39136044485411503,1.365160320094006,3.3722998935075634,0.06097560975609756
energy,"amplitude_bin=amp_adc[4000,7000)",s03m_action_gated_hgb,492,302,7,0.6788617886178862,0.32113821138211385,0.0,0.745276347910468,-0.13718948201069026,2.178222522000406,4.376792533280616,0.11991869918699187
pileup,sample_window_mask=artifact_sensitive_3_6,analytic_timewalk,2498,1022,7,0.6733386709367494,0.3266613290632506,0.0,1.2829697384966794,1.8554784364759307,1.1803734466739162,1.120509763821884,0.0
