method,run_family,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns,calibration_slope,q_template_mse,failure_rate_abs_gt_5ns
traditional_median_template_cfd_timewalk_shape,sample_i_analysis,1230,-0.35412993641004986,0.8548376660801634,0.9693179972243195,0.0,0.0,0.9968132883077756,0.20600219803311628,0.0
gradient_boosted_trees,sample_i_analysis,1230,0.7461026595888107,2.583091486089025,10.099095822581951,0.22357723577235772,0.13658536585365855,0.982830458760231,0.20600219803311628,0.22357723577235772
mlp,sample_i_analysis,1230,0.4235180940588774,3.7944409326519093,9.972032858254062,0.2682926829268293,0.14227642276422764,0.9878568455311652,0.20600219803311628,0.2682926829268293
ridge,sample_i_analysis,1230,0.5325357179188401,4.782893438179429,10.351077603695453,0.3073170731707317,0.13902439024390245,0.984463642947756,0.20600219803311628,0.3073170731707317
matched_filter_residual_transformer_new,sample_i_analysis,1230,-0.1084308559106475,5.543215557093271,11.23801697960913,0.33983739837398375,0.15203252032520326,0.9552368834318828,0.20600219803311628,0.33983739837398375
compact_waveform_transformer,sample_i_analysis,1230,-0.15961630630859247,6.765894333305385,11.135515511537577,0.3853658536585366,0.2,0.997450549240083,0.20600219803311628,0.3853658536585366
1d_cnn,sample_i_analysis,1230,-0.3551550087405859,8.117511154547337,11.380400718685122,0.4845528455284553,0.22032520325203253,1.0046104366949171,0.20600219803311628,0.4845528455284553
traditional_median_template_cfd_timewalk_shape,sample_i_calib,597,-0.47948616777735964,0.978797786801056,0.9228233933273954,0.0,0.0,0.9971792867184361,0.2477986647540307,0.0
gradient_boosted_trees,sample_i_calib,597,1.7908875221446365,2.3477829210338097,2.736954615033412,0.1407035175879397,0.011725293132328308,1.0188695323361836,0.2477986647540307,0.1407035175879397
mlp,sample_i_calib,597,1.7310589195607022,3.192972208132994,3.4808857444929253,0.20603015075376885,0.01675041876046901,1.018448489027124,0.2477986647540307,0.20603015075376885
ridge,sample_i_calib,597,1.5545068258886783,3.9364261131025113,3.792985213018912,0.23785594639865998,0.018425460636515914,1.0216601634338538,0.2477986647540307,0.23785594639865998
matched_filter_residual_transformer_new,sample_i_calib,597,0.45688815943024963,4.500342682637962,5.77893988541269,0.25963149078726966,0.04690117252931323,0.9895403008858173,0.2477986647540307,0.25963149078726966
compact_waveform_transformer,sample_i_calib,597,1.132526121749784,5.100963653475144,6.1429511392072635,0.34003350083752093,0.10050251256281408,1.0337646519706312,0.2477986647540307,0.34003350083752093
1d_cnn,sample_i_calib,597,1.2320521143092762,6.756399562332914,7.421826353278435,0.4539363484087102,0.1440536013400335,1.0232831696611888,0.2477986647540307,0.4539363484087102
traditional_median_template_cfd_timewalk_shape,sample_ii_analysis,2459,0.527293568359358,0.8818475186844041,0.8703506206400389,0.0,0.0,0.9965578724067667,0.1582305087626409,0.0
gradient_boosted_trees,sample_ii_analysis,2459,-1.543266494297761,3.4368795134794192,3.5411738910835258,0.1939812932086214,0.004473363155754371,1.0033759664987554,0.1582305087626409,0.1939812932086214
ridge,sample_ii_analysis,2459,-1.1997928662132171,3.746170725090102,3.6665525303700384,0.19520130134200894,0.013013420089467263,1.0098705819377127,0.1582305087626409,0.19520130134200894
mlp,sample_ii_analysis,2459,-1.864580642008085,4.110079061131833,4.007831401321588,0.23505490036600243,0.01057340382269215,1.0098849716216527,0.1582305087626409,0.23505490036600243
matched_filter_residual_transformer_new,sample_ii_analysis,2459,-1.076834900394747,4.658691596410245,5.172589095871257,0.3005286701911346,0.050427002846685644,0.9841764439588137,0.1582305087626409,0.3005286701911346
1d_cnn,sample_ii_analysis,2459,-1.5829669341148787,5.347467715268385,6.293176689568941,0.36112240748271657,0.1041073607157381,1.0201752245082145,0.1582305087626409,0.36112240748271657
compact_waveform_transformer,sample_ii_analysis,2459,-0.9139874475035512,5.771789466552102,5.992889268271067,0.37454249694997965,0.07808052053680357,1.0290134514395055,0.1582305087626409,0.37454249694997965
traditional_median_template_cfd_timewalk_shape,sample_ii_calib,640,0.6482362790677065,0.3309517030252308,0.47582403719678024,0.0,0.0,0.9940602987725707,0.12095621608304426,0.0
ridge,sample_ii_calib,640,-1.3270377625412664,2.9194085015809366,2.967150903570138,0.11875,0.0,1.0153302830938145,0.12095621608304426,0.11875
gradient_boosted_trees,sample_ii_calib,640,-1.4421077497825134,2.9562873963371477,2.753379083168802,0.13125,0.0,1.009987054149874,0.12095621608304426,0.13125
mlp,sample_ii_calib,640,-1.8475903678500543,3.599535913726946,3.569466547108679,0.1171875,0.0015625,1.0136426864127623,0.12095621608304426,0.1171875
matched_filter_residual_transformer_new,sample_ii_calib,640,-1.135921334094932,3.961937310855629,4.603490088175213,0.221875,0.0171875,0.9852766747164043,0.12095621608304426,0.221875
1d_cnn,sample_ii_calib,640,-1.626187071853459,4.633441292912785,5.927268855134919,0.3109375,0.0890625,1.025858351035923,0.12095621608304426,0.3109375
compact_waveform_transformer,sample_ii_calib,640,-0.33967164692584273,5.442438370344728,5.630251584553049,0.3328125,0.0515625,1.0374208223562207,0.12095621608304426,0.3328125
