method,stratum,level,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns,calibration_slope,q_template_mse,failure_rate_abs_gt_5ns
1d_cnn,curvature_energy_bin,curved,1458,-1.315155933792985,7.040642777615746,9.290290352357719,0.47599451303155005,0.19135802469135801,0.9493911624958942,0.3120188837445667,0.47599451303155005
compact_waveform_transformer,curvature_energy_bin,curved,1458,-3.1936719331145564,5.611722760736881,7.906549382072107,0.4451303155006859,0.1700960219478738,1.0236817551483224,0.3120188837445667,0.4451303155006859
gradient_boosted_trees,curvature_energy_bin,curved,1458,-0.3316975066786272,3.5981607141420944,5.689163839610615,0.19547325102880658,0.03566529492455418,0.9812271319188411,0.3120188837445667,0.19547325102880658
matched_filter_residual_transformer_new,curvature_energy_bin,curved,1458,-0.6402968874556683,4.853537228099426,7.770743508903994,0.3058984910836763,0.08710562414266118,0.9492083687219653,0.3120188837445667,0.3058984910836763
mlp,curvature_energy_bin,curved,1458,-0.7063232821049672,4.048313434646833,5.973160218030546,0.23319615912208505,0.04801097393689986,0.992414632922877,0.3120188837445667,0.23319615912208505
ridge,curvature_energy_bin,curved,1458,-0.7247242461208807,3.8157030391941986,5.80509311630534,0.23113854595336078,0.04801097393689986,0.9856501741920639,0.3120188837445667,0.23113854595336078
traditional_median_template_cfd_timewalk_shape,curvature_energy_bin,curved,1458,0.3291284839319051,1.0631694724967773,0.9944767026192952,0.0,0.0,0.9966392364987053,0.3120188837445667,0.0
1d_cnn,curvature_energy_bin,moderate,1716,0.3961465910216928,5.260493864430926,7.740279424217402,0.3409090909090909,0.11538461538461539,1.011426896284874,0.12166540869136898,0.3409090909090909
compact_waveform_transformer,curvature_energy_bin,moderate,1716,1.0214053595215464,5.531792930396044,7.750323617684147,0.377039627039627,0.09848484848484848,1.0243993439221197,0.12166540869136898,0.377039627039627
gradient_boosted_trees,curvature_energy_bin,moderate,1716,-0.16079223153875438,3.5684067520399827,6.366172518091299,0.1893939393939394,0.045454545454545456,1.003310635572006,0.12166540869136898,0.1893939393939394
matched_filter_residual_transformer_new,curvature_energy_bin,moderate,1716,-0.2101519915320651,4.7817679748693,7.572043183475482,0.30361305361305363,0.08100233100233101,0.9509603393800738,0.12166540869136898,0.30361305361305363
mlp,curvature_energy_bin,moderate,1716,-0.4901020666107462,4.070047401297737,6.4698377751530485,0.22086247086247085,0.05128205128205128,1.0034933592879127,0.12166540869136898,0.22086247086247085
ridge,curvature_energy_bin,moderate,1716,-0.6391679371766026,3.986550135659744,6.50411780272317,0.2296037296037296,0.049533799533799536,1.0045709004659147,0.12166540869136898,0.2296037296037296
traditional_median_template_cfd_timewalk_shape,curvature_energy_bin,moderate,1716,0.3344603093430969,1.0171401151942188,0.8931302183090524,0.0,0.0,0.9955920849707021,0.12166540869136898,0.0
